date,cz,pcz,pczt,czh,cc,quality,stress_skin,stress_skin_quality
2035-03-15 14:50:35+00:00,1,1,255,1,0,4,0,4
2035-03-15 14:51:35+00:00,1,1,255,1,0,4,0,4
2035-03-15 14:52:35+00:00,1,1,255,1,0,4,0,4
2035-03-15 14:53:35+00:00,1,1,255,1,0,4,0,4
2035-03-15 14:54:35+00:00,1,1,255,1,0,4,0,4
2035-03-15 14:55:37+00:00,1,1,255,1,0,4,0,4
2035-03-15 14:56:37+00:00,1,1,255,1,0,4,0,4
2035-03-15 14:57:38+00:00,1,1,255,1,0,4,0,4
2035-03-15 14:58:37+00:00,1,1,255,1,0,4,0,4
2035-03-15 14:59:37+00:00,1,1,255,1,0,4,0,4
2035-03-15 15:00:38+00:00,1,1,255,1,0,4,0,4
2035-03-15 15:01:38+00:00,1,1,255,1,0,4,0,4
2035-03-15 15:02:37+00:00,1,1,255,1,0,4,0,4
2035-03-15 15:03:37+00:00,1,1,255,1,0,4,0,4
2035-03-15 15:04:38+00:00,1,1,255,1,0,4,0,4
2035-03-15 15:05:38+00:00,1,1,255,1,0,4,0,4
2035-03-15 15:06:37+00:00,1,1,255,1,0,4,0,4
2035-03-15 15:07:38+00:00,1,1,255,1,0,4,0,4
2035-03-15 15:08:37+00:00,1,1,255,1,0,4,3,4
2035-03-15 15:09:37+00:00,1,1,255,1,0,4,281,4
2035-03-15 15:10:38+00:00,1,1,255,1,0,4,372,4
2035-03-15 15:11:38+00:00,1,2,25,1,0,4,202,4
2035-03-15 15:12:38+00:00,1,2,20,1,0,4,131,4
2035-03-15 15:13:38+00:00,1,2,17,1,1,3,167,4
2035-03-15 15:14:37+00:00,1,2,16,1,2,3,104,4
2035-03-15 15:15:37+00:00,1,2,14,1,4,3,46,4
2035-03-15 15:16:37+00:00,1,2,13,1,7,3,38,4
2035-03-15 15:17:37+00:00,1,2,12,1,12,3,39,4
2035-03-15 15:18:38+00:00,1,2,11,1,17,3,19,4
2035-03-15 15:19:38+00:00,1,2,10,1,25,3,12,4
2035-03-15 15:20:37+00:00,1,2,9,1,34,3,12,4
2035-03-15 15:21:37+00:00,1,2,8,1,44,3,22,4
2035-03-15 15:22:37+00:00,1,2,7,1,56,3,4,4
2035-03-15 15:23:37+00:00,1,2,6,1,68,3,63,4
2035-03-15 15:24:38+00:00,1,2,5,1,82,3,64,4
2035-03-15 15:25:38+00:00,1,2,4,1,96,3,12,4
2035-03-15 15:26:37+00:00,1,2,3,1,111,3,21,4
2035-03-15 15:27:37+00:00,1,2,2,1,126,3,9,4
2035-03-15 15:28:37+00:00,1,2,1,1,141,3,4,4
2035-03-15 15:29:38+00:00,2,1,39,1,156,3,203,4
2035-03-15 15:30:37+00:00,2,1,38,1,171,3,196,4
2035-03-15 15:31:38+00:00,2,1,41,1,185,3,197,4
2035-03-15 15:32:37+00:00,2,1,40,1,199,3,93,4
2035-03-15 15:33:37+00:00,2,1,39,1,212,3,33,4
2035-03-15 15:34:37+00:00,2,1,39,1,225,3,19,4
2035-03-15 15:35:37+00:00,2,1,38,1,237,3,8,4
2035-03-15 15:36:38+00:00,2,1,38,1,248,3,30,4
2035-03-15 15:37:38+00:00,2,1,37,1,259,3,20,4
2035-03-15 15:38:38+00:00,2,1,36,1,269,3,4,4
2035-03-15 15:39:38+00:00,2,1,35,1,279,3,15,4
2035-03-15 15:40:37+00:00,2,1,34,1,289,3,0,4
2035-03-15 15:41:37+00:00,2,1,33,1,297,3,0,4
2035-03-15 15:42:37+00:00,2,1,33,1,305,3,20,4
2035-03-15 15:43:37+00:00,2,1,32,1,312,3,12,4
2035-03-15 15:44:37+00:00,2,1,31,1,318,3,0,4
2035-03-15 15:45:38+00:00,2,1,30,1,323,3,0,4
2035-03-15 15:46:37+00:00,2,1,29,1,327,3,0,4
2035-03-15 15:47:38+00:00,2,1,28,1,330,3,1,4
2035-03-15 15:48:38+00:00,2,1,27,1,332,4,15,4
2035-03-15 15:49:38+00:00,2,1,27,1,333,4,83,4
2035-03-15 15:50:38+00:00,2,1,29,1,333,4,128,4
2035-03-15 15:51:37+00:00,2,1,32,1,332,4,155,4
2035-03-15 15:52:38+00:00,2,1,34,1,330,4,102,4
2035-03-15 15:53:38+00:00,2,1,33,1,328,4,46,4
2035-03-15 15:54:37+00:00,2,1,32,1,325,4,20,4
2035-03-15 15:55:38+00:00,2,1,33,1,321,4,64,4
2035-03-15 15:56:37+00:00,2,1,32,1,317,4,21,4
2035-03-15 15:57:37+00:00,2,1,31,1,313,4,7,4
2035-03-15 15:58:38+00:00,2,1,30,1,309,4,21,4
2035-03-15 15:59:37+00:00,2,1,31,1,304,4,53,4
2035-03-15 16:00:37+00:00,2,1,30,1,300,4,12,4
2035-03-15 16:01:38+00:00,2,1,29,1,296,4,0,4
2035-03-15 16:02:37+00:00,2,1,28,1,293,4,0,4
2035-03-15 16:03:37+00:00,2,1,27,1,289,4,0,4
2035-03-15 16:04:37+00:00,2,1,26,1,285,4,14,4
2035-03-15 16:05:37+00:00,2,1,26,1,282,4,29,4
2035-03-15 16:06:37+00:00,2,1,25,1,278,4,12,4
2035-03-15 16:07:37+00:00,2,1,24,1,275,4,11,4
2035-03-15 16:08:37+00:00,2,1,23,1,271,4,0,4
2035-03-15 16:09:37+00:00,2,1,22,1,268,4,0,4
2035-03-15 16:10:39+00:00,2,1,21,1,264,4,0,4
2035-03-15 16:11:38+00:00,2,1,20,1,260,4,13,4
2035-03-15 16:12:38+00:00,2,1,20,1,256,4,24,4
2035-03-15 16:13:39+00:00,2,1,19,1,252,4,0,4
2035-03-15 16:14:38+00:00,2,1,18,1,247,4,2,4
2035-03-15 16:15:38+00:00,2,1,17,1,243,4,3,4
2035-03-15 16:16:38+00:00,2,1,16,1,238,4,2,4
2035-03-15 16:17:38+00:00,2,1,15,1,234,4,4,4
2035-03-15 16:18:38+00:00,2,1,14,1,229,4,1,4
2035-03-15 16:19:39+00:00,2,1,13,1,224,4,8,4
