date,rr
2035-03-15 14:59:22+00:00,529
2035-03-15 14:59:25+00:00,515
2035-03-15 14:59:25.001000+00:00,626
2035-03-15 15:01:13+00:00,701
2035-03-15 15:01:35+00:00,1032
2035-03-15 15:02:19+00:00,1164
2035-03-15 15:02:20+00:00,1023
2035-03-15 15:02:30+00:00,1312
2035-03-15 15:02:32+00:00,884
2035-03-15 15:03:13+00:00,1296
2035-03-15 15:03:38+00:00,662
2035-03-15 15:03:45+00:00,1478
2035-03-15 15:03:54+00:00,753
2035-03-15 15:04:14+00:00,998
2035-03-15 15:04:19+00:00,581
2035-03-15 15:05:08+00:00,1672
2035-03-15 15:05:10+00:00,1357
2035-03-15 15:05:12+00:00,864
2035-03-15 15:05:13+00:00,908
2035-03-15 15:06:06+00:00,1091
2035-03-15 15:06:09+00:00,1581
2035-03-15 15:06:27+00:00,545
2035-03-15 15:06:28+00:00,1562
2035-03-15 15:07:02+00:00,1287
2035-03-15 15:08:15+00:00,531
2035-03-15 15:08:15.001000+00:00,538
2035-03-15 15:08:16.003000+00:00,536
2035-03-15 15:08:16.004000+00:00,531
2035-03-15 15:08:16.005000+00:00,510
2035-03-15 15:08:17+00:00,684
2035-03-15 15:08:17.001000+00:00,528
2035-03-15 15:08:17.002000+00:00,533
2035-03-15 15:08:17.003000+00:00,545
2035-03-15 15:08:18+00:00,545
2035-03-15 15:08:20.002000+00:00,540
2035-03-15 15:08:20.003000+00:00,549
2035-03-15 15:08:21.002000+00:00,548
2035-03-15 15:08:21.003000+00:00,552
2035-03-15 15:08:22.002000+00:00,551
2035-03-15 15:08:22.003000+00:00,551
2035-03-15 15:08:23+00:00,558
2035-03-15 15:08:24+00:00,553
2035-03-15 15:08:24.001000+00:00,536
2035-03-15 15:08:25.002000+00:00,542
2035-03-15 15:08:25.003000+00:00,546
2035-03-15 15:08:26.002000+00:00,531
2035-03-15 15:08:26.003000+00:00,524
2035-03-15 15:08:27.002000+00:00,529
2035-03-15 15:08:27.003000+00:00,521
2035-03-15 15:08:28+00:00,521
2035-03-15 15:08:28.001000+00:00,518
2035-03-15 15:08:29+00:00,535
2035-03-15 15:08:29.001000+00:00,537
2035-03-15 15:08:30+00:00,543
2035-03-15 15:08:30.001000+00:00,540
2035-03-15 15:08:31.001000+00:00,545
2035-03-15 15:08:32.002000+00:00,548
2035-03-15 15:08:32.003000+00:00,544
