date,cz,pcz,pczt,czh,cc,quality,stress_skin,stress_skin_quality
2035-03-12 14:50:17+00:00,2,1,45,1,502,3,59,4
2035-03-12 14:51:17+00:00,2,1,44,1,490,3,104,4
2035-03-12 14:52:17+00:00,2,1,43,1,480,3,47,4
2035-03-12 14:53:17+00:00,2,1,42,1,471,3,2,4
2035-03-12 14:54:17+00:00,2,1,41,1,462,3,0,4
2035-03-12 14:55:17+00:00,2,1,40,1,455,3,0,4
2035-03-12 14:56:17+00:00,2,1,39,1,448,3,0,4
2035-03-12 14:57:17+00:00,2,1,38,1,443,3,0,4
2035-03-12 14:58:17+00:00,2,1,37,1,438,3,0,4
2035-03-12 14:59:17+00:00,2,1,36,1,434,3,0,4
2035-03-12 15:00:17+00:00,2,1,35,1,430,3,0,4
2035-03-12 15:01:17+00:00,2,1,34,1,427,3,0,4
2035-03-12 15:02:17+00:00,2,1,33,1,424,3,0,4
2035-03-12 15:03:18+00:00,2,1,32,1,422,3,0,4
2035-03-12 15:04:18+00:00,2,1,31,1,419,3,0,4
2035-03-12 15:05:18+00:00,2,1,30,1,417,3,0,4
2035-03-12 15:06:18+00:00,2,1,29,1,414,3,0,4
2035-03-12 15:07:18+00:00,2,1,28,1,411,3,0,4
2035-03-12 15:08:18+00:00,2,1,27,1,407,3,0,4
2035-03-12 15:09:18+00:00,2,1,26,1,403,3,0,4
2035-03-12 15:10:18+00:00,2,1,26,1,399,3,1,4
2035-03-12 15:11:18+00:00,2,1,25,1,393,3,3,4
2035-03-12 15:12:18+00:00,2,1,25,1,387,3,11,4
2035-03-12 15:13:18+00:00,2,1,25,1,381,3,7,4
2035-03-12 15:14:17+00:00,2,1,24,1,374,3,1,4
2035-03-12 15:15:17+00:00,2,1,23,1,366,3,0,4
2035-03-12 15:16:16+00:00,2,1,22,1,357,3,0,4
2035-03-12 15:17:17+00:00,2,1,21,1,349,4,0,4
2035-03-12 15:18:17+00:00,2,1,20,1,340,4,0,4
2035-03-12 15:19:17+00:00,2,1,19,1,330,4,0,4
2035-03-12 15:20:17+00:00,2,1,18,1,321,4,0,4
2035-03-12 15:21:17+00:00,2,1,17,1,311,4,0,4
2035-03-12 15:22:17+00:00,2,1,16,1,301,4,0,4
2035-03-12 15:23:17+00:00,2,1,15,1,291,4,0,4
2035-03-12 15:24:17+00:00,2,1,14,1,281,4,0,4
2035-03-12 15:25:18+00:00,2,1,13,1,270,4,0,4
2035-03-12 15:26:17+00:00,2,1,12,1,260,4,0,4
2035-03-12 15:27:17+00:00,2,1,11,1,250,4,0,4
2035-03-12 15:28:17+00:00,2,1,10,1,239,4,0,4
2035-03-12 15:29:17+00:00,2,1,9,1,229,4,0,4
2035-03-12 15:30:17+00:00,2,1,8,1,219,4,0,4
2035-03-12 15:31:17+00:00,2,1,7,1,209,4,0,4
2035-03-12 15:32:17+00:00,2,1,6,1,199,4,0,4
2035-03-12 15:33:17+00:00,2,1,5,1,190,4,0,4
2035-03-12 15:34:17+00:00,2,1,4,1,181,4,0,4
2035-03-12 15:35:17+00:00,2,1,3,1,171,4,0,4
