date,rr
2035-03-12 14:50:08+00:00,727
2035-03-12 14:50:09+00:00,720
2035-03-12 14:50:35+00:00,722
2035-03-12 14:50:36.002000+00:00,770
2035-03-12 14:50:37.001000+00:00,762
2035-03-12 14:50:38+00:00,737
2035-03-12 14:50:38.001000+00:00,720
2035-03-12 14:50:39.001000+00:00,715
2035-03-12 14:50:40.001000+00:00,746
2035-03-12 14:50:41+00:00,770
2035-03-12 14:50:42+00:00,1473
2035-03-12 14:50:43+00:00,768
2035-03-12 14:50:50.001000+00:00,745
2035-03-12 14:50:51+00:00,786
2035-03-12 14:50:51.001000+00:00,715
2035-03-12 14:50:52+00:00,715
2035-03-12 14:50:53+00:00,730
2035-03-12 14:50:54.002000+00:00,759
2035-03-12 14:50:54.003000+00:00,829
2035-03-12 14:50:55+00:00,816
2035-03-12 14:51:01.001000+00:00,665
2035-03-12 14:51:02.001000+00:00,704
2035-03-12 14:51:03+00:00,712
2035-03-12 14:51:03.001000+00:00,759
2035-03-12 14:51:04.001000+00:00,800
2035-03-12 14:51:05+00:00,804
2035-03-12 14:51:06.001000+00:00,801
2035-03-12 14:51:07.002000+00:00,832
2035-03-12 14:51:07.003000+00:00,838
2035-03-12 14:51:08+00:00,824
2035-03-12 14:51:09.002000+00:00,777
2035-03-12 14:51:10.002000+00:00,750
2035-03-12 14:51:10.003000+00:00,751
2035-03-12 14:51:11.002000+00:00,731
2035-03-12 14:51:12+00:00,737
2035-03-12 14:51:13+00:00,682
2035-03-12 14:51:13.001000+00:00,710
2035-03-12 14:51:14.001000+00:00,711
2035-03-12 14:51:15.001000+00:00,720
2035-03-12 14:52:00+00:00,529
2035-03-12 14:52:02+00:00,1607
2035-03-12 14:52:04+00:00,1099
2035-03-12 14:52:05.001000+00:00,811
2035-03-12 14:52:05.002000+00:00,625
2035-03-12 14:52:07+00:00,1783
2035-03-12 14:52:12+00:00,1106
2035-03-12 14:52:14+00:00,632
2035-03-12 14:52:40.002000+00:00,533
2035-03-12 14:52:41.002000+00:00,529
2035-03-12 14:52:41.003000+00:00,532
2035-03-12 14:52:42+00:00,533
2035-03-12 14:52:42.001000+00:00,527
2035-03-12 14:52:43+00:00,534
2035-03-12 14:52:44+00:00,528
2035-03-12 14:52:44.001000+00:00,535
2035-03-12 14:53:14+00:00,529
2035-03-12 14:53:24.001000+00:00,920
2035-03-12 14:53:54+00:00,699
2035-03-12 14:53:56+00:00,1001
2035-03-12 14:54:04+00:00,848
2035-03-12 14:54:13+00:00,528
2035-03-12 14:54:14+00:00,787
2035-03-12 14:54:15+00:00,1087
2035-03-12 14:54:15.001000+00:00,532
2035-03-12 14:54:36+00:00,535
2035-03-12 14:55:16+00:00,1615
2035-03-12 14:55:32+00:00,516
2035-03-12 14:55:40+00:00,816
2035-03-12 14:56:08+00:00,532
2035-03-12 14:56:13+00:00,1110
2035-03-12 14:56:14+00:00,755
2035-03-12 14:56:32+00:00,1343
2035-03-12 14:56:33+00:00,533
2035-03-12 14:56:37+00:00,1431
2035-03-12 14:56:38+00:00,538
2035-03-12 14:56:41+00:00,530
2035-03-12 14:56:46+00:00,616
2035-03-12 14:57:02+00:00,1495
2035-03-12 14:57:06+00:00,656
2035-03-12 14:57:07+00:00,530
2035-03-12 14:57:11+00:00,523
2035-03-12 14:57:12+00:00,1478
2035-03-12 14:57:13+00:00,1281
2035-03-12 14:57:15+00:00,1006
2035-03-12 14:57:16+00:00,728
2035-03-12 14:57:24+00:00,1115
2035-03-12 14:57:34+00:00,529
2035-03-12 14:57:37+00:00,597
2035-03-12 14:57:52+00:00,1404
2035-03-12 14:57:52.001000+00:00,531
2035-03-12 14:57:57+00:00,529
2035-03-12 14:58:01+00:00,532
2035-03-12 14:59:10+00:00,1004
2035-03-12 14:59:14+00:00,529
2035-03-12 14:59:15+00:00,532
2035-03-12 14:59:21+00:00,1064
2035-03-12 14:59:28+00:00,1328
2035-03-12 14:59:46+00:00,1661
2035-03-12 14:59:54+00:00,1532
2035-03-12 15:00:08+00:00,737
2035-03-12 15:00:27+00:00,735
2035-03-12 15:00:28+00:00,541
2035-03-12 15:01:02+00:00,748
2035-03-12 15:02:28+00:00,1046
2035-03-12 15:02:38+00:00,541
2035-03-12 15:02:49+00:00,510
2035-03-12 15:04:33+00:00,1578
2035-03-12 15:04:50+00:00,1541
2035-03-12 15:05:04+00:00,755
2035-03-12 15:07:02+00:00,786
2035-03-12 15:08:44+00:00,892
2035-03-12 15:08:44.001000+00:00,897
2035-03-12 15:08:45.001000+00:00,916
2035-03-12 15:08:46.001000+00:00,872
2035-03-12 15:08:47+00:00,923
2035-03-12 15:08:48+00:00,1010
2035-03-12 15:08:49+00:00,947
2035-03-12 15:08:50.001000+00:00,973
2035-03-12 15:08:51+00:00,940
2035-03-12 15:08:59+00:00,890
2035-03-12 15:09:00+00:00,917
2035-03-12 15:09:01+00:00,902
2035-03-12 15:09:02+00:00,920
2035-03-12 15:09:03+00:00,911
2035-03-12 15:09:13+00:00,652
2035-03-12 15:09:17+00:00,977
2035-03-12 15:09:18+00:00,908
2035-03-12 15:09:19+00:00,806
2035-03-12 15:09:28+00:00,865
2035-03-12 15:09:28.001000+00:00,830
2035-03-12 15:09:29+00:00,814
2035-03-12 15:09:30+00:00,809
2035-03-12 15:09:31+00:00,800
2035-03-12 15:09:32+00:00,758
2035-03-12 15:09:52.002000+00:00,898
2035-03-12 15:09:53+00:00,852
2035-03-12 15:09:53.001000+00:00,744
2035-03-12 15:09:54+00:00,857
2035-03-12 15:09:55+00:00,869
2035-03-12 15:09:56+00:00,838
2035-03-12 15:09:57+00:00,910
2035-03-12 15:09:58+00:00,877
2035-03-12 15:10:19+00:00,895
2035-03-12 15:10:19.001000+00:00,964
2035-03-12 15:10:20+00:00,946
2035-03-12 15:10:45.001000+00:00,801
2035-03-12 15:10:47.001000+00:00,909
2035-03-12 15:11:06+00:00,910
2035-03-12 15:11:22+00:00,761
2035-03-12 15:11:24+00:00,734
2035-03-12 15:11:25+00:00,724
2035-03-12 15:11:32.001000+00:00,708
2035-03-12 15:11:33+00:00,760
2035-03-12 15:11:34+00:00,810
2035-03-12 15:11:34.001000+00:00,764
2035-03-12 15:11:35.001000+00:00,800
2035-03-12 15:11:36+00:00,788
2035-03-12 15:11:37+00:00,795
2035-03-12 15:11:38.002000+00:00,809
2035-03-12 15:11:38.003000+00:00,810
2035-03-12 15:11:39+00:00,587
2035-03-12 15:11:40+00:00,854
2035-03-12 15:11:41.002000+00:00,777
2035-03-12 15:11:42+00:00,818
2035-03-12 15:11:42.001000+00:00,793
2035-03-12 15:11:43.001000+00:00,755
2035-03-12 15:11:44+00:00,727
2035-03-12 15:11:45.001000+00:00,786
2035-03-12 15:11:45.002000+00:00,770
2035-03-12 15:11:46+00:00,744
2035-03-12 15:11:47+00:00,838
2035-03-12 15:11:48+00:00,856
2035-03-12 15:11:49+00:00,834
2035-03-12 15:11:50+00:00,802
2035-03-12 15:11:50.001000+00:00,867
2035-03-12 15:11:51.001000+00:00,910
2035-03-12 15:12:06.001000+00:00,900
2035-03-12 15:12:07+00:00,820
2035-03-12 15:12:08+00:00,827
2035-03-12 15:12:09+00:00,836
2035-03-12 15:12:09.001000+00:00,793
2035-03-12 15:12:10+00:00,805
2035-03-12 15:12:42.001000+00:00,884
2035-03-12 15:12:43.002000+00:00,891
2035-03-12 15:12:43.003000+00:00,851
2035-03-12 15:12:44+00:00,862
2035-03-12 15:12:45+00:00,866
2035-03-12 15:12:46+00:00,860
2035-03-12 15:12:47+00:00,895
2035-03-12 15:12:48+00:00,914
2035-03-12 15:12:49+00:00,937
2035-03-12 15:12:50+00:00,867
2035-03-12 15:13:17+00:00,923
2035-03-12 15:13:18+00:00,905
2035-03-12 15:13:19+00:00,904
2035-03-12 15:13:20+00:00,901
2035-03-12 15:13:30+00:00,972
2035-03-12 15:13:30.001000+00:00,871
2035-03-12 15:13:32+00:00,909
2035-03-12 15:13:33+00:00,928
2035-03-12 15:13:34+00:00,932
2035-03-12 15:14:04.001000+00:00,799
2035-03-12 15:14:05.001000+00:00,962
2035-03-12 15:14:06.001000+00:00,891
2035-03-12 15:14:07+00:00,926
2035-03-12 15:14:08+00:00,917
2035-03-12 15:14:09.001000+00:00,884
2035-03-12 15:14:10.001000+00:00,816
2035-03-12 15:14:11.001000+00:00,872
2035-03-12 15:14:11.002000+00:00,923
2035-03-12 15:14:12+00:00,942
2035-03-12 15:14:13+00:00,901
2035-03-12 15:14:14.001000+00:00,830
2035-03-12 15:14:15+00:00,816
2035-03-12 15:14:16.001000+00:00,1082
2035-03-12 15:14:17+00:00,876
2035-03-12 15:14:18+00:00,863
2035-03-12 15:14:19.001000+00:00,921
2035-03-12 15:14:20.001000+00:00,937
2035-03-12 15:14:24.003000+00:00,908
2035-03-12 15:14:25.001000+00:00,901
2035-03-12 15:14:26.001000+00:00,930
2035-03-12 15:14:27+00:00,814
2035-03-12 15:14:28+00:00,1015
2035-03-12 15:14:29.001000+00:00,855
2035-03-12 15:14:30.001000+00:00,971
2035-03-12 15:14:31.001000+00:00,934
2035-03-12 15:14:32+00:00,902
2035-03-12 15:14:32.001000+00:00,901
2035-03-12 15:14:33+00:00,937
2035-03-12 15:14:34+00:00,930
2035-03-12 15:14:35.001000+00:00,923
2035-03-12 15:14:36.001000+00:00,948
2035-03-12 15:14:37+00:00,965
2035-03-12 15:14:38+00:00,898
2035-03-12 15:14:41.001000+00:00,820
2035-03-12 15:14:41.002000+00:00,791
2035-03-12 15:14:42+00:00,829
2035-03-12 15:14:43+00:00,867
2035-03-12 15:14:44.001000+00:00,841
2035-03-12 15:14:45.001000+00:00,807
2035-03-12 15:14:46.001000+00:00,883
2035-03-12 15:14:47+00:00,914
2035-03-12 15:14:47.001000+00:00,888
2035-03-12 15:14:48+00:00,877
2035-03-12 15:14:49.001000+00:00,921
2035-03-12 15:14:50.001000+00:00,934
2035-03-12 15:14:51.001000+00:00,864
2035-03-12 15:14:52+00:00,891
2035-03-12 15:14:53+00:00,911
2035-03-12 15:14:54+00:00,907
2035-03-12 15:14:55+00:00,875
2035-03-12 15:14:56+00:00,885
2035-03-12 15:14:56.001000+00:00,924
2035-03-12 15:15:07+00:00,890
2035-03-12 15:15:08+00:00,900
2035-03-12 15:15:09.001000+00:00,924
2035-03-12 15:15:10.001000+00:00,913
2035-03-12 15:15:11.001000+00:00,886
2035-03-12 15:15:12+00:00,906
2035-03-12 15:15:13+00:00,936
2035-03-12 15:15:14.001000+00:00,922
2035-03-12 15:15:15.001000+00:00,929
2035-03-12 15:15:16.001000+00:00,899
2035-03-12 15:15:16.002000+00:00,928
2035-03-12 15:15:17+00:00,942
2035-03-12 15:15:18+00:00,939
2035-03-12 15:15:19.003000+00:00,918
2035-03-12 15:15:20.001000+00:00,940
2035-03-12 15:15:21+00:00,955
2035-03-12 15:15:22+00:00,944
2035-03-12 15:15:23+00:00,917
2035-03-12 15:15:24+00:00,931
2035-03-12 15:15:25+00:00,928
2035-03-12 15:15:26+00:00,907
2035-03-12 15:15:27+00:00,879
2035-03-12 15:15:28+00:00,899
2035-03-12 15:15:28.001000+00:00,937
2035-03-12 15:15:29.001000+00:00,914
2035-03-12 15:15:30.001000+00:00,884
2035-03-12 15:15:31+00:00,915
2035-03-12 15:15:32+00:00,910
2035-03-12 15:15:33+00:00,950
2035-03-12 15:15:34.001000+00:00,857
2035-03-12 15:15:35.001000+00:00,888
2035-03-12 15:15:36+00:00,913
2035-03-12 15:15:37+00:00,905
2035-03-12 15:15:37.001000+00:00,866
2035-03-12 15:15:38+00:00,910
2035-03-12 15:15:39.001000+00:00,938
2035-03-12 15:15:40.001000+00:00,911
2035-03-12 15:15:41.001000+00:00,879
2035-03-12 15:15:42+00:00,920
2035-03-12 15:15:43+00:00,935
2035-03-12 15:15:44.001000+00:00,912
2035-03-12 15:15:45.001000+00:00,859
2035-03-12 15:15:46+00:00,902
2035-03-12 15:15:47+00:00,918
2035-03-12 15:15:47.001000+00:00,903
2035-03-12 15:15:48+00:00,866
2035-03-12 15:15:49.001000+00:00,896
