date,cz,pcz,pczt,czh,cc,quality,stress_skin,stress_skin_quality
2035-03-27 19:05:10+00:00,2,1,25,1,453,3,0,4
2035-03-27 19:06:10+00:00,2,1,24,1,445,3,0,4
2035-03-27 19:07:10+00:00,2,1,23,1,436,3,0,4
2035-03-27 19:08:10+00:00,2,1,22,1,427,3,0,4
2035-03-27 19:09:10+00:00,2,1,21,1,416,3,4,4
2035-03-27 19:10:10+00:00,2,1,25,1,405,3,63,4
2035-03-27 19:11:10+00:00,2,1,29,1,394,3,47,4
2035-03-27 19:12:10+00:00,2,1,32,1,382,3,22,4
2035-03-27 19:13:10+00:00,2,1,35,1,369,3,26,4
2035-03-27 19:14:10+00:00,2,1,37,1,357,3,24,4
2035-03-27 19:15:10+00:00,2,1,38,1,344,3,11,4
2035-03-27 19:16:10+00:00,2,1,38,1,332,3,10,4
2035-03-27 19:17:10+00:00,2,1,38,1,321,3,14,4
2035-03-27 19:18:10+00:00,2,1,39,1,310,3,16,4
2035-03-27 19:19:10+00:00,2,1,39,1,301,3,4,4
2035-03-27 19:20:10+00:00,2,1,38,1,292,3,2,4
2035-03-27 19:21:10+00:00,2,1,37,1,285,3,6,4
2035-03-27 19:22:10+00:00,2,1,37,1,278,3,10,4
2035-03-27 19:23:10+00:00,2,1,38,1,273,3,16,4
2035-03-27 19:24:10+00:00,2,1,39,1,270,3,17,4
2035-03-27 19:25:10+00:00,2,1,38,1,267,3,5,4
2035-03-27 19:26:10+00:00,2,1,38,1,265,3,15,4
2035-03-27 19:27:10+00:00,2,1,38,1,264,3,7,4
2035-03-27 19:28:10+00:00,2,1,39,1,264,3,31,4
2035-03-27 19:29:10+00:00,2,1,41,1,265,3,34,4
2035-03-27 19:30:10+00:00,2,1,42,1,267,3,43,4
2035-03-27 19:31:10+00:00,2,1,45,1,269,3,48,4
2035-03-27 19:32:10+00:00,2,1,45,1,271,3,30,4
2035-03-27 19:33:10+00:00,2,1,47,1,274,3,48,4
2035-03-27 19:34:10+00:00,2,1,48,1,278,3,27,4
2035-03-27 19:35:10+00:00,2,1,47,1,283,3,7,4
2035-03-27 19:36:10+00:00,2,1,46,1,288,3,0,4
2035-03-27 19:37:10+00:00,2,1,45,1,294,3,0,4
2035-03-27 19:38:10+00:00,2,1,44,1,301,3,0,4
2035-03-27 19:39:10+00:00,2,1,43,1,309,3,0,4
2035-03-27 19:40:10+00:00,2,1,42,1,318,3,0,4
2035-03-27 19:41:10+00:00,2,1,42,1,328,3,10,4
2035-03-27 19:42:10+00:00,2,1,41,1,338,3,6,4
2035-03-27 19:43:10+00:00,2,1,41,1,349,3,6,4
2035-03-27 19:44:10+00:00,2,1,40,1,359,3,6,4
2035-03-27 19:45:10+00:00,2,1,40,1,370,3,12,4
2035-03-27 19:46:10+00:00,2,1,39,1,380,3,13,4
2035-03-27 19:47:10+00:00,2,1,41,1,389,3,29,4
2035-03-27 19:48:10+00:00,2,1,41,1,398,3,13,4
2035-03-27 19:49:10+00:00,2,1,40,1,407,3,3,4
2035-03-27 19:50:10+00:00,2,1,39,1,414,3,1,4
2035-03-27 19:51:10+00:00,2,1,38,1,421,4,0,4
2035-03-27 19:52:10+00:00,2,1,37,1,426,4,1,4
2035-03-27 19:53:10+00:00,2,1,37,1,431,4,3,4
2035-03-27 19:54:10+00:00,2,1,36,1,435,4,0,4
2035-03-27 19:55:10+00:00,2,1,35,1,439,4,0,4
2035-03-27 19:56:10+00:00,2,1,34,1,441,4,0,4
2035-03-27 19:57:10+00:00,2,1,33,1,443,4,0,4
2035-03-27 19:58:10+00:00,2,1,32,1,444,4,0,4
2035-03-27 19:59:10+00:00,2,1,31,1,443,4,0,4
2035-03-27 20:00:10+00:00,2,1,30,1,442,4,0,4
2035-03-27 20:01:10+00:00,2,1,29,1,441,4,0,4
2035-03-27 20:02:10+00:00,2,1,28,1,438,4,1,4
2035-03-27 20:03:10+00:00,2,1,27,1,434,4,0,4
2035-03-27 20:04:10+00:00,2,1,26,1,429,4,1,4
2035-03-27 20:05:10+00:00,2,1,27,1,423,4,29,4
2035-03-27 20:06:10+00:00,2,1,36,1,417,4,88,4
2035-03-27 20:07:10+00:00,2,1,35,1,409,4,54,4
2035-03-27 20:08:10+00:00,2,1,43,1,401,4,121,4
2035-03-27 20:09:10+00:00,2,1,50,1,392,4,119,4
2035-03-27 20:10:10+00:00,2,1,49,1,383,4,44,4
2035-03-27 20:11:10+00:00,2,1,50,1,375,4,53,4
2035-03-27 20:12:10+00:00,2,1,52,1,366,4,97,4
