date,rr
2035-03-27 19:05:36+00:00,553
2035-03-27 19:05:51+00:00,734
2035-03-27 19:06:38+00:00,1482
2035-03-27 19:07:12+00:00,568
2035-03-27 19:07:13+00:00,897
2035-03-27 19:07:16+00:00,1291
2035-03-27 19:08:15+00:00,895
2035-03-27 19:08:15.001000+00:00,779
2035-03-27 19:08:16+00:00,762
2035-03-27 19:08:17.005000+00:00,725
2035-03-27 19:08:18.001000+00:00,731
2035-03-27 19:08:18.002000+00:00,773
2035-03-27 19:08:19.001000+00:00,816
2035-03-27 19:08:20+00:00,813
2035-03-27 19:08:21+00:00,800
2035-03-27 19:08:39.001000+00:00,834
2035-03-27 19:08:40+00:00,766
2035-03-27 19:08:41+00:00,822
2035-03-27 19:08:42.001000+00:00,793
2035-03-27 19:08:43+00:00,858
2035-03-27 19:08:56+00:00,784
2035-03-27 19:08:57.001000+00:00,811
2035-03-27 19:09:05.001000+00:00,848
2035-03-27 19:09:06+00:00,829
2035-03-27 19:09:06.001000+00:00,804
2035-03-27 19:09:07+00:00,804
2035-03-27 19:09:08.001000+00:00,934
2035-03-27 19:09:44+00:00,871
2035-03-27 19:09:45.001000+00:00,823
2035-03-27 19:09:46+00:00,920
2035-03-27 19:09:47.001000+00:00,713
2035-03-27 19:09:48+00:00,1336
2035-03-27 19:09:49.002000+00:00,995
2035-03-27 19:09:50+00:00,738
2035-03-27 19:09:51+00:00,757
2035-03-27 19:09:52+00:00,807
2035-03-27 19:09:52.001000+00:00,835
2035-03-27 19:10:27+00:00,754
2035-03-27 19:10:28.002000+00:00,837
2035-03-27 19:10:28.003000+00:00,809
2035-03-27 19:10:35+00:00,753
2035-03-27 19:10:36+00:00,758
2035-03-27 19:10:37+00:00,823
2035-03-27 19:10:54.001000+00:00,834
2035-03-27 19:10:55+00:00,799
2035-03-27 19:10:56+00:00,777
2035-03-27 19:11:02+00:00,820
2035-03-27 19:11:03+00:00,826
2035-03-27 19:11:04+00:00,793
2035-03-27 19:11:05+00:00,805
2035-03-27 19:11:24.001000+00:00,832
2035-03-27 19:11:25+00:00,864
2035-03-27 19:11:25.001000+00:00,884
2035-03-27 19:11:26+00:00,862
2035-03-27 19:11:27.001000+00:00,853
2035-03-27 19:11:34+00:00,862
2035-03-27 19:11:35+00:00,827
2035-03-27 19:11:49.001000+00:00,789
2035-03-27 19:11:50+00:00,760
2035-03-27 19:11:50.001000+00:00,733
2035-03-27 19:11:51+00:00,765
2035-03-27 19:11:52.001000+00:00,793
2035-03-27 19:11:53.001000+00:00,821
2035-03-27 19:11:53.002000+00:00,799
2035-03-27 19:11:54.001000+00:00,788
2035-03-27 19:11:55+00:00,821
2035-03-27 19:11:56+00:00,830
2035-03-27 19:11:57.001000+00:00,762
2035-03-27 19:11:57.002000+00:00,793
2035-03-27 19:11:58.001000+00:00,810
2035-03-27 19:11:59.001000+00:00,841
2035-03-27 19:12:00+00:00,839
2035-03-27 19:12:01+00:00,864
2035-03-27 19:12:02.001000+00:00,843
2035-03-27 19:12:03.001000+00:00,862
2035-03-27 19:12:03.002000+00:00,871
2035-03-27 19:12:04.001000+00:00,888
2035-03-27 19:12:05+00:00,803
2035-03-27 19:12:06+00:00,795
2035-03-27 19:12:07.001000+00:00,831
2035-03-27 19:12:08.002000+00:00,899
2035-03-27 19:12:09.001000+00:00,953
2035-03-27 19:12:10+00:00,965
2035-03-27 19:12:10.001000+00:00,906
2035-03-27 19:12:11+00:00,842
2035-03-27 19:12:12.001000+00:00,828
2035-03-27 19:12:13.001000+00:00,826
2035-03-27 19:12:14.002000+00:00,828
2035-03-27 19:12:15+00:00,820
2035-03-27 19:12:15.001000+00:00,817
2035-03-27 19:12:16+00:00,842
2035-03-27 19:12:17.001000+00:00,869
2035-03-27 19:12:18.001000+00:00,918
2035-03-27 19:12:19.001000+00:00,919
2035-03-27 19:12:20+00:00,874
2035-03-27 19:12:21+00:00,877
