date,cz,pcz,pczt,czh,cc,quality,stress_skin,stress_skin_quality
2035-03-06 14:50:30+00:00,2,1,51,1,228,3,17,4
2035-03-06 14:51:30+00:00,2,1,50,1,266,3,5,4
2035-03-06 14:52:30+00:00,2,1,50,1,305,3,15,4
2035-03-06 14:53:30+00:00,2,1,49,1,345,3,10,4
2035-03-06 14:54:30+00:00,2,1,48,1,384,3,0,4
2035-03-06 14:55:30+00:00,2,1,47,1,423,3,0,4
2035-03-06 14:56:30+00:00,2,1,46,1,460,3,0,4
2035-03-06 14:57:30+00:00,2,1,45,1,497,3,0,4
2035-03-06 14:58:30+00:00,2,1,44,1,531,3,0,4
2035-03-06 14:59:31+00:00,2,1,43,1,563,3,0,4
2035-03-06 15:00:34+00:00,2,1,42,1,620,3,0,4
2035-03-06 15:03:28+00:00,2,1,41,1,644,3,0,4
2035-03-06 15:04:28+00:00,2,1,41,1,666,3,9,4
2035-03-06 15:05:28+00:00,2,1,40,1,684,3,12,4
2035-03-06 15:06:28+00:00,2,1,39,1,700,3,1,4
2035-03-06 15:07:28+00:00,2,1,42,1,713,3,70,4
2035-03-06 15:08:28+00:00,2,1,41,1,723,3,60,4
2035-03-06 15:09:28+00:00,2,1,40,1,729,3,8,4
2035-03-06 15:10:28+00:00,2,1,40,1,733,3,0,4
2035-03-06 15:11:28+00:00,2,1,39,1,733,3,0,4
2035-03-06 15:12:28+00:00,2,1,38,1,732,3,9,4
2035-03-06 15:13:28+00:00,2,1,37,1,728,3,2,4
2035-03-06 15:14:28+00:00,2,1,36,1,723,3,0,4
2035-03-06 15:15:28+00:00,2,1,35,1,716,3,0,4
2035-03-06 15:16:28+00:00,2,1,34,1,707,3,0,4
2035-03-06 15:17:28+00:00,2,1,33,1,697,3,0,4
2035-03-06 15:18:28+00:00,2,1,32,1,685,3,1,4
2035-03-06 15:19:28+00:00,2,1,32,1,673,3,7,4
2035-03-06 15:20:28+00:00,2,1,31,1,659,3,3,4
2035-03-06 15:21:28+00:00,2,1,31,1,644,3,3,4
2035-03-06 15:22:28+00:00,2,1,30,1,629,3,3,4
2035-03-06 15:23:28+00:00,2,1,29,1,613,3,0,4
