date,rr
2035-03-06 15:03:32+00:00,1109
2035-03-06 15:03:33.001000+00:00,1080
2035-03-06 15:03:34+00:00,1126
2035-03-06 15:03:36+00:00,853
2035-03-06 15:03:39+00:00,944
2035-03-06 15:03:40+00:00,1054
2035-03-06 15:03:41.001000+00:00,1031
2035-03-06 15:03:42+00:00,1125
2035-03-06 15:03:43.001000+00:00,1112
2035-03-06 15:03:45.001000+00:00,1066
2035-03-06 15:03:46.001000+00:00,1056
2035-03-06 15:03:47.001000+00:00,1077
2035-03-06 15:03:48.001000+00:00,1101
2035-03-06 15:03:49+00:00,1047
2035-03-06 15:03:50+00:00,1025
2035-03-06 15:03:51.001000+00:00,1055
2035-03-06 15:03:52.001000+00:00,1070
2035-03-06 15:03:53.001000+00:00,969
2035-03-06 15:04:02+00:00,956
2035-03-06 15:04:03+00:00,935
2035-03-06 15:04:04+00:00,896
2035-03-06 15:04:05+00:00,910
2035-03-06 15:04:13+00:00,1051
2035-03-06 15:04:26+00:00,1016
2035-03-06 15:04:27+00:00,1013
2035-03-06 15:04:28.001000+00:00,945
2035-03-06 15:04:29+00:00,1174
2035-03-06 15:04:30+00:00,978
2035-03-06 15:04:31+00:00,886
2035-03-06 15:04:32.001000+00:00,853
2035-03-06 15:04:43+00:00,864
2035-03-06 15:04:44+00:00,938
2035-03-06 15:04:45.001000+00:00,1049
2035-03-06 15:04:46.001000+00:00,1028
2035-03-06 15:04:48.001000+00:00,1070
2035-03-06 15:04:49+00:00,1030
2035-03-06 15:04:50.001000+00:00,999
2035-03-06 15:04:51.002000+00:00,998
2035-03-06 15:04:52+00:00,974
2035-03-06 15:04:52.001000+00:00,960
2035-03-06 15:04:53.001000+00:00,988
2035-03-06 15:04:55+00:00,1062
2035-03-06 15:04:56.002000+00:00,1008
2035-03-06 15:04:57.001000+00:00,1038
2035-03-06 15:04:58.001000+00:00,1094
2035-03-06 15:04:59+00:00,1045
2035-03-06 15:05:00+00:00,999
2035-03-06 15:05:01.001000+00:00,1001
2035-03-06 15:05:02.001000+00:00,982
2035-03-06 15:05:03.001000+00:00,981
2035-03-06 15:05:04+00:00,957
2035-03-06 15:05:05+00:00,989
2035-03-06 15:05:06.001000+00:00,1049
2035-03-06 15:05:07+00:00,1014
2035-03-06 15:05:08.001000+00:00,992
2035-03-06 15:05:09+00:00,971
2035-03-06 15:05:10.002000+00:00,969
2035-03-06 15:05:11.001000+00:00,1040
2035-03-06 15:05:12.001000+00:00,1069
2035-03-06 15:05:13+00:00,1000
2035-03-06 15:05:14+00:00,1015
2035-03-06 15:05:15.001000+00:00,992
2035-03-06 15:05:16.001000+00:00,973
2035-03-06 15:05:17.001000+00:00,1047
2035-03-06 15:05:18.001000+00:00,1056
2035-03-06 15:05:19+00:00,1078
2035-03-06 15:05:20+00:00,1120
2035-03-06 15:05:21+00:00,1046
2035-03-06 15:05:22+00:00,1077
2035-03-06 15:05:23+00:00,1047
2035-03-06 15:05:24+00:00,1005
2035-03-06 15:06:01+00:00,816
2035-03-06 15:06:02+00:00,730
2035-03-06 15:06:03+00:00,810
2035-03-06 15:06:03.001000+00:00,750
2035-03-06 15:06:04+00:00,791
2035-03-06 15:06:05.001000+00:00,870
2035-03-06 15:06:06+00:00,929
2035-03-06 15:06:07+00:00,976
2035-03-06 15:06:08+00:00,999
2035-03-06 15:06:09+00:00,989
2035-03-06 15:06:10.001000+00:00,970
2035-03-06 15:06:11.002000+00:00,1008
2035-03-06 15:06:12.001000+00:00,977
2035-03-06 15:06:13+00:00,984
2035-03-06 15:06:14+00:00,998
2035-03-06 15:06:15.001000+00:00,971
2035-03-06 15:06:16.001000+00:00,1000
2035-03-06 15:06:17+00:00,1052
2035-03-06 15:06:18.001000+00:00,1062
2035-03-06 15:06:19+00:00,1081
2035-03-06 15:06:20.001000+00:00,1003
2035-03-06 15:06:21.001000+00:00,1049
2035-03-06 15:06:22.001000+00:00,1054
2035-03-06 15:06:23+00:00,1083
2035-03-06 15:06:24+00:00,1118
2035-03-06 15:06:25.001000+00:00,1087
2035-03-06 15:06:26+00:00,1098
2035-03-06 15:06:28+00:00,1081
2035-03-06 15:06:29+00:00,1049
2035-03-06 15:06:36.001000+00:00,1148
2035-03-06 15:06:37+00:00,1105
2035-03-06 15:06:38+00:00,1119
2035-03-06 15:06:39+00:00,1088
2035-03-06 15:06:40.002000+00:00,1054
2035-03-06 15:06:41.001000+00:00,1088
2035-03-06 15:06:43+00:00,1049
2035-03-06 15:06:44+00:00,1106
2035-03-06 15:07:11.001000+00:00,1038
2035-03-06 15:07:12.001000+00:00,1091
2035-03-06 15:07:17.001000+00:00,952
2035-03-06 15:07:18+00:00,992
2035-03-06 15:07:20.001000+00:00,1023
2035-03-06 15:07:21.001000+00:00,1114
2035-03-06 15:07:22.001000+00:00,1148
2035-03-06 15:07:23+00:00,1115
2035-03-06 15:07:24+00:00,1165
2035-03-06 15:07:25.001000+00:00,1109
2035-03-06 15:07:26.001000+00:00,1187
2035-03-06 15:07:43+00:00,1029
2035-03-06 15:07:44+00:00,970
2035-03-06 15:07:45.001000+00:00,872
2035-03-06 15:07:46+00:00,908
2035-03-06 15:07:47.001000+00:00,1117
2035-03-06 15:07:48+00:00,1188
2035-03-06 15:07:49+00:00,1189
2035-03-06 15:07:50.001000+00:00,1146
2035-03-06 15:07:52.001000+00:00,1102
2035-03-06 15:07:53+00:00,1123
2035-03-06 15:07:54+00:00,1137
2035-03-06 15:07:55.001000+00:00,1150
2035-03-06 15:07:56.001000+00:00,1104
2035-03-06 15:07:57.001000+00:00,1132
