date,cz,pcz,pczt,czh,cc,quality,stress_skin,stress_skin_quality
2035-03-12 17:05:51+00:00,2,1,19,1,168,4,0,4
2035-03-12 17:06:51+00:00,2,1,18,1,171,4,0,4
2035-03-12 17:07:51+00:00,2,1,17,1,173,4,13,4
2035-03-12 17:08:51+00:00,2,1,33,1,175,4,97,4
2035-03-12 17:09:51+00:00,2,1,45,1,177,4,116,4
2035-03-12 17:10:51+00:00,2,1,49,1,178,4,84,4
2035-03-12 17:11:51+00:00,2,1,50,1,179,4,44,4
2035-03-12 17:12:51+00:00,2,1,53,1,180,4,110,4
2035-03-12 17:13:51+00:00,2,1,53,1,182,4,95,4
2035-03-12 17:14:52+00:00,2,1,52,1,185,4,29,4
2035-03-12 17:15:51+00:00,2,1,51,1,189,4,3,4
2035-03-12 17:16:51+00:00,2,1,51,1,194,4,10,4
2035-03-12 17:17:51+00:00,2,1,50,1,202,4,9,4
2035-03-12 17:18:51+00:00,2,1,49,1,212,4,6,4
2035-03-12 17:19:51+00:00,2,1,49,1,224,4,27,4
2035-03-12 17:20:51+00:00,2,1,50,1,238,4,33,4
2035-03-12 17:21:51+00:00,2,1,49,1,254,4,17,4
2035-03-12 17:22:51+00:00,2,1,53,1,272,4,132,4
2035-03-12 17:23:51+00:00,2,1,53,1,291,4,106,4
2035-03-12 17:24:51+00:00,2,1,53,1,312,4,34,4
2035-03-12 17:25:51+00:00,2,1,52,1,334,4,10,4
2035-03-12 17:26:51+00:00,2,1,52,1,356,4,43,4
2035-03-12 17:27:51+00:00,2,1,55,1,379,4,127,4
2035-03-12 17:28:51+00:00,2,1,56,1,403,4,136,4
2035-03-12 17:29:51+00:00,2,1,55,1,428,4,54,4
2035-03-12 17:30:52+00:00,2,1,56,1,453,4,142,4
2035-03-12 17:31:52+00:00,2,1,58,1,479,4,215,4
2035-03-12 17:32:52+00:00,2,1,57,1,506,4,88,4
2035-03-12 17:33:52+00:00,2,1,57,1,534,4,24,4
2035-03-12 17:34:52+00:00,2,1,56,1,563,4,0,4
2035-03-12 17:35:52+00:00,2,1,55,1,594,4,17,4
2035-03-12 17:36:52+00:00,2,1,56,1,626,4,60,4
2035-03-12 17:37:52+00:00,2,1,56,1,659,4,93,4
2035-03-12 17:38:52+00:00,2,1,55,1,693,4,32,4
2035-03-12 17:39:52+00:00,2,1,54,1,728,4,2,4
2035-03-12 17:40:52+00:00,2,1,53,1,764,4,3,4
2035-03-12 17:41:52+00:00,2,1,52,1,800,4,2,4
2035-03-12 17:42:52+00:00,2,1,51,1,835,4,0,4
2035-03-12 17:43:52+00:00,2,1,50,1,870,4,6,4
2035-03-12 17:44:52+00:00,2,1,50,1,903,4,25,4
2035-03-12 17:45:52+00:00,2,1,49,1,935,4,1,4
2035-03-12 17:46:51+00:00,2,1,48,1,965,4,0,4
2035-03-12 17:47:51+00:00,2,1,47,1,993,4,0,4
2035-03-12 17:48:51+00:00,2,1,46,1,1017,4,0,4
2035-03-12 17:49:51+00:00,2,1,45,1,1040,4,1,4
2035-03-12 17:50:51+00:00,2,1,45,1,1059,4,10,4
2035-03-12 17:51:51+00:00,2,1,45,1,1074,4,26,4
2035-03-12 17:52:51+00:00,2,1,51,1,1087,4,174,4
2035-03-12 17:53:51+00:00,2,1,51,1,1096,4,129,4
2035-03-12 17:54:51+00:00,2,1,51,1,1102,4,48,4
2035-03-12 17:55:51+00:00,2,1,51,1,1105,4,39,4
2035-03-12 17:56:51+00:00,2,1,50,1,1105,4,12,4
2035-03-12 17:57:51+00:00,2,1,49,1,1103,4,6,4
2035-03-12 17:58:51+00:00,2,1,49,1,1100,4,14,4
2035-03-12 17:59:51+00:00,2,1,48,1,1094,4,9,4
2035-03-12 18:00:51+00:00,2,1,47,1,1088,4,0,4
2035-03-12 18:01:51+00:00,2,1,46,1,1081,4,0,4
2035-03-12 18:02:51+00:00,2,1,45,1,1072,4,7,4
2035-03-12 18:03:51+00:00,2,1,44,1,1063,4,3,4
2035-03-12 18:04:51+00:00,2,1,44,1,1053,4,2,4
2035-03-12 18:05:51+00:00,2,1,43,1,1042,4,5,4
2035-03-12 18:06:51+00:00,2,1,42,1,1030,4,4,4
2035-03-12 18:07:51+00:00,2,1,41,1,1017,4,0,4
2035-03-12 18:08:51+00:00,2,1,43,1,1004,4,40,4
2035-03-12 18:09:51+00:00,2,1,45,1,989,4,95,4
2035-03-12 18:10:51+00:00,2,1,44,1,973,4,41,4
2035-03-12 18:11:51+00:00,2,1,43,1,957,4,1,4
2035-03-12 18:12:51+00:00,2,1,42,1,940,4,0,4
2035-03-12 18:13:51+00:00,2,1,41,1,922,4,3,4
2035-03-12 18:14:51+00:00,2,1,43,1,903,4,56,4
2035-03-12 18:15:51+00:00,2,1,45,1,885,4,66,4
2035-03-12 18:16:51+00:00,2,1,44,1,866,4,19,4
2035-03-12 18:17:51+00:00,2,1,44,1,847,4,0,4
2035-03-12 18:18:51+00:00,2,1,43,1,828,4,0,4
2035-03-12 18:19:51+00:00,2,1,42,1,809,4,11,4
