date,rr
2035-03-12 17:07:07+00:00,745
2035-03-12 17:07:08.001000+00:00,724
2035-03-12 17:07:08.002000+00:00,734
2035-03-12 17:07:09.002000+00:00,732
2035-03-12 17:07:10.002000+00:00,746
2035-03-12 17:07:10.003000+00:00,720
2035-03-12 17:07:11+00:00,712
2035-03-12 17:07:12+00:00,718
2035-03-12 17:07:13+00:00,716
2035-03-12 17:07:13.001000+00:00,727
2035-03-12 17:07:14.002000+00:00,625
2035-03-12 17:07:15.001000+00:00,746
2035-03-12 17:07:15.002000+00:00,701
2035-03-12 17:07:16+00:00,763
2035-03-12 17:07:17+00:00,733
2035-03-12 17:07:18.003000+00:00,716
2035-03-12 17:07:18.004000+00:00,697
2035-03-12 17:07:19.001000+00:00,755
2035-03-12 17:07:20.002000+00:00,766
2035-03-12 17:07:21+00:00,730
2035-03-12 17:07:21.001000+00:00,696
2035-03-12 17:07:22+00:00,709
2035-03-12 17:07:23+00:00,709
2035-03-12 17:07:27+00:00,672
2035-03-12 17:07:28.001000+00:00,1365
2035-03-12 17:07:29.001000+00:00,665
2035-03-12 17:07:30.002000+00:00,636
2035-03-12 17:07:30.003000+00:00,661
2035-03-12 17:07:31.001000+00:00,713
2035-03-12 17:07:32+00:00,748
2035-03-12 17:07:33.003000+00:00,782
2035-03-12 17:07:33.004000+00:00,814
2035-03-12 17:07:34+00:00,838
2035-03-12 17:07:35.001000+00:00,830
2035-03-12 17:07:36+00:00,759
2035-03-12 17:07:36.001000+00:00,748
2035-03-12 17:07:37+00:00,742
2035-03-12 17:07:47.002000+00:00,694
2035-03-12 17:07:49.002000+00:00,706
2035-03-12 17:07:50+00:00,718
2035-03-12 17:07:51.001000+00:00,755
2035-03-12 17:07:51.002000+00:00,739
2035-03-12 17:07:52+00:00,715
2035-03-12 17:07:53.003000+00:00,745
2035-03-12 17:07:54.001000+00:00,708
2035-03-12 17:07:54.002000+00:00,717
2035-03-12 17:07:55.002000+00:00,677
2035-03-12 17:07:56+00:00,660
2035-03-12 17:07:56.001000+00:00,671
2035-03-12 17:07:57+00:00,659
2035-03-12 17:07:58.001000+00:00,672
2035-03-12 17:07:58.002000+00:00,660
2035-03-12 17:07:59.002000+00:00,681
2035-03-12 17:08:00.001000+00:00,670
2035-03-12 17:08:00.002000+00:00,696
2035-03-12 17:08:01+00:00,659
2035-03-12 17:08:02+00:00,649
2035-03-12 17:08:02.001000+00:00,664
2035-03-12 17:08:03.001000+00:00,666
2035-03-12 17:08:04.003000+00:00,677
2035-03-12 17:08:04.004000+00:00,636
2035-03-12 17:08:05.001000+00:00,718
2035-03-12 17:08:06+00:00,674
2035-03-12 17:08:06.001000+00:00,689
2035-03-12 17:08:07+00:00,688
2035-03-12 17:08:08.002000+00:00,683
2035-03-12 17:08:08.003000+00:00,680
2035-03-12 17:08:09.001000+00:00,685
2035-03-12 17:08:10+00:00,701
2035-03-12 17:08:10.001000+00:00,686
2035-03-12 17:08:11.001000+00:00,690
