date,cz,pcz,pczt,czh,cc,quality,stress_skin,stress_skin_quality
2035-03-13 19:50:37+00:00,2,1,8,1,239,4,0,4
2035-03-13 19:51:37+00:00,2,1,7,1,226,4,0,4
2035-03-13 19:52:37+00:00,2,1,6,1,213,4,0,4
2035-03-13 19:53:38+00:00,2,1,5,1,201,4,0,4
2035-03-13 19:54:38+00:00,2,1,4,1,189,4,0,4
2035-03-13 19:55:38+00:00,2,1,3,1,177,4,0,4
2035-03-13 19:56:38+00:00,2,1,2,1,166,4,0,4
2035-03-13 19:57:38+00:00,2,1,1,1,155,4,0,4
2035-03-13 19:58:38+00:00,1,1,255,1,144,4,0,4
2035-03-13 19:59:38+00:00,1,1,255,1,134,4,0,4
2035-03-13 20:00:38+00:00,1,1,255,1,124,4,0,4
2035-03-13 20:01:38+00:00,1,1,255,1,115,4,0,4
2035-03-13 20:02:39+00:00,0,0,0,0,0,0,0,4
2035-03-13 20:03:39+00:00,1,1,255,1,106,4,0,4
2035-03-13 20:04:41+00:00,1,1,255,1,97,4,0,4
2035-03-13 20:05:41+00:00,1,1,255,1,89,4,0,4
2035-03-13 20:06:41+00:00,1,1,255,1,82,4,0,4
2035-03-13 20:07:41+00:00,1,1,255,1,74,4,0,4
2035-03-13 20:08:42+00:00,1,1,255,1,68,4,20,4
2035-03-13 20:09:41+00:00,1,1,255,1,61,4,123,4
2035-03-13 20:10:41+00:00,1,2,22,1,55,4,126,4
2035-03-13 20:11:41+00:00,1,2,16,1,50,4,126,4
2035-03-13 20:12:40+00:00,1,2,12,1,45,4,156,4
2035-03-13 20:13:40+00:00,1,2,11,1,42,4,78,4
2035-03-13 20:14:40+00:00,1,2,10,1,40,4,123,4
2035-03-13 20:15:40+00:00,1,2,8,1,39,4,124,4
2035-03-13 20:16:41+00:00,1,2,7,1,42,4,83,4
2035-03-13 20:17:40+00:00,1,2,6,1,47,4,55,4
2035-03-13 20:18:40+00:00,1,2,5,1,56,4,38,4
2035-03-13 20:19:40+00:00,1,2,4,1,69,4,22,4
2035-03-13 20:20:41+00:00,1,2,3,1,87,4,18,4
2035-03-13 20:21:41+00:00,1,2,2,1,109,4,35,4
2035-03-13 20:22:41+00:00,1,2,1,1,136,4,22,4
2035-03-13 20:23:42+00:00,2,1,56,1,168,4,20,4
2035-03-13 20:24:41+00:00,2,1,55,1,204,4,31,4
2035-03-13 20:25:41+00:00,2,1,55,1,244,4,39,4
2035-03-13 20:26:42+00:00,2,1,54,1,286,4,13,4
2035-03-13 20:27:42+00:00,2,1,54,1,331,4,25,4
2035-03-13 20:28:41+00:00,2,1,53,1,379,4,17,4
2035-03-13 20:29:41+00:00,2,1,53,1,427,4,12,4
2035-03-13 20:30:41+00:00,2,1,52,1,475,4,8,4
2035-03-13 20:31:42+00:00,2,1,51,1,524,4,8,4
2035-03-13 20:32:41+00:00,2,1,50,1,572,4,6,4
2035-03-13 20:33:41+00:00,2,1,50,1,619,4,17,4
2035-03-13 20:34:41+00:00,2,1,49,1,664,4,11,4
2035-03-13 20:35:41+00:00,2,1,48,1,707,4,8,4
2035-03-13 20:36:41+00:00,2,1,48,1,748,4,32,4
2035-03-13 20:37:41+00:00,2,1,49,1,786,4,27,4
2035-03-13 20:38:41+00:00,2,1,49,1,821,4,29,4
2035-03-13 20:39:41+00:00,2,1,48,1,853,4,18,4
2035-03-13 20:40:42+00:00,2,1,47,1,882,4,1,4
2035-03-13 20:41:41+00:00,2,1,46,1,908,4,0,4
2035-03-13 20:42:41+00:00,2,1,45,1,931,4,0,4
2035-03-13 20:43:42+00:00,2,1,45,1,950,4,24,4
2035-03-13 20:44:41+00:00,2,1,45,1,966,4,19,4
2035-03-13 20:45:41+00:00,2,1,44,1,978,4,3,4
2035-03-13 20:46:41+00:00,2,1,43,1,987,4,2,4
2035-03-13 20:47:41+00:00,2,1,42,1,993,4,0,4
2035-03-13 20:48:41+00:00,2,1,41,1,996,4,0,4
2035-03-13 20:49:41+00:00,2,1,40,1,996,4,0,4
2035-03-13 20:50:41+00:00,2,1,39,1,993,4,0,4
2035-03-13 20:51:41+00:00,2,1,38,1,988,4,0,4
2035-03-13 20:52:41+00:00,2,1,37,1,979,4,6,4
2035-03-13 20:53:41+00:00,2,1,38,1,969,4,18,4
2035-03-13 20:54:41+00:00,2,1,41,1,956,4,66,4
2035-03-13 20:55:41+00:00,2,1,41,1,941,4,37,4
2035-03-13 20:56:41+00:00,2,1,42,1,924,4,17,4
2035-03-13 20:57:42+00:00,2,1,42,1,905,4,23,4
2035-03-13 20:58:41+00:00,2,1,42,1,885,4,10,4
2035-03-13 20:59:41+00:00,2,1,41,1,865,4,6,4
2035-03-13 21:00:41+00:00,2,1,41,1,843,4,7,4
2035-03-13 21:01:41+00:00,2,1,40,1,821,4,2,4
2035-03-13 21:02:41+00:00,2,1,40,1,799,4,6,4
2035-03-13 21:03:41+00:00,2,1,40,1,777,4,22,4
