date,rr
2035-03-13 19:50:49+00:00,751
2035-03-13 19:50:51+00:00,1421
2035-03-13 19:50:52+00:00,1311
2035-03-13 19:53:54+00:00,504
2035-03-13 19:53:55+00:00,843
2035-03-13 19:54:13+00:00,1067
2035-03-13 19:54:58+00:00,529
2035-03-13 19:54:59+00:00,1471
2035-03-13 19:55:00+00:00,513
2035-03-13 19:55:06+00:00,1617
2035-03-13 19:55:29+00:00,690
2035-03-13 19:57:33+00:00,647
2035-03-13 19:57:35+00:00,987
2035-03-13 19:57:44+00:00,586
2035-03-13 19:57:45+00:00,918
2035-03-13 19:57:45.001000+00:00,532
2035-03-13 20:04:50+00:00,840
2035-03-13 20:05:00+00:00,735
2035-03-13 20:05:14+00:00,1504
2035-03-13 20:05:38+00:00,682
2035-03-13 20:05:50+00:00,554
2035-03-13 20:07:16+00:00,614
2035-03-13 20:07:16.001000+00:00,596
2035-03-13 20:07:17+00:00,599
2035-03-13 20:07:17.001000+00:00,577
2035-03-13 20:07:18.003000+00:00,567
2035-03-13 20:07:21+00:00,578
2035-03-13 20:07:21.001000+00:00,621
2035-03-13 20:07:22+00:00,725
2035-03-13 20:07:23+00:00,749
2035-03-13 20:07:23.001000+00:00,726
2035-03-13 20:07:24.001000+00:00,695
2035-03-13 20:07:25.002000+00:00,679
2035-03-13 20:07:25.003000+00:00,689
2035-03-13 20:07:26+00:00,719
2035-03-13 20:07:27+00:00,699
2035-03-13 20:07:28+00:00,674
2035-03-13 20:07:28.001000+00:00,686
2035-03-13 20:07:29+00:00,707
2035-03-13 20:07:30.001000+00:00,752
2035-03-13 20:07:30.002000+00:00,779
2035-03-13 20:07:31+00:00,724
2035-03-13 20:07:33+00:00,790
2035-03-13 20:07:34+00:00,647
2035-03-13 20:07:36+00:00,661
2035-03-13 20:07:41+00:00,617
2035-03-13 20:07:44+00:00,611
2035-03-13 20:07:44.001000+00:00,613
2035-03-13 20:07:47+00:00,624
2035-03-13 20:07:48+00:00,678
2035-03-13 20:07:49+00:00,722
2035-03-13 20:07:49.001000+00:00,709
2035-03-13 20:07:50+00:00,763
2035-03-13 20:07:51+00:00,699
2035-03-13 20:07:51.001000+00:00,693
2035-03-13 20:07:52+00:00,688
2035-03-13 20:07:53+00:00,677
2035-03-13 20:07:53.001000+00:00,663
2035-03-13 20:07:54+00:00,647
2035-03-13 20:07:55+00:00,719
2035-03-13 20:08:01+00:00,601
2035-03-13 20:08:26.001000+00:00,581
2035-03-13 20:08:27+00:00,592
2035-03-13 20:08:27.001000+00:00,599
2035-03-13 20:08:28.002000+00:00,584
2035-03-13 20:08:28.003000+00:00,576
2035-03-13 20:08:30.001000+00:00,590
2035-03-13 20:08:31.002000+00:00,636
2035-03-13 20:08:31.003000+00:00,681
2035-03-13 20:08:32+00:00,841
2035-03-13 20:08:33+00:00,711
2035-03-13 20:08:33.001000+00:00,665
2035-03-13 20:08:34.001000+00:00,735
2035-03-13 20:08:35.001000+00:00,738
2035-03-13 20:08:36.002000+00:00,718
2035-03-13 20:08:36.003000+00:00,691
