date,cz,pcz,pczt,czh,cc,quality,stress_skin,stress_skin_quality
2035-02-28 16:50:35+00:00,0,0,255,0,295,2,5,4
2035-02-28 16:51:35+00:00,0,0,255,0,285,2,0,4
2035-02-28 16:52:35+00:00,0,0,255,0,275,2,0,4
2035-02-28 16:53:35+00:00,0,0,255,0,265,2,0,4
2035-02-28 16:54:35+00:00,0,0,255,0,256,2,0,4
2035-02-28 16:55:35+00:00,0,0,255,0,249,2,0,4
2035-02-28 16:56:35+00:00,0,0,255,0,242,2,0,4
2035-02-28 16:57:35+00:00,0,0,255,0,236,2,0,4
2035-02-28 16:58:35+00:00,0,0,255,0,231,2,0,4
2035-02-28 16:59:35+00:00,0,0,255,0,228,2,0,4
2035-02-28 17:00:35+00:00,0,0,255,0,226,2,0,4
2035-02-28 17:01:35+00:00,0,0,255,0,224,2,0,4
2035-02-28 17:02:35+00:00,0,0,255,0,224,2,0,4
2035-02-28 17:03:35+00:00,0,0,255,0,224,2,0,4
2035-02-28 17:04:35+00:00,0,0,255,0,225,2,0,4
2035-02-28 17:05:35+00:00,0,0,255,0,227,2,1,4
2035-02-28 17:06:35+00:00,0,0,255,0,229,2,5,4
2035-02-28 17:07:35+00:00,0,0,255,0,232,2,0,4
2035-02-28 17:08:35+00:00,0,0,255,0,234,1,0,4
2035-02-28 17:09:35+00:00,0,0,255,0,238,1,2,4
2035-02-28 17:10:35+00:00,0,0,255,0,241,1,3,4
2035-02-28 17:11:35+00:00,0,0,255,0,244,1,0,4
2035-02-28 17:12:35+00:00,0,0,255,0,247,1,2,4
2035-02-28 17:13:35+00:00,0,0,255,0,251,1,10,4
2035-02-28 17:14:35+00:00,0,0,255,0,254,1,0,4
2035-02-28 17:15:35+00:00,0,0,255,0,256,1,0,4
2035-02-28 17:16:35+00:00,0,0,255,0,259,1,0,4
2035-02-28 17:17:35+00:00,0,0,255,0,261,1,0,4
2035-02-28 17:18:35+00:00,0,0,255,0,262,1,22,4
2035-02-28 17:19:35+00:00,0,0,255,0,263,1,31,4
2035-02-28 17:20:35+00:00,0,0,255,0,264,1,0,4
2035-02-28 17:21:35+00:00,0,0,255,0,264,1,0,4
2035-02-28 17:22:35+00:00,0,0,255,0,263,1,11,4
2035-02-28 17:23:35+00:00,0,0,255,0,262,1,103,4
2035-02-28 17:24:35+00:00,0,0,255,0,261,1,86,4
2035-02-28 17:25:35+00:00,0,0,255,0,259,1,107,4
2035-02-28 17:26:35+00:00,0,0,255,0,257,1,91,4
2035-02-28 17:27:35+00:00,0,0,255,0,256,1,29,4
2035-02-28 17:28:35+00:00,0,0,255,0,255,1,0,4
2035-02-28 17:29:35+00:00,0,0,255,0,255,1,0,4
2035-02-28 17:30:35+00:00,0,0,255,0,256,1,0,4
2035-02-28 17:31:35+00:00,0,0,255,0,259,1,0,4
2035-02-28 17:32:35+00:00,0,0,255,0,264,1,4,4
2035-02-28 17:33:35+00:00,0,0,255,0,270,1,12,4
2035-02-28 17:34:35+00:00,0,0,255,0,278,1,2,4
2035-02-28 17:35:35+00:00,0,0,255,0,287,1,12,4
2035-02-28 17:36:35+00:00,0,0,255,0,297,1,1,4
2035-02-28 17:37:35+00:00,0,0,255,0,309,2,3,4
2035-02-28 17:38:35+00:00,0,0,255,0,321,2,5,4
2035-02-28 17:39:35+00:00,0,0,255,0,334,2,1,4
2035-02-28 17:40:35+00:00,0,0,255,0,347,2,24,4
2035-02-28 17:41:35+00:00,0,0,255,0,360,2,99,4
2035-02-28 17:42:35+00:00,0,0,255,0,373,2,146,4
2035-02-28 17:43:35+00:00,0,0,255,0,385,2,140,4
2035-02-28 17:44:35+00:00,0,0,255,0,396,2,57,4
2035-02-28 17:45:35+00:00,0,0,255,0,408,2,10,4
2035-02-28 17:46:35+00:00,2,1,52,1,419,2,24,4
2035-02-28 17:47:35+00:00,2,1,51,1,431,2,2,4
2035-02-28 17:48:35+00:00,2,1,50,1,443,2,0,4
2035-02-28 17:49:35+00:00,2,1,49,1,455,2,0,4
2035-02-28 17:50:35+00:00,2,1,48,1,469,2,1,4
2035-02-28 17:51:35+00:00,2,1,47,1,483,3,1,4
2035-02-28 17:52:35+00:00,2,1,46,1,498,3,0,4
2035-02-28 17:53:35+00:00,2,1,45,1,513,3,13,4
2035-02-28 17:54:35+00:00,2,1,46,1,529,3,30,4
2035-02-28 17:55:35+00:00,2,1,45,1,545,3,11,4
2035-02-28 17:56:35+00:00,2,1,46,1,560,3,45,4
2035-02-28 17:57:35+00:00,2,1,45,1,574,3,95,4
2035-02-28 17:58:35+00:00,2,1,59,1,587,3,685,4
2035-02-28 17:59:35+00:00,2,1,59,1,600,3,443,4
2035-02-28 18:00:35+00:00,2,1,58,1,611,3,201,4
2035-02-28 18:01:35+00:00,2,1,57,1,623,3,87,4
2035-02-28 18:02:35+00:00,2,1,56,1,634,3,27,4
2035-02-28 18:03:35+00:00,2,1,55,1,647,3,0,4
2035-02-28 18:04:35+00:00,2,1,55,1,660,3,38,4
2035-02-28 18:05:35+00:00,2,2,255,2,676,3,450,4
2035-02-28 18:06:35+00:00,2,1,59,1,693,3,282,4
2035-02-28 18:07:35+00:00,2,1,58,1,712,3,120,4
2035-02-28 18:08:35+00:00,2,1,58,1,733,3,42,4
2035-02-28 18:09:35+00:00,2,1,58,1,757,3,1,4
2035-02-28 18:10:35+00:00,2,1,58,1,783,3,0,4
2035-02-28 18:11:35+00:00,2,1,58,1,811,4,0,4
2035-02-28 18:12:35+00:00,2,1,57,1,841,4,0,4
2035-02-28 18:13:35+00:00,2,1,57,1,873,4,0,4
2035-02-28 18:14:37+00:00,2,1,57,1,905,4,0,4
2035-02-28 18:15:37+00:00,2,1,57,1,939,4,0,4
2035-02-28 18:16:37+00:00,2,1,57,1,974,4,0,4
2035-02-28 18:17:37+00:00,2,1,57,1,1009,4,0,4
2035-02-28 18:18:37+00:00,2,1,57,1,1044,4,0,4
2035-02-28 18:19:37+00:00,2,1,57,1,1079,3,0,4
