date,rr
2035-02-28 16:50:00+00:00,523
2035-02-28 16:50:04+00:00,536
2035-02-28 16:50:05+00:00,964
2035-02-28 16:50:07+00:00,1323
2035-02-28 16:50:08+00:00,591
2035-02-28 16:50:11+00:00,592
2035-02-28 16:50:12+00:00,995
2035-02-28 16:50:14+00:00,1535
2035-02-28 16:50:18+00:00,954
2035-02-28 16:50:46+00:00,1776
2035-02-28 16:50:48.002000+00:00,541
2035-02-28 16:50:54+00:00,523
2035-02-28 16:51:07+00:00,531
2035-02-28 16:51:10+00:00,1109
2035-02-28 16:51:34+00:00,1331
2035-02-28 16:51:36+00:00,1268
2035-02-28 16:51:37+00:00,538
2035-02-28 16:51:48+00:00,1616
2035-02-28 16:51:50+00:00,1251
2035-02-28 16:52:02+00:00,530
2035-02-28 16:52:02.001000+00:00,530
2035-02-28 16:52:03+00:00,532
2035-02-28 16:52:03.001000+00:00,535
2035-02-28 16:52:04+00:00,539
2035-02-28 16:52:05+00:00,529
2035-02-28 16:52:05.001000+00:00,527
2035-02-28 16:52:06+00:00,1057
2035-02-28 16:52:07+00:00,533
2035-02-28 16:52:17+00:00,527
2035-02-28 16:52:18+00:00,530
2035-02-28 16:52:22.001000+00:00,572
2035-02-28 16:52:23+00:00,1062
2035-02-28 16:52:28+00:00,532
2035-02-28 16:52:31+00:00,529
2035-02-28 16:52:32+00:00,535
2035-02-28 16:52:32.001000+00:00,532
2035-02-28 16:52:33+00:00,527
2035-02-28 16:52:33.001000+00:00,532
2035-02-28 16:52:34+00:00,530
2035-02-28 16:52:38+00:00,549
2035-02-28 16:52:40+00:00,534
2035-02-28 16:52:49+00:00,1438
2035-02-28 16:52:58+00:00,1685
2035-02-28 16:53:14.003000+00:00,1592
2035-02-28 16:53:14.004000+00:00,533
2035-02-28 16:53:16+00:00,523
2035-02-28 16:53:16.001000+00:00,531
2035-02-28 16:53:17+00:00,541
2035-02-28 16:53:18+00:00,653
2035-02-28 16:53:18.001000+00:00,527
2035-02-28 16:53:19+00:00,1518
2035-02-28 16:53:25.003000+00:00,1519
2035-02-28 16:53:26+00:00,530
2035-02-28 16:53:27.002000+00:00,594
2035-02-28 16:53:28+00:00,532
2035-02-28 16:53:28.001000+00:00,534
2035-02-28 16:53:30+00:00,1059
2035-02-28 16:53:30.001000+00:00,537
2035-02-28 16:53:31+00:00,528
2035-02-28 16:53:31.001000+00:00,531
2035-02-28 16:53:37+00:00,1256
2035-02-28 16:53:56+00:00,908
2035-02-28 16:54:21+00:00,533
2035-02-28 16:54:26+00:00,532
2035-02-28 16:54:30+00:00,532
2035-02-28 16:54:30.001000+00:00,513
2035-02-28 16:54:44+00:00,1261
2035-02-28 16:54:47+00:00,1780
2035-02-28 16:54:48+00:00,516
2035-02-28 16:55:07+00:00,533
2035-02-28 16:55:08+00:00,1060
2035-02-28 16:55:09.001000+00:00,657
2035-02-28 16:55:10+00:00,529
2035-02-28 16:55:10.001000+00:00,532
2035-02-28 16:55:17.002000+00:00,531
2035-02-28 16:55:24+00:00,527
2035-02-28 16:55:26+00:00,1776
2035-02-28 16:55:27+00:00,724
2035-02-28 16:55:30+00:00,1125
2035-02-28 16:55:41+00:00,525
2035-02-28 16:55:41.001000+00:00,537
2035-02-28 16:55:51+00:00,531
2035-02-28 16:55:54+00:00,528
2035-02-28 16:56:04+00:00,530
2035-02-28 16:56:05+00:00,1404
2035-02-28 16:56:09+00:00,532
2035-02-28 16:56:09.001000+00:00,540
2035-02-28 16:56:10+00:00,535
2035-02-28 16:56:10.001000+00:00,590
2035-02-28 16:56:11+00:00,698
2035-02-28 16:56:12+00:00,531
2035-02-28 16:56:12.001000+00:00,530
2035-02-28 16:56:13+00:00,998
2035-02-28 16:56:14+00:00,545
2035-02-28 16:56:18+00:00,747
2035-02-28 16:56:19+00:00,530
2035-02-28 16:56:19.001000+00:00,525
2035-02-28 16:56:20.002000+00:00,537
2035-02-28 16:56:31+00:00,530
2035-02-28 16:56:31.001000+00:00,528
2035-02-28 16:56:39+00:00,1650
2035-02-28 16:57:03+00:00,597
2035-02-28 16:57:04+00:00,532
2035-02-28 16:57:22+00:00,1398
2035-02-28 16:57:23+00:00,655
2035-02-28 16:57:37+00:00,1207
2035-02-28 16:57:51+00:00,598
2035-02-28 16:58:07+00:00,775
2035-02-28 16:58:08+00:00,594
2035-02-28 16:58:09+00:00,1247
2035-02-28 16:58:15+00:00,978
2035-02-28 16:58:31+00:00,1064
2035-02-28 16:58:50+00:00,1770
2035-02-28 16:58:59+00:00,940
2035-02-28 16:59:26+00:00,540
2035-02-28 16:59:58+00:00,977
2035-02-28 17:00:12+00:00,1535
2035-02-28 17:00:18+00:00,528
2035-02-28 17:00:20+00:00,729
2035-02-28 17:00:22+00:00,1661
2035-02-28 17:01:38+00:00,1004
2035-02-28 17:01:50+00:00,621
2035-02-28 17:01:53+00:00,1192
2035-02-28 17:02:11+00:00,564
2035-02-28 17:02:14+00:00,1311
2035-02-28 17:02:15+00:00,816
2035-02-28 17:02:50+00:00,1042
2035-02-28 17:02:56+00:00,1550
2035-02-28 17:04:43+00:00,631
2035-02-28 17:04:56+00:00,660
2035-02-28 17:04:59+00:00,698
2035-02-28 17:05:00.001000+00:00,749
2035-02-28 17:05:01+00:00,790
2035-02-28 17:05:02+00:00,814
2035-02-28 17:05:02.001000+00:00,755
2035-02-28 17:05:03.001000+00:00,705
2035-02-28 17:05:04.001000+00:00,718
2035-02-28 17:05:05+00:00,750
2035-02-28 17:05:05.001000+00:00,794
2035-02-28 17:05:06+00:00,790
2035-02-28 17:05:07.001000+00:00,847
2035-02-28 17:05:08.002000+00:00,844
2035-02-28 17:05:09.001000+00:00,879
2035-02-28 17:05:09.002000+00:00,643
2035-02-28 17:05:10+00:00,723
2035-02-28 17:05:11+00:00,714
2035-02-28 17:05:12.001000+00:00,756
2035-02-28 17:05:12.002000+00:00,713
2035-02-28 17:05:13.001000+00:00,739
2035-02-28 17:05:14.002000+00:00,760
2035-02-28 17:05:15+00:00,769
2035-02-28 17:05:15.001000+00:00,728
2035-02-28 17:05:16+00:00,747
2035-02-28 17:05:17.001000+00:00,742
2035-02-28 17:05:17.002000+00:00,716
2035-02-28 17:05:18.002000+00:00,773
2035-02-28 17:05:19.001000+00:00,817
2035-02-28 17:05:20+00:00,782
2035-02-28 17:05:21+00:00,825
2035-02-28 17:05:21.001000+00:00,792
2035-02-28 17:05:22.001000+00:00,803
2035-02-28 17:05:23.002000+00:00,791
2035-02-28 17:05:24.001000+00:00,758
2035-02-28 17:05:24.002000+00:00,691
2035-02-28 17:05:25+00:00,674
2035-02-28 17:05:26+00:00,663
2035-02-28 17:05:27.002000+00:00,709
2035-02-28 17:05:27.003000+00:00,725
2035-02-28 17:05:28.001000+00:00,706
2035-02-28 17:05:29.001000+00:00,767
2035-02-28 17:05:30+00:00,804
2035-02-28 17:05:30.001000+00:00,798
2035-02-28 17:05:31+00:00,768
2035-02-28 17:05:32+00:00,729
2035-02-28 17:05:34+00:00,546
2035-02-28 17:05:35+00:00,619
2035-02-28 17:05:37+00:00,588
2035-02-28 17:05:37.001000+00:00,641
