date,cz,pcz,pczt,czh,cc,quality,stress_skin,stress_skin_quality
2035-03-15 19:57:22+00:00,1,1,255,1,0,4,0,4
2035-03-15 19:58:22+00:00,1,1,255,1,0,4,0,4
2035-03-15 19:59:22+00:00,1,1,255,1,0,4,0,4
2035-03-15 20:00:22+00:00,1,1,255,1,0,4,0,4
2035-03-15 20:01:22+00:00,1,1,255,1,0,4,0,4
2035-03-15 20:02:23+00:00,1,1,255,1,0,4,0,4
2035-03-15 20:03:22+00:00,1,1,255,1,0,4,0,4
2035-03-15 20:04:22+00:00,1,1,255,1,0,4,13,4
2035-03-15 20:05:22+00:00,1,1,255,1,0,4,25,4
2035-03-15 20:06:22+00:00,1,1,255,1,0,4,5,4
2035-03-15 20:07:22+00:00,1,1,255,1,0,4,1,4
2035-03-15 20:08:22+00:00,1,1,255,1,0,4,25,4
2035-03-15 20:09:22+00:00,1,1,255,1,0,4,9,4
2035-03-15 20:10:22+00:00,1,1,255,1,0,4,16,4
2035-03-15 20:11:22+00:00,1,1,255,1,0,4,8,4
2035-03-15 20:12:22+00:00,1,1,255,1,0,4,73,4
2035-03-15 20:13:22+00:00,1,2,17,1,1,4,456,4
2035-03-15 20:14:22+00:00,1,2,15,1,2,4,585,4
2035-03-15 20:15:22+00:00,1,2,13,1,3,4,359,4
2035-03-15 20:16:22+00:00,1,2,12,1,5,4,216,4
2035-03-15 20:17:22+00:00,1,2,11,1,8,4,111,4
2035-03-15 20:18:22+00:00,1,2,10,1,12,3,37,4
2035-03-15 20:19:22+00:00,1,2,9,1,18,3,0,4
2035-03-15 20:20:22+00:00,1,2,8,1,27,3,0,4
2035-03-15 20:21:22+00:00,1,2,7,1,37,3,17,4
2035-03-15 20:22:22+00:00,1,2,6,1,50,3,20,4
2035-03-15 20:23:23+00:00,1,2,5,1,65,3,0,4
2035-03-15 20:24:22+00:00,1,2,4,1,82,3,0,4
2035-03-15 20:25:22+00:00,1,2,3,1,100,3,0,4
2035-03-15 20:26:22+00:00,1,2,2,1,120,3,0,4
2035-03-15 20:27:22+00:00,1,2,1,1,140,3,0,4
2035-03-15 20:28:22+00:00,2,1,39,1,161,3,0,4
2035-03-15 20:29:22+00:00,2,1,38,1,182,3,0,4
2035-03-15 20:30:22+00:00,2,1,37,1,203,3,0,4
2035-03-15 20:31:23+00:00,2,1,36,1,223,3,0,4
2035-03-15 20:32:22+00:00,2,1,35,1,242,3,0,4
2035-03-15 20:33:22+00:00,2,1,34,1,260,3,0,4
2035-03-15 20:34:22+00:00,2,1,33,1,277,3,0,4
2035-03-15 20:35:22+00:00,2,1,37,1,293,3,159,4
2035-03-15 20:36:22+00:00,2,1,36,1,307,3,190,4
2035-03-15 20:37:22+00:00,2,1,35,1,319,3,76,4
2035-03-15 20:38:22+00:00,2,1,35,1,330,3,37,4
2035-03-15 20:39:22+00:00,2,1,34,1,339,3,36,4
2035-03-15 20:40:22+00:00,2,1,33,1,347,3,1,4
2035-03-15 20:41:22+00:00,2,1,36,1,354,3,18,4
2035-03-15 20:42:22+00:00,2,1,40,1,359,3,352,4
2035-03-15 20:43:22+00:00,2,1,39,1,364,3,269,4
2035-03-15 20:44:22+00:00,2,1,38,1,367,3,114,4
2035-03-15 20:45:23+00:00,2,1,37,1,369,3,39,4
2035-03-15 20:46:22+00:00,2,1,36,1,371,3,0,4
2035-03-15 20:47:22+00:00,0,0,0,0,0,0,0,4
2035-03-15 20:48:22+00:00,2,1,35,1,371,3,0,4
2035-03-15 20:49:22+00:00,2,1,34,1,371,2,0,4
2035-03-15 20:50:22+00:00,2,1,33,1,371,2,10,4
2035-03-15 20:51:22+00:00,2,1,37,1,370,2,228,4
2035-03-15 20:52:22+00:00,2,1,36,1,368,2,149,4
2035-03-15 20:53:23+00:00,2,1,35,1,367,2,56,4
2035-03-15 20:54:22+00:00,2,1,34,1,365,2,31,4
2035-03-15 20:55:22+00:00,2,1,37,1,363,2,132,4
2035-03-15 20:56:22+00:00,0,0,255,0,360,2,66,4
2035-03-15 20:57:22+00:00,0,0,255,0,358,2,10,4
2035-03-15 20:58:22+00:00,0,0,255,0,355,2,0,4
2035-03-15 20:59:22+00:00,0,0,255,0,352,2,0,4
2035-03-15 21:00:22+00:00,0,0,255,0,350,2,0,4
2035-03-15 21:01:23+00:00,0,0,255,0,347,2,0,4
2035-03-15 21:02:22+00:00,0,0,255,0,344,2,0,4
2035-03-15 21:03:24+00:00,0,0,255,0,341,2,0,4
2035-03-15 21:04:23+00:00,0,0,255,0,338,2,17,4
2035-03-15 21:05:24+00:00,0,0,255,0,335,2,33,4
2035-03-15 21:06:23+00:00,0,0,255,0,332,2,21,4
2035-03-15 21:07:24+00:00,0,0,255,0,328,2,38,4
2035-03-15 21:08:23+00:00,0,0,255,0,324,2,43,4
2035-03-15 21:09:22+00:00,0,0,255,0,320,2,90,4
2035-03-15 21:10:22+00:00,0,0,255,0,316,2,33,4
2035-03-15 21:11:22+00:00,0,0,255,0,311,2,0,4
2035-03-15 21:12:22+00:00,0,0,255,0,306,2,0,4
2035-03-15 21:13:23+00:00,0,0,255,0,301,2,0,4
2035-03-15 21:14:22+00:00,0,0,255,0,296,2,0,4
2035-03-15 21:15:22+00:00,0,0,255,0,290,2,0,4
2035-03-15 21:16:22+00:00,0,0,255,0,284,2,0,4
2035-03-15 21:17:22+00:00,0,0,255,0,279,2,0,4
2035-03-15 21:18:22+00:00,0,0,255,0,273,2,0,4
2035-03-15 21:19:22+00:00,0,0,255,0,267,2,0,4
