date,rr
2035-03-15 19:57:22+00:00,568
2035-03-15 19:57:25.003000+00:00,650
2035-03-15 19:57:29+00:00,1420
2035-03-15 19:57:33+00:00,501
2035-03-15 19:57:54+00:00,574
2035-03-15 19:57:55+00:00,590
2035-03-15 19:58:09+00:00,1352
2035-03-15 19:58:18+00:00,566
2035-03-15 19:58:59+00:00,1643
2035-03-15 19:59:00+00:00,638
2035-03-15 19:59:02+00:00,1549
2035-03-15 19:59:03+00:00,557
2035-03-15 19:59:25+00:00,959
2035-03-15 19:59:54+00:00,1097
2035-03-15 20:01:18+00:00,617
2035-03-15 20:01:19+00:00,1234
2035-03-15 20:01:19.001000+00:00,686
2035-03-15 20:01:20.001000+00:00,714
2035-03-15 20:01:23+00:00,629
2035-03-15 20:01:24+00:00,631
2035-03-15 20:01:24.001000+00:00,641
2035-03-15 20:01:25.002000+00:00,675
2035-03-15 20:01:26.002000+00:00,667
2035-03-15 20:01:27+00:00,1274
2035-03-15 20:01:27.001000+00:00,610
2035-03-15 20:01:28+00:00,899
2035-03-15 20:01:33+00:00,660
2035-03-15 20:01:33.001000+00:00,671
2035-03-15 20:01:38+00:00,652
2035-03-15 20:01:38.001000+00:00,670
2035-03-15 20:02:10.001000+00:00,731
2035-03-15 20:02:11.001000+00:00,777
2035-03-15 20:02:12.001000+00:00,795
2035-03-15 20:02:13+00:00,752
2035-03-15 20:02:14+00:00,775
2035-03-15 20:02:14.001000+00:00,717
2035-03-15 20:02:15+00:00,668
2035-03-15 20:02:16.001000+00:00,685
2035-03-15 20:02:16.002000+00:00,756
2035-03-15 20:02:17+00:00,603
2035-03-15 20:02:24+00:00,1101
2035-03-15 20:02:39+00:00,618
2035-03-15 20:02:39.001000+00:00,679
2035-03-15 20:02:40.001000+00:00,748
2035-03-15 20:02:42.001000+00:00,743
2035-03-15 20:02:47+00:00,591
2035-03-15 20:02:48+00:00,639
2035-03-15 20:02:48.001000+00:00,633
2035-03-15 20:02:49+00:00,662
2035-03-15 20:02:50+00:00,746
2035-03-15 20:02:50.001000+00:00,716
2035-03-15 20:02:59.001000+00:00,702
2035-03-15 20:02:59.002000+00:00,703
2035-03-15 20:03:00.002000+00:00,654
2035-03-15 20:03:01.001000+00:00,625
2035-03-15 20:03:01.002000+00:00,602
2035-03-15 20:03:02.002000+00:00,667
2035-03-15 20:03:02.003000+00:00,646
2035-03-15 20:03:03+00:00,622
2035-03-15 20:03:04.002000+00:00,630
2035-03-15 20:03:04.003000+00:00,600
2035-03-15 20:03:05.001000+00:00,643
2035-03-15 20:03:06.002000+00:00,649
2035-03-15 20:03:06.003000+00:00,605
2035-03-15 20:03:07.001000+00:00,671
2035-03-15 20:03:08+00:00,653
2035-03-15 20:03:08.001000+00:00,693
2035-03-15 20:03:09.001000+00:00,717
2035-03-15 20:03:10.001000+00:00,741
2035-03-15 20:03:10.002000+00:00,688
2035-03-15 20:03:11.002000+00:00,683
2035-03-15 20:03:12.001000+00:00,1358
2035-03-15 20:03:13+00:00,662
2035-03-15 20:03:15.001000+00:00,636
2035-03-15 20:03:15.002000+00:00,658
2035-03-15 20:03:16.002000+00:00,716
2035-03-15 20:03:20+00:00,710
2035-03-15 20:03:21.001000+00:00,690
2035-03-15 20:03:21.002000+00:00,642
2035-03-15 20:03:22.001000+00:00,599
2035-03-15 20:03:22.002000+00:00,627
2035-03-15 20:03:24.001000+00:00,624
2035-03-15 20:03:29.002000+00:00,695
2035-03-15 20:03:30.001000+00:00,674
2035-03-15 20:03:32.001000+00:00,684
2035-03-15 20:03:32.002000+00:00,679
2035-03-15 20:03:33+00:00,612
2035-03-15 20:03:34.002000+00:00,674
2035-03-15 20:03:34.003000+00:00,611
2035-03-15 20:03:35.001000+00:00,619
2035-03-15 20:03:35.002000+00:00,652
2035-03-15 20:03:36.002000+00:00,663
2035-03-15 20:03:37.001000+00:00,662
2035-03-15 20:03:37.002000+00:00,652
2035-03-15 20:03:38+00:00,673
2035-03-15 20:03:39.001000+00:00,685
2035-03-15 20:03:41.002000+00:00,767
2035-03-15 20:03:41.003000+00:00,731
2035-03-15 20:03:42+00:00,705
2035-03-15 20:03:43+00:00,695
2035-03-15 20:03:43.001000+00:00,735
2035-03-15 20:03:44+00:00,794
2035-03-15 20:03:45.001000+00:00,762
2035-03-15 20:03:46.002000+00:00,711
2035-03-15 20:03:46.003000+00:00,682
2035-03-15 20:03:47.002000+00:00,674
2035-03-15 20:03:48+00:00,695
2035-03-15 20:03:48.001000+00:00,693
2035-03-15 20:03:49+00:00,695
2035-03-15 20:03:50+00:00,655
2035-03-15 20:03:50.001000+00:00,664
2035-03-15 20:03:51+00:00,724
2035-03-15 20:03:52.001000+00:00,746
2035-03-15 20:03:56.002000+00:00,807
2035-03-15 20:03:57.001000+00:00,847
2035-03-15 20:03:57.002000+00:00,770
2035-03-15 20:03:58+00:00,685
2035-03-15 20:03:59.002000+00:00,1598
2035-03-15 20:03:59.003000+00:00,672
2035-03-15 20:04:01.001000+00:00,682
2035-03-15 20:04:02.001000+00:00,685
2035-03-15 20:04:02.002000+00:00,706
2035-03-15 20:04:03+00:00,738
2035-03-15 20:04:04.002000+00:00,724
2035-03-15 20:04:09.001000+00:00,755
2035-03-15 20:04:11.001000+00:00,817
2035-03-15 20:04:12.002000+00:00,734
2035-03-15 20:04:13+00:00,755
2035-03-15 20:04:13.001000+00:00,753
2035-03-15 20:04:14.002000+00:00,757
2035-03-15 20:04:15.001000+00:00,684
2035-03-15 20:04:16.001000+00:00,717
2035-03-15 20:04:16.002000+00:00,668
2035-03-15 20:04:17.001000+00:00,654
2035-03-15 20:04:18+00:00,697
2035-03-15 20:04:18.001000+00:00,619
2035-03-15 20:04:19+00:00,627
2035-03-15 20:04:27.002000+00:00,609
2035-03-15 20:04:27.003000+00:00,590
2035-03-15 20:04:28+00:00,610
2035-03-15 20:04:28.001000+00:00,619
2035-03-15 20:04:29.002000+00:00,641
2035-03-15 20:04:31.002000+00:00,627
2035-03-15 20:04:31.003000+00:00,612
2035-03-15 20:04:32.002000+00:00,611
2035-03-15 20:04:33+00:00,590
2035-03-15 20:04:33.001000+00:00,551
2035-03-15 20:04:34+00:00,612
2035-03-15 20:04:34.001000+00:00,620
2035-03-15 20:04:35.001000+00:00,628
2035-03-15 20:04:36.002000+00:00,646
2035-03-15 20:04:36.003000+00:00,650
2035-03-15 20:04:37.001000+00:00,624
2035-03-15 20:04:38+00:00,612
2035-03-15 20:04:38.001000+00:00,632
2035-03-15 20:04:39+00:00,653
2035-03-15 20:04:39.001000+00:00,663
2035-03-15 20:04:40.002000+00:00,638
2035-03-15 20:04:41.001000+00:00,651
2035-03-15 20:04:41.002000+00:00,667
2035-03-15 20:04:42.002000+00:00,689
2035-03-15 20:04:43+00:00,693
2035-03-15 20:04:43.001000+00:00,652
2035-03-15 20:04:44+00:00,644
2035-03-15 20:04:45+00:00,648
2035-03-15 20:04:45.001000+00:00,669
2035-03-15 20:04:46.001000+00:00,663
2035-03-15 20:04:47.002000+00:00,665
2035-03-15 20:04:47.003000+00:00,642
2035-03-15 20:04:48+00:00,666
2035-03-15 20:05:09.002000+00:00,728
2035-03-15 20:05:09.003000+00:00,687
2035-03-15 20:05:11.001000+00:00,659
2035-03-15 20:05:12.002000+00:00,662
2035-03-15 20:05:12.003000+00:00,665
2035-03-15 20:05:13+00:00,669
2035-03-15 20:05:14.001000+00:00,690
2035-03-15 20:05:14.002000+00:00,665
2035-03-15 20:05:17.001000+00:00,755
2035-03-15 20:05:18+00:00,787
2035-03-15 20:05:18.001000+00:00,712
2035-03-15 20:05:20.002000+00:00,748
2035-03-15 20:05:22.001000+00:00,707
2035-03-15 20:05:23+00:00,717
2035-03-15 20:05:24+00:00,723
2035-03-15 20:05:24.001000+00:00,745
2035-03-15 20:05:25+00:00,763
2035-03-15 20:05:26+00:00,704
2035-03-15 20:05:26.001000+00:00,707
2035-03-15 20:05:27.002000+00:00,677
2035-03-15 20:05:28+00:00,686
2035-03-15 20:05:29.001000+00:00,659
2035-03-15 20:05:29.002000+00:00,657
2035-03-15 20:05:30.002000+00:00,647
2035-03-15 20:05:30.003000+00:00,662
2035-03-15 20:05:31.001000+00:00,722
2035-03-15 20:05:32.001000+00:00,740
2035-03-15 20:05:33+00:00,702
2035-03-15 20:05:33.001000+00:00,739
2035-03-15 20:05:34.001000+00:00,724
2035-03-15 20:05:35.002000+00:00,763
2035-03-15 20:05:36.001000+00:00,711
2035-03-15 20:05:36.002000+00:00,726
2035-03-15 20:05:38+00:00,726
2035-03-15 20:05:39+00:00,757
2035-03-15 20:05:40.002000+00:00,718
2035-03-15 20:05:40.003000+00:00,693
2035-03-15 20:05:41.001000+00:00,680
2035-03-15 20:05:42.001000+00:00,643
2035-03-15 20:05:42.002000+00:00,679
2035-03-15 20:05:43+00:00,725
2035-03-15 20:05:44+00:00,760
2035-03-15 20:05:44.001000+00:00,787
2035-03-15 20:05:45+00:00,760
2035-03-15 20:05:46+00:00,778
2035-03-15 20:05:47+00:00,795
2035-03-15 20:06:11.001000+00:00,554
2035-03-15 20:06:13+00:00,593
2035-03-15 20:06:13.001000+00:00,587
2035-03-15 20:06:14.002000+00:00,654
2035-03-15 20:06:15.001000+00:00,669
2035-03-15 20:06:15.002000+00:00,658
2035-03-15 20:06:16.002000+00:00,655
2035-03-15 20:06:17+00:00,640
2035-03-15 20:06:17.001000+00:00,630
2035-03-15 20:06:18+00:00,650
2035-03-15 20:06:19.001000+00:00,706
2035-03-15 20:06:19.002000+00:00,686
2035-03-15 20:06:20+00:00,673
2035-03-15 20:06:21.001000+00:00,674
2035-03-15 20:06:21.002000+00:00,687
2035-03-15 20:06:22+00:00,743
2035-03-15 20:06:23+00:00,749
2035-03-15 20:06:23.001000+00:00,695
2035-03-15 20:06:45.001000+00:00,763
2035-03-15 20:06:47.002000+00:00,783
2035-03-15 20:06:47.003000+00:00,826
2035-03-15 20:06:48+00:00,835
2035-03-15 20:06:49+00:00,785
2035-03-15 20:06:50+00:00,735
2035-03-15 20:06:50.001000+00:00,753
2035-03-15 20:06:51+00:00,767
2035-03-15 20:06:53+00:00,830
2035-03-15 20:07:00.001000+00:00,825
2035-03-15 20:07:01.001000+00:00,803
2035-03-15 20:07:01.002000+00:00,755
2035-03-15 20:07:02+00:00,767
2035-03-15 20:07:03+00:00,796
2035-03-15 20:07:04+00:00,863
2035-03-15 20:07:05.001000+00:00,834
2035-03-15 20:07:18.001000+00:00,694
2035-03-15 20:07:20.001000+00:00,778
2035-03-15 20:07:21.001000+00:00,822
2035-03-15 20:07:22.002000+00:00,814
2035-03-15 20:07:23+00:00,870
2035-03-15 20:07:24.001000+00:00,896
2035-03-15 20:07:25.001000+00:00,891
2035-03-15 20:07:25.002000+00:00,845
2035-03-15 20:07:26.001000+00:00,855
2035-03-15 20:07:27.002000+00:00,841
2035-03-15 20:07:28+00:00,823
2035-03-15 20:07:29.001000+00:00,782
2035-03-15 20:07:29.002000+00:00,805
2035-03-15 20:07:30.001000+00:00,819
2035-03-15 20:07:32+00:00,841
2035-03-15 20:07:33+00:00,811
2035-03-15 20:07:34+00:00,814
2035-03-15 20:07:35.001000+00:00,817
2035-03-15 20:07:35.002000+00:00,828
2035-03-15 20:07:36.001000+00:00,786
2035-03-15 20:07:37.002000+00:00,796
2035-03-15 20:07:38+00:00,806
2035-03-15 20:07:39+00:00,836
2035-03-15 20:07:39.001000+00:00,777
2035-03-15 20:07:40.001000+00:00,779
2035-03-15 20:07:41.002000+00:00,721
2035-03-15 20:07:42+00:00,724
2035-03-15 20:07:42.001000+00:00,711
2035-03-15 20:07:43+00:00,704
2035-03-15 20:07:44+00:00,745
2035-03-15 20:07:45.001000+00:00,833
2035-03-15 20:07:45.002000+00:00,844
2035-03-15 20:07:46+00:00,757
2035-03-15 20:07:47+00:00,754
2035-03-15 20:07:48+00:00,785
2035-03-15 20:08:02+00:00,569
2035-03-15 20:08:04.001000+00:00,605
2035-03-15 20:08:04.002000+00:00,564
2035-03-15 20:08:05.002000+00:00,617
2035-03-15 20:08:06.001000+00:00,599
2035-03-15 20:08:06.002000+00:00,635
2035-03-15 20:08:08+00:00,672
2035-03-15 20:08:08.001000+00:00,650
2035-03-15 20:08:09+00:00,630
2035-03-15 20:08:10.001000+00:00,638
2035-03-15 20:08:10.002000+00:00,661
2035-03-15 20:08:11.001000+00:00,723
2035-03-15 20:08:12+00:00,702
2035-03-15 20:08:13+00:00,689
2035-03-15 20:08:13.001000+00:00,717
2035-03-15 20:08:14+00:00,730
2035-03-15 20:08:15.002000+00:00,759
2035-03-15 20:08:15.003000+00:00,699
2035-03-15 20:08:16.001000+00:00,656
2035-03-15 20:08:17+00:00,642
2035-03-15 20:08:17.001000+00:00,692
2035-03-15 20:08:18+00:00,792
2035-03-15 20:08:19+00:00,784
2035-03-15 20:08:20.001000+00:00,734
2035-03-15 20:08:20.002000+00:00,759
2035-03-15 20:08:21.002000+00:00,728
2035-03-15 20:08:22.001000+00:00,774
2035-03-15 20:08:23+00:00,690
2035-03-15 20:08:23.001000+00:00,708
2035-03-15 20:08:24+00:00,755
2035-03-15 20:08:25.001000+00:00,763
2035-03-15 20:08:26.002000+00:00,741
2035-03-15 20:08:26.003000+00:00,699
2035-03-15 20:08:27.001000+00:00,708
2035-03-15 20:08:28+00:00,751
2035-03-15 20:08:29+00:00,775
2035-03-15 20:08:29.001000+00:00,739
2035-03-15 20:08:30.001000+00:00,749
2035-03-15 20:08:31.001000+00:00,747
2035-03-15 20:08:32+00:00,731
2035-03-15 20:08:32.001000+00:00,680
2035-03-15 20:08:33+00:00,680
2035-03-15 20:08:34+00:00,694
2035-03-15 20:08:34.001000+00:00,774
2035-03-15 20:08:35.002000+00:00,729
2035-03-15 20:08:36.001000+00:00,729
2035-03-15 20:08:37+00:00,744
2035-03-15 20:08:37.001000+00:00,762
2035-03-15 20:08:38+00:00,777
2035-03-15 20:08:39+00:00,777
2035-03-15 20:08:40.002000+00:00,820
2035-03-15 20:08:41.001000+00:00,823
2035-03-15 20:08:41.002000+00:00,761
2035-03-15 20:08:42+00:00,704
2035-03-15 20:08:43+00:00,686
2035-03-15 20:08:43.001000+00:00,811
2035-03-15 20:08:44+00:00,866
2035-03-15 20:08:45.002000+00:00,822
2035-03-15 20:08:46.001000+00:00,789
2035-03-15 20:08:47+00:00,812
2035-03-15 20:08:48+00:00,830
2035-03-15 20:08:48.001000+00:00,798
2035-03-15 20:08:49+00:00,738
2035-03-15 20:08:50.001000+00:00,754
2035-03-15 20:08:51.002000+00:00,767
2035-03-15 20:08:51.003000+00:00,755
2035-03-15 20:08:52+00:00,713
2035-03-15 20:08:53+00:00,675
2035-03-15 20:08:53.001000+00:00,656
2035-03-15 20:08:54+00:00,651
2035-03-15 20:08:55.001000+00:00,705
2035-03-15 20:08:56.002000+00:00,771
2035-03-15 20:08:56.003000+00:00,786
2035-03-15 20:08:57+00:00,751
2035-03-15 20:08:58+00:00,713
2035-03-15 20:08:59+00:00,678
2035-03-15 20:08:59.001000+00:00,686
2035-03-15 20:09:00.001000+00:00,719
2035-03-15 20:09:01.001000+00:00,734
2035-03-15 20:09:01.002000+00:00,758
2035-03-15 20:09:02+00:00,720
2035-03-15 20:09:03+00:00,730
2035-03-15 20:09:04+00:00,716
2035-03-15 20:09:04.001000+00:00,776
2035-03-15 20:09:05.002000+00:00,770
2035-03-15 20:09:06.001000+00:00,721
2035-03-15 20:09:07+00:00,700
2035-03-15 20:09:07.001000+00:00,723
2035-03-15 20:09:08+00:00,779
2035-03-15 20:09:09+00:00,782
2035-03-15 20:09:10.001000+00:00,767
2035-03-15 20:09:10.002000+00:00,724
2035-03-15 20:09:11.002000+00:00,743
2035-03-15 20:09:12+00:00,763
2035-03-15 20:09:13+00:00,719
2035-03-15 20:09:13.001000+00:00,675
2035-03-15 20:09:14+00:00,696
2035-03-15 20:09:15.001000+00:00,749
2035-03-15 20:09:15.002000+00:00,822
2035-03-15 20:09:16.001000+00:00,834
2035-03-15 20:09:17+00:00,755
2035-03-15 20:09:18+00:00,779
2035-03-15 20:09:19+00:00,783
2035-03-15 20:09:19.001000+00:00,783
2035-03-15 20:09:20.001000+00:00,754
2035-03-15 20:09:21.002000+00:00,699
2035-03-15 20:09:22+00:00,723
2035-03-15 20:09:22.001000+00:00,775
2035-03-15 20:09:23+00:00,775
2035-03-15 20:09:24+00:00,708
2035-03-15 20:09:25.001000+00:00,657
2035-03-15 20:09:25.002000+00:00,664
2035-03-15 20:09:26.002000+00:00,695
2035-03-15 20:09:27+00:00,732
2035-03-15 20:09:27.001000+00:00,710
2035-03-15 20:09:28+00:00,693
2035-03-15 20:09:29+00:00,704
2035-03-15 20:09:29.001000+00:00,690
2035-03-15 20:09:30.002000+00:00,654
2035-03-15 20:09:31.001000+00:00,638
2035-03-15 20:09:31.002000+00:00,639
2035-03-15 20:09:32.002000+00:00,708
2035-03-15 20:09:33+00:00,730
2035-03-15 20:09:34+00:00,724
2035-03-15 20:09:34.001000+00:00,727
2035-03-15 20:09:35.002000+00:00,700
2035-03-15 20:09:36.001000+00:00,672
2035-03-15 20:09:36.002000+00:00,663
2035-03-15 20:09:37.001000+00:00,671
2035-03-15 20:09:38+00:00,667
2035-03-15 20:09:38.001000+00:00,706
2035-03-15 20:09:39+00:00,681
2035-03-15 20:09:40.002000+00:00,678
2035-03-15 20:09:40.003000+00:00,707
2035-03-15 20:09:41.001000+00:00,758
2035-03-15 20:09:42.002000+00:00,792
2035-03-15 20:09:43+00:00,783
2035-03-15 20:09:43.001000+00:00,728
2035-03-15 20:09:44+00:00,708
2035-03-15 20:09:45.002000+00:00,709
2035-03-15 20:09:46.001000+00:00,715
2035-03-15 20:09:46.002000+00:00,728
2035-03-15 20:09:47.001000+00:00,692
2035-03-15 20:09:48+00:00,693
2035-03-15 20:09:48.001000+00:00,672
2035-03-15 20:09:49+00:00,695
2035-03-15 20:09:50.002000+00:00,703
2035-03-15 20:09:50.003000+00:00,675
2035-03-15 20:09:51.001000+00:00,685
2035-03-15 20:09:52.001000+00:00,729
2035-03-15 20:09:53+00:00,733
2035-03-15 20:09:53.001000+00:00,769
2035-03-15 20:09:54+00:00,776
2035-03-15 20:09:55.001000+00:00,712
2035-03-15 20:09:56.002000+00:00,759
2035-03-15 20:09:56.003000+00:00,760
2035-03-15 20:09:57.001000+00:00,733
2035-03-15 20:09:58+00:00,716
2035-03-15 20:09:58.001000+00:00,655
2035-03-15 20:09:59+00:00,639
2035-03-15 20:10:00.002000+00:00,713
2035-03-15 20:10:01.001000+00:00,767
2035-03-15 20:10:01.002000+00:00,786
2035-03-15 20:10:02.002000+00:00,764
2035-03-15 20:10:03+00:00,706
2035-03-15 20:10:04+00:00,705
2035-03-15 20:10:04.001000+00:00,714
2035-03-15 20:10:05.001000+00:00,718
2035-03-15 20:10:06.001000+00:00,678
2035-03-15 20:10:06.002000+00:00,646
2035-03-15 20:10:07.002000+00:00,691
2035-03-15 20:10:08+00:00,690
2035-03-15 20:10:08.001000+00:00,683
2035-03-15 20:10:09+00:00,673
2035-03-15 20:10:10.002000+00:00,683
2035-03-15 20:10:10.003000+00:00,711
2035-03-15 20:10:11.001000+00:00,714
2035-03-15 20:10:12.002000+00:00,680
2035-03-15 20:10:12.003000+00:00,657
2035-03-15 20:10:13+00:00,676
2035-03-15 20:10:14+00:00,706
2035-03-15 20:10:15.001000+00:00,724
2035-03-15 20:10:15.002000+00:00,743
2035-03-15 20:10:16.001000+00:00,765
2035-03-15 20:10:17+00:00,756
2035-03-15 20:10:18+00:00,720
2035-03-15 20:10:18.001000+00:00,681
2035-03-15 20:10:19+00:00,665
2035-03-15 20:10:20.002000+00:00,667
2035-03-15 20:10:20.003000+00:00,700
2035-03-15 20:10:21.001000+00:00,696
2035-03-15 20:10:22+00:00,675
2035-03-15 20:10:22.001000+00:00,691
2035-03-15 20:10:23+00:00,732
2035-03-15 20:10:24+00:00,737
2035-03-15 20:10:25.001000+00:00,702
2035-03-15 20:10:25.002000+00:00,683
2035-03-15 20:10:26.002000+00:00,680
2035-03-15 20:10:27+00:00,668
2035-03-15 20:10:27.001000+00:00,654
2035-03-15 20:10:28+00:00,642
2035-03-15 20:10:28.001000+00:00,643
2035-03-15 20:10:29+00:00,654
2035-03-15 20:10:30.002000+00:00,694
2035-03-15 20:10:30.003000+00:00,655
2035-03-15 20:10:31.001000+00:00,655
2035-03-15 20:10:32+00:00,631
2035-03-15 20:10:32.001000+00:00,648
2035-03-15 20:10:33+00:00,674
2035-03-15 20:10:34+00:00,673
2035-03-15 20:10:34.001000+00:00,663
2035-03-15 20:10:35.001000+00:00,633
2035-03-15 20:10:36.002000+00:00,592
2035-03-15 20:10:36.003000+00:00,658
2035-03-15 20:10:37+00:00,644
2035-03-15 20:10:38+00:00,682
2035-03-15 20:10:38.001000+00:00,711
2035-03-15 20:10:39+00:00,768
2035-03-15 20:10:40.001000+00:00,775
2035-03-15 20:10:41.001000+00:00,718
2035-03-15 20:10:41.002000+00:00,716
2035-03-15 20:10:42+00:00,736
2035-03-15 20:10:43+00:00,744
2035-03-15 20:10:44+00:00,727
2035-03-15 20:10:44.001000+00:00,724
2035-03-15 20:10:45.001000+00:00,754
2035-03-15 20:10:46.001000+00:00,778
2035-03-15 20:10:47+00:00,746
2035-03-15 20:10:47.001000+00:00,725
2035-03-15 20:10:48+00:00,746
2035-03-15 20:10:49+00:00,759
2035-03-15 20:10:50.002000+00:00,765
2035-03-15 20:10:50.003000+00:00,707
2035-03-15 20:10:51.001000+00:00,706
2035-03-15 20:10:52.001000+00:00,712
2035-03-15 20:10:52.002000+00:00,713
2035-03-15 20:10:53+00:00,797
2035-03-15 20:10:54+00:00,784
2035-03-15 20:10:55.001000+00:00,787
2035-03-15 20:10:56.002000+00:00,814
2035-03-15 20:10:56.003000+00:00,776
2035-03-15 20:10:57.001000+00:00,731
2035-03-15 20:10:58+00:00,670
2035-03-15 20:10:58.001000+00:00,660
2035-03-15 20:10:59+00:00,691
2035-03-15 20:11:00.002000+00:00,752
2035-03-15 20:11:01.001000+00:00,805
2035-03-15 20:11:01.002000+00:00,802
2035-03-15 20:11:02.002000+00:00,737
2035-03-15 20:11:03+00:00,686
2035-03-15 20:11:04+00:00,678
2035-03-15 20:11:04.001000+00:00,681
2035-03-15 20:11:05.001000+00:00,686
2035-03-15 20:11:06.002000+00:00,719
2035-03-15 20:11:06.003000+00:00,684
2035-03-15 20:11:07.001000+00:00,675
2035-03-15 20:11:08+00:00,674
2035-03-15 20:11:08.001000+00:00,679
2035-03-15 20:11:09+00:00,679
2035-03-15 20:11:10.001000+00:00,652
2035-03-15 20:11:10.002000+00:00,649
2035-03-15 20:11:11.002000+00:00,655
2035-03-15 20:11:12.001000+00:00,646
2035-03-15 20:11:12.002000+00:00,724
2035-03-15 20:11:13+00:00,711
2035-03-15 20:11:14+00:00,698
2035-03-15 20:11:14.001000+00:00,727
2035-03-15 20:11:15.001000+00:00,707
2035-03-15 20:11:16.002000+00:00,673
2035-03-15 20:11:16.003000+00:00,612
2035-03-15 20:11:17.001000+00:00,750
2035-03-15 20:11:18+00:00,752
2035-03-15 20:11:19+00:00,763
2035-03-15 20:11:19.001000+00:00,739
2035-03-15 20:11:20.001000+00:00,686
2035-03-15 20:11:21.002000+00:00,685
2035-03-15 20:11:22.001000+00:00,727
2035-03-15 20:11:22.002000+00:00,712
2035-03-15 20:11:23+00:00,713
2035-03-15 20:11:24+00:00,664
2035-03-15 20:11:24.001000+00:00,640
2035-03-15 20:11:25+00:00,658
2035-03-15 20:11:26.002000+00:00,701
2035-03-15 20:11:26.003000+00:00,760
2035-03-15 20:11:27.001000+00:00,745
2035-03-15 20:11:28+00:00,754
2035-03-15 20:11:29+00:00,785
2035-03-15 20:11:29.001000+00:00,795
2035-03-15 20:11:30.001000+00:00,786
2035-03-15 20:11:31.001000+00:00,700
2035-03-15 20:11:32.001000+00:00,629
2035-03-15 20:11:32.002000+00:00,661
2035-03-15 20:11:33+00:00,639
2035-03-15 20:11:34+00:00,626
2035-03-15 20:11:34.001000+00:00,615
2035-03-15 20:11:35.002000+00:00,656
2035-03-15 20:11:36.001000+00:00,799
2035-03-15 20:11:36.002000+00:00,897
2035-03-15 20:11:37.002000+00:00,817
2035-03-15 20:11:38+00:00,787
2035-03-15 20:11:39+00:00,807
2035-03-15 20:11:40.001000+00:00,824
2035-03-15 20:11:41.002000+00:00,784
2035-03-15 20:11:41.003000+00:00,715
2035-03-15 20:11:42.001000+00:00,683
2035-03-15 20:11:43+00:00,666
2035-03-15 20:11:43.001000+00:00,674
2035-03-15 20:11:44+00:00,660
2035-03-15 20:11:45.001000+00:00,636
2035-03-15 20:11:45.002000+00:00,649
2035-03-15 20:11:46.001000+00:00,675
2035-03-15 20:11:47+00:00,716
2035-03-15 20:11:47.001000+00:00,720
2035-03-15 20:11:48+00:00,686
2035-03-15 20:11:49+00:00,733
2035-03-15 20:11:50.001000+00:00,790
2035-03-15 20:11:50.002000+00:00,786
2035-03-15 20:11:51.001000+00:00,709
2035-03-15 20:11:52+00:00,678
2035-03-15 20:11:52.001000+00:00,697
2035-03-15 20:11:53+00:00,726
2035-03-15 20:11:54+00:00,719
2035-03-15 20:11:55.001000+00:00,673
2035-03-15 20:11:55.002000+00:00,666
2035-03-15 20:11:56.002000+00:00,697
2035-03-15 20:11:57.001000+00:00,778
2035-03-15 20:11:57.002000+00:00,809
2035-03-15 20:11:58+00:00,735
2035-03-15 20:11:59+00:00,710
2035-03-15 20:12:00.001000+00:00,767
2035-03-15 20:12:00.002000+00:00,827
2035-03-15 20:12:01.002000+00:00,822
2035-03-15 20:12:02.001000+00:00,758
2035-03-15 20:12:03+00:00,754
2035-03-15 20:12:04+00:00,741
2035-03-15 20:12:04.001000+00:00,732
2035-03-15 20:12:05.001000+00:00,707
2035-03-15 20:12:06.001000+00:00,703
2035-03-15 20:12:06.002000+00:00,687
2035-03-15 20:12:07.002000+00:00,683
2035-03-15 20:12:08+00:00,717
2035-03-15 20:12:09+00:00,792
2035-03-15 20:12:09.001000+00:00,832
2035-03-15 20:12:10.002000+00:00,782
2035-03-15 20:12:11.001000+00:00,720
2035-03-15 20:12:12.002000+00:00,684
2035-03-15 20:12:12.003000+00:00,662
2035-03-15 20:12:13+00:00,700
2035-03-15 20:12:14+00:00,770
2035-03-15 20:12:15.001000+00:00,826
2035-03-15 20:12:15.002000+00:00,820
2035-03-15 20:12:16.002000+00:00,787
2035-03-15 20:12:17.001000+00:00,718
2035-03-15 20:12:18+00:00,718
2035-03-15 20:12:18.001000+00:00,731
2035-03-15 20:12:19+00:00,726
2035-03-15 20:12:20.001000+00:00,706
2035-03-15 20:12:20.002000+00:00,674
2035-03-15 20:12:21.002000+00:00,667
2035-03-15 20:12:22.001000+00:00,671
2035-03-15 20:12:22.002000+00:00,667
2035-03-15 20:12:23+00:00,682
2035-03-15 20:12:24+00:00,654
2035-03-15 20:12:24.001000+00:00,633
2035-03-15 20:12:25.002000+00:00,656
2035-03-15 20:12:26.002000+00:00,679
2035-03-15 20:12:26.003000+00:00,684
2035-03-15 20:12:27.001000+00:00,714
2035-03-15 20:12:28+00:00,675
2035-03-15 20:12:29+00:00,675
2035-03-15 20:12:29.001000+00:00,687
2035-03-15 20:12:30.001000+00:00,698
2035-03-15 20:12:31.002000+00:00,661
2035-03-15 20:12:31.003000+00:00,644
2035-03-15 20:12:32.001000+00:00,653
2035-03-15 20:12:33+00:00,664
2035-03-15 20:12:33.001000+00:00,664
2035-03-15 20:12:34+00:00,608
2035-03-15 20:12:34.001000+00:00,669
