date,cz,pcz,pczt,czh,cc,quality,stress_skin,stress_skin_quality
2035-03-23 17:01:23+00:00,2,1,16,1,272,3,0,4
2035-03-23 17:02:23+00:00,2,1,15,1,267,3,0,4
2035-03-23 17:03:23+00:00,2,1,16,1,261,3,87,4
2035-03-23 17:04:23+00:00,2,1,17,1,255,3,99,4
2035-03-23 17:05:23+00:00,2,1,43,1,248,3,239,4
2035-03-23 17:06:23+00:00,2,1,43,1,241,3,143,4
2035-03-23 17:07:23+00:00,2,1,45,1,234,3,87,4
2035-03-23 17:08:23+00:00,2,1,47,1,226,3,76,4
2035-03-23 17:09:23+00:00,2,1,49,1,220,3,114,4
2035-03-23 17:10:23+00:00,2,1,50,1,214,3,114,4
2035-03-23 17:11:23+00:00,2,1,52,1,210,3,178,4
2035-03-23 17:12:23+00:00,2,1,54,1,207,3,165,4
2035-03-23 17:13:23+00:00,2,1,54,1,207,3,83,4
2035-03-23 17:14:23+00:00,2,1,54,1,208,3,63,4
2035-03-23 17:15:23+00:00,2,1,54,1,212,3,68,4
2035-03-23 17:16:23+00:00,2,1,55,1,219,3,108,4
2035-03-23 17:17:23+00:00,2,1,55,1,229,3,114,4
2035-03-23 17:18:23+00:00,2,1,54,1,242,3,81,4
2035-03-23 17:19:23+00:00,2,1,55,1,258,3,104,4
2035-03-23 17:20:23+00:00,2,1,54,1,277,3,43,4
2035-03-23 17:21:23+00:00,2,1,54,1,298,3,33,4
2035-03-23 17:22:23+00:00,2,1,53,1,322,3,57,4
2035-03-23 17:23:23+00:00,2,1,53,1,348,3,94,4
2035-03-23 17:24:23+00:00,2,1,54,1,376,3,132,4
2035-03-23 17:25:23+00:00,2,1,53,1,406,3,106,4
2035-03-23 17:26:23+00:00,2,1,53,1,437,3,49,4
2035-03-23 17:27:22+00:00,2,1,52,1,469,3,22,4
2035-03-23 17:28:22+00:00,2,1,52,1,501,3,47,4
2035-03-23 17:29:22+00:00,2,1,52,1,534,3,60,4
2035-03-23 17:30:22+00:00,2,1,52,1,567,3,92,4
2035-03-23 17:31:22+00:00,2,1,51,1,600,3,41,4
2035-03-23 17:32:22+00:00,2,1,51,1,632,3,16,4
2035-03-23 17:33:22+00:00,2,1,50,1,664,3,2,4
2035-03-23 17:34:22+00:00,2,1,49,1,695,3,5,4
2035-03-23 17:35:22+00:00,2,1,48,1,724,3,8,4
2035-03-23 17:36:22+00:00,2,1,47,1,752,3,0,4
2035-03-23 17:37:22+00:00,2,1,46,1,779,3,0,4
2035-03-23 17:38:22+00:00,2,1,46,1,803,3,25,4
2035-03-23 17:39:22+00:00,2,1,45,1,825,3,31,4
2035-03-23 17:40:22+00:00,2,1,44,1,845,3,8,4
2035-03-23 17:41:22+00:00,2,1,44,1,863,3,15,4
2035-03-23 17:42:22+00:00,2,1,43,1,877,3,21,4
2035-03-23 17:43:22+00:00,2,1,42,1,889,3,0,4
2035-03-23 17:44:22+00:00,2,1,41,1,898,3,0,4
2035-03-23 17:45:22+00:00,2,1,40,1,905,3,0,4
2035-03-23 17:46:22+00:00,2,1,39,1,908,3,0,4
2035-03-23 17:47:22+00:00,2,1,38,1,909,3,50,4
2035-03-23 17:48:22+00:00,2,1,57,1,907,3,593,4
2035-03-23 17:49:22+00:00,2,1,58,1,903,3,473,4
2035-03-23 17:50:22+00:00,2,1,57,1,897,4,215,4
2035-03-23 17:51:22+00:00,2,1,56,1,889,4,88,4
2035-03-23 17:52:22+00:00,2,1,57,1,881,4,100,4
2035-03-23 17:53:22+00:00,2,1,56,1,873,4,79,4
2035-03-23 17:54:22+00:00,2,1,55,1,866,4,25,4
2035-03-23 17:55:22+00:00,2,1,54,1,861,4,2,4
2035-03-23 17:56:22+00:00,2,1,53,1,857,4,0,4
2035-03-23 17:57:22+00:00,2,1,52,1,856,4,1,4
2035-03-23 17:58:22+00:00,2,1,52,1,856,4,23,4
2035-03-23 17:59:22+00:00,2,1,54,1,859,4,212,4
2035-03-23 18:00:22+00:00,2,1,54,1,864,4,165,4
2035-03-23 18:01:22+00:00,2,1,53,1,870,4,63,4
2035-03-23 18:02:22+00:00,2,1,52,1,878,4,9,4
2035-03-23 18:03:22+00:00,2,1,54,1,887,4,151,4
2035-03-23 18:04:22+00:00,2,1,53,1,896,4,165,4
2035-03-23 18:05:23+00:00,2,1,53,1,906,4,99,4
2035-03-23 18:06:23+00:00,2,1,52,1,917,4,64,4
2035-03-23 18:07:23+00:00,2,1,52,1,927,4,36,4
2035-03-23 18:08:23+00:00,2,1,51,1,938,4,17,4
2035-03-23 18:09:23+00:00,2,1,50,1,948,4,0,4
2035-03-23 18:10:23+00:00,2,1,49,1,958,4,0,4
2035-03-23 18:11:22+00:00,2,1,48,1,968,4,0,4
2035-03-23 18:12:23+00:00,2,1,47,1,977,4,1,4
2035-03-23 18:13:23+00:00,2,1,46,1,986,4,1,4
2035-03-23 18:14:23+00:00,2,1,45,1,993,4,0,4
2035-03-23 18:15:23+00:00,2,1,44,1,1000,4,0,4
2035-03-23 18:16:23+00:00,2,1,43,1,1005,4,0,4
2035-03-23 18:17:23+00:00,2,1,42,1,1009,4,0,4
2035-03-23 18:18:22+00:00,2,1,41,1,1011,4,0,4
2035-03-23 18:19:22+00:00,2,1,40,1,1011,4,0,4
