date,rr
2035-03-23 17:01:23+00:00,885
2035-03-23 17:01:24+00:00,779
2035-03-23 17:01:25+00:00,902
2035-03-23 17:01:25.001000+00:00,742
2035-03-23 17:01:36.001000+00:00,799
2035-03-23 17:01:37.001000+00:00,911
2035-03-23 17:02:29+00:00,1081
2035-03-23 17:02:35+00:00,800
2035-03-23 17:02:44+00:00,690
2035-03-23 17:02:45.001000+00:00,690
2035-03-23 17:02:46.001000+00:00,767
2035-03-23 17:02:46.002000+00:00,714
2035-03-23 17:02:47.002000+00:00,726
2035-03-23 17:02:48+00:00,726
2035-03-23 17:02:48.001000+00:00,762
2035-03-23 17:02:49+00:00,743
2035-03-23 17:02:50.001000+00:00,721
2035-03-23 17:02:51.002000+00:00,726
2035-03-23 17:02:51.003000+00:00,774
2035-03-23 17:02:52.001000+00:00,743
2035-03-23 17:02:53+00:00,723
2035-03-23 17:02:54+00:00,766
2035-03-23 17:02:54.001000+00:00,740
2035-03-23 17:02:55.002000+00:00,753
2035-03-23 17:02:56.001000+00:00,730
2035-03-23 17:02:57.001000+00:00,874
2035-03-23 17:02:58+00:00,849
2035-03-23 17:02:58.001000+00:00,861
2035-03-23 17:02:59+00:00,819
2035-03-23 17:03:00.001000+00:00,814
2035-03-23 17:03:01.001000+00:00,829
2035-03-23 17:03:02.001000+00:00,779
2035-03-23 17:03:02.002000+00:00,730
2035-03-23 17:03:03+00:00,778
2035-03-23 17:03:04+00:00,736
2035-03-23 17:03:05.001000+00:00,752
2035-03-23 17:03:05.002000+00:00,792
2035-03-23 17:03:06.001000+00:00,823
2035-03-23 17:03:07.002000+00:00,786
2035-03-23 17:03:08+00:00,831
2035-03-23 17:03:09+00:00,849
2035-03-23 17:03:10.002000+00:00,858
2035-03-23 17:03:10.003000+00:00,791
2035-03-23 17:03:11.001000+00:00,784
2035-03-23 17:03:12.001000+00:00,778
2035-03-23 17:03:13+00:00,780
2035-03-23 17:03:14+00:00,760
2035-03-23 17:03:14.001000+00:00,732
2035-03-23 17:03:15.001000+00:00,770
2035-03-23 17:03:16.001000+00:00,781
2035-03-23 17:03:17.002000+00:00,796
2035-03-23 17:03:17.003000+00:00,799
2035-03-23 17:03:18.001000+00:00,833
2035-03-23 17:03:19+00:00,844
2035-03-23 17:03:20.002000+00:00,812
2035-03-23 17:03:21+00:00,801
2035-03-23 17:03:21.001000+00:00,776
2035-03-23 17:03:22.001000+00:00,750
2035-03-23 17:03:23+00:00,724
2035-03-23 17:03:24+00:00,750
2035-03-23 17:03:32.001000+00:00,846
2035-03-23 17:03:33.001000+00:00,813
2035-03-23 17:03:34+00:00,845
2035-03-23 17:03:35.002000+00:00,843
2035-03-23 17:03:36.001000+00:00,800
2035-03-23 17:03:36.002000+00:00,776
2035-03-23 17:03:37.001000+00:00,800
2035-03-23 17:03:38.001000+00:00,839
2035-03-23 17:03:39+00:00,839
2035-03-23 17:03:40.001000+00:00,860
2035-03-23 17:03:41.002000+00:00,914
2035-03-23 17:03:42.001000+00:00,892
2035-03-23 17:03:42.002000+00:00,870
2035-03-23 17:03:43.001000+00:00,895
2035-03-23 17:03:44+00:00,854
2035-03-23 17:03:45.001000+00:00,850
2035-03-23 17:03:46.002000+00:00,858
2035-03-23 17:03:47.001000+00:00,829
2035-03-23 17:03:48.001000+00:00,807
2035-03-23 17:03:48.002000+00:00,857
2035-03-23 17:03:49+00:00,833
2035-03-23 17:03:50+00:00,817
2035-03-23 17:03:51+00:00,827
2035-03-23 17:03:52.001000+00:00,828
2035-03-23 17:03:53+00:00,825
2035-03-23 17:03:53.001000+00:00,849
2035-03-23 17:03:54+00:00,845
2035-03-23 17:04:01.001000+00:00,672
2035-03-23 17:04:01.002000+00:00,698
2035-03-23 17:04:02.002000+00:00,706
2035-03-23 17:04:03+00:00,745
2035-03-23 17:04:04+00:00,803
2035-03-23 17:04:04.001000+00:00,765
2035-03-23 17:04:05+00:00,742
2035-03-23 17:04:06+00:00,788
2035-03-23 17:04:15.002000+00:00,775
2035-03-23 17:04:16.001000+00:00,756
2035-03-23 17:04:16.002000+00:00,727
2035-03-23 17:04:17.001000+00:00,712
2035-03-23 17:04:18+00:00,689
2035-03-23 17:04:18.001000+00:00,696
2035-03-23 17:04:19+00:00,754
2035-03-23 17:04:20.002000+00:00,780
2035-03-23 17:04:21+00:00,796
2035-03-23 17:04:22.001000+00:00,827
2035-03-23 17:04:22.002000+00:00,788
2035-03-23 17:04:23+00:00,775
2035-03-23 17:04:24+00:00,741
2035-03-23 17:04:25+00:00,764
2035-03-23 17:04:25.001000+00:00,764
2035-03-23 17:04:38+00:00,594
2035-03-23 17:04:39+00:00,700
2035-03-23 17:04:43+00:00,749
2035-03-23 17:04:44+00:00,838
2035-03-23 17:05:15+00:00,805
2035-03-23 17:05:16.001000+00:00,901
2035-03-23 17:05:17.001000+00:00,911
2035-03-23 17:05:18.002000+00:00,837
2035-03-23 17:05:19+00:00,856
2035-03-23 17:05:23+00:00,817
2035-03-23 17:05:24+00:00,813
2035-03-23 17:05:25+00:00,784
2035-03-23 17:05:25.001000+00:00,799
2035-03-23 17:05:26.001000+00:00,811
2035-03-23 17:05:38.001000+00:00,865
2035-03-23 17:05:38.002000+00:00,778
2035-03-23 17:05:39+00:00,779
2035-03-23 17:05:40.001000+00:00,798
2035-03-23 17:05:41.002000+00:00,836
2035-03-23 17:05:42.001000+00:00,891
2035-03-23 17:05:42.002000+00:00,863
2035-03-23 17:05:43.001000+00:00,812
2035-03-23 17:05:44+00:00,856
2035-03-23 17:05:45.001000+00:00,884
2035-03-23 17:05:46.001000+00:00,891
2035-03-23 17:05:47.001000+00:00,842
2035-03-23 17:05:48.001000+00:00,800
2035-03-23 17:05:48.002000+00:00,826
2035-03-23 17:05:49+00:00,859
2035-03-23 17:05:50.001000+00:00,928
2035-03-23 17:05:51.001000+00:00,908
2035-03-23 17:05:52.001000+00:00,867
2035-03-23 17:05:53+00:00,908
2035-03-23 17:05:54+00:00,925
2035-03-23 17:05:55.001000+00:00,930
2035-03-23 17:05:56.001000+00:00,838
2035-03-23 17:05:56.002000+00:00,831
2035-03-23 17:05:57.001000+00:00,850
2035-03-23 17:05:58.001000+00:00,870
2035-03-23 17:05:59+00:00,875
2035-03-23 17:06:00.001000+00:00,827
2035-03-23 17:06:01.001000+00:00,811
2035-03-23 17:06:01.002000+00:00,837
2035-03-23 17:06:02.002000+00:00,921
2035-03-23 17:06:03.001000+00:00,947
2035-03-23 17:06:04+00:00,899
2035-03-23 17:06:05.001000+00:00,813
2035-03-23 17:06:06.001000+00:00,875
2035-03-23 17:06:07.002000+00:00,866
2035-03-23 17:06:08.001000+00:00,906
2035-03-23 17:06:09+00:00,857
2035-03-23 17:06:09.001000+00:00,779
2035-03-23 17:06:10.001000+00:00,720
2035-03-23 17:06:11.001000+00:00,744
2035-03-23 17:06:12.001000+00:00,893
2035-03-23 17:06:13.001000+00:00,946
2035-03-23 17:06:14+00:00,980
2035-03-23 17:06:15.001000+00:00,978
2035-03-23 17:06:16.001000+00:00,954
2035-03-23 17:06:16.002000+00:00,932
2035-03-23 17:06:17.001000+00:00,910
2035-03-23 17:06:18.001000+00:00,865
2035-03-23 17:06:19+00:00,834
2035-03-23 17:06:20.001000+00:00,799
2035-03-23 17:06:21.002000+00:00,765
2035-03-23 17:06:21.003000+00:00,800
2035-03-23 17:06:22.001000+00:00,834
2035-03-23 17:06:23.001000+00:00,901
2035-03-23 17:06:24+00:00,925
2035-03-23 17:06:25.001000+00:00,930
2035-03-23 17:06:26.001000+00:00,911
2035-03-23 17:06:27.002000+00:00,858
2035-03-23 17:06:28.001000+00:00,799
2035-03-23 17:06:28.002000+00:00,799
2035-03-23 17:06:29+00:00,837
2035-03-23 17:06:30.001000+00:00,862
2035-03-23 17:06:31.002000+00:00,881
2035-03-23 17:06:32.001000+00:00,889
2035-03-23 17:06:33.001000+00:00,851
2035-03-23 17:06:34+00:00,842
2035-03-23 17:06:34.001000+00:00,857
2035-03-23 17:06:35.001000+00:00,858
2035-03-23 17:06:36.001000+00:00,847
2035-03-23 17:06:37.002000+00:00,810
2035-03-23 17:06:38.001000+00:00,777
2035-03-23 17:06:39+00:00,791
2035-03-23 17:06:39.001000+00:00,817
2035-03-23 17:06:40.001000+00:00,856
2035-03-23 17:06:41.001000+00:00,858
2035-03-23 17:06:42.002000+00:00,873
2035-03-23 17:06:43+00:00,879
2035-03-23 17:06:44+00:00,872
2035-03-23 17:06:45.001000+00:00,851
2035-03-23 17:06:45.002000+00:00,805
2035-03-23 17:06:46.001000+00:00,803
2035-03-23 17:06:47.001000+00:00,804
2035-03-23 17:06:48.002000+00:00,825
2035-03-23 17:06:49+00:00,802
2035-03-23 17:06:49.001000+00:00,825
2035-03-23 17:06:50.001000+00:00,862
2035-03-23 17:06:51.001000+00:00,879
2035-03-23 17:06:52.001000+00:00,859
2035-03-23 17:06:53.002000+00:00,794
2035-03-23 17:06:54+00:00,822
2035-03-23 17:06:54.001000+00:00,839
2035-03-23 17:06:55.001000+00:00,839
2035-03-23 17:06:56.001000+00:00,799
2035-03-23 17:06:57.001000+00:00,811
2035-03-23 17:06:58.002000+00:00,830
2035-03-23 17:06:59+00:00,844
2035-03-23 17:06:59.001000+00:00,832
2035-03-23 17:07:00.001000+00:00,807
2035-03-23 17:07:01.002000+00:00,849
2035-03-23 17:07:02.001000+00:00,881
2035-03-23 17:07:03.002000+00:00,887
2035-03-23 17:07:04+00:00,835
2035-03-23 17:07:04.001000+00:00,776
2035-03-23 17:07:05.001000+00:00,741
2035-03-23 17:07:06.001000+00:00,685
2035-03-23 17:07:07.002000+00:00,685
2035-03-23 17:07:07.003000+00:00,665
2035-03-23 17:07:08.001000+00:00,684
2035-03-23 17:07:09+00:00,749
2035-03-23 17:07:09.001000+00:00,746
2035-03-23 17:07:10.001000+00:00,799
2035-03-23 17:07:11.002000+00:00,845
2035-03-23 17:07:12.001000+00:00,854
2035-03-23 17:07:13.001000+00:00,834
2035-03-23 17:07:13.002000+00:00,752
2035-03-23 17:07:14+00:00,739
2035-03-23 17:07:15.001000+00:00,756
2035-03-23 17:07:16.002000+00:00,777
2035-03-23 17:07:17.001000+00:00,817
2035-03-23 17:07:17.002000+00:00,812
2035-03-23 17:07:18.001000+00:00,741
2035-03-23 17:07:19+00:00,866
2035-03-23 17:07:20.002000+00:00,873
2035-03-23 17:07:21.001000+00:00,907
2035-03-23 17:07:22.001000+00:00,919
2035-03-23 17:07:23.001000+00:00,858
2035-03-23 17:07:23.002000+00:00,846
2035-03-23 17:07:24+00:00,801
2035-03-23 17:07:25.001000+00:00,769
2035-03-23 17:07:26.001000+00:00,741
2035-03-23 17:07:26.002000+00:00,751
2035-03-23 17:07:27.001000+00:00,842
2035-03-23 17:07:28.001000+00:00,980
2035-03-23 17:07:29+00:00,1042
2035-03-23 17:07:30.001000+00:00,923
2035-03-23 17:07:31.001000+00:00,904
2035-03-23 17:07:32.001000+00:00,926
2035-03-23 17:07:33.002000+00:00,939
2035-03-23 17:07:34+00:00,878
2035-03-23 17:07:35.001000+00:00,799
2035-03-23 17:07:35.002000+00:00,806
2035-03-23 17:07:36.001000+00:00,809
2035-03-23 17:07:37.001000+00:00,829
2035-03-23 17:07:38.002000+00:00,810
2035-03-23 17:07:39+00:00,771
2035-03-23 17:07:39.001000+00:00,764
2035-03-23 17:07:40.001000+00:00,812
2035-03-23 17:07:41.002000+00:00,831
2035-03-23 17:07:42+00:00,881
2035-03-23 17:07:43+00:00,824
2035-03-23 17:07:44+00:00,832
2035-03-23 17:07:44.001000+00:00,846
2035-03-23 17:07:45.001000+00:00,861
2035-03-23 17:07:46+00:00,854
2035-03-23 17:07:47.001000+00:00,787
2035-03-23 17:07:54+00:00,818
2035-03-23 17:07:54.001000+00:00,869
2035-03-23 17:07:55.001000+00:00,855
2035-03-23 17:07:56.001000+00:00,861
2035-03-23 17:07:57.001000+00:00,924
2035-03-23 17:07:58.001000+00:00,911
2035-03-23 17:07:59+00:00,877
2035-03-23 17:08:00.001000+00:00,859
2035-03-23 17:08:01.001000+00:00,866
2035-03-23 17:08:01.002000+00:00,883
2035-03-23 17:08:02.001000+00:00,823
2035-03-23 17:08:03.001000+00:00,793
2035-03-23 17:08:04+00:00,810
2035-03-23 17:08:05.002000+00:00,863
2035-03-23 17:08:06.001000+00:00,889
2035-03-23 17:08:06.002000+00:00,853
2035-03-23 17:08:07.001000+00:00,909
2035-03-23 17:08:08.001000+00:00,953
2035-03-23 17:08:09+00:00,943
2035-03-23 17:08:10+00:00,833
2035-03-23 17:08:11.002000+00:00,817
2035-03-23 17:08:12.001000+00:00,795
2035-03-23 17:08:12.002000+00:00,789
2035-03-23 17:08:13.001000+00:00,773
2035-03-23 17:08:14+00:00,755
2035-03-23 17:08:15.002000+00:00,815
2035-03-23 17:08:16+00:00,905
2035-03-23 17:08:17.001000+00:00,916
2035-03-23 17:08:18.002000+00:00,878
2035-03-23 17:08:18.003000+00:00,882
2035-03-23 17:08:19+00:00,920
2035-03-23 17:08:20.001000+00:00,942
2035-03-23 17:08:21.001000+00:00,879
2035-03-23 17:08:22.001000+00:00,855
2035-03-23 17:08:23.001000+00:00,868
2035-03-23 17:08:24+00:00,860
2035-03-23 17:08:25.001000+00:00,822
2035-03-23 17:08:25.002000+00:00,804
2035-03-23 17:08:26.001000+00:00,823
2035-03-23 17:08:27.001000+00:00,854
2035-03-23 17:08:28.001000+00:00,892
2035-03-23 17:08:29+00:00,842
2035-03-23 17:08:30.001000+00:00,858
2035-03-23 17:08:31.002000+00:00,866
2035-03-23 17:08:31.003000+00:00,912
2035-03-23 17:08:32.001000+00:00,878
2035-03-23 17:08:33.001000+00:00,822
2035-03-23 17:08:34+00:00,854
2035-03-23 17:08:35.003000+00:00,908
2035-03-23 17:08:36+00:00,918
2035-03-23 17:08:37.001000+00:00,880
2035-03-23 17:08:38.001000+00:00,837
2035-03-23 17:08:38.002000+00:00,839
2035-03-23 17:08:39+00:00,827
2035-03-23 17:08:40+00:00,837
2035-03-23 17:08:41.001000+00:00,800
2035-03-23 17:08:42.001000+00:00,830
2035-03-23 17:08:42.002000+00:00,845
2035-03-23 17:08:43.002000+00:00,848
2035-03-23 17:08:44+00:00,817
2035-03-23 17:08:45+00:00,773
2035-03-23 17:08:46.001000+00:00,797
2035-03-23 17:08:47.001000+00:00,807
2035-03-23 17:08:47.002000+00:00,798
2035-03-23 17:08:48.001000+00:00,789
2035-03-23 17:08:49+00:00,739
2035-03-23 17:08:50.001000+00:00,754
2035-03-23 17:08:50.002000+00:00,771
2035-03-23 17:08:51.001000+00:00,865
2035-03-23 17:08:52.001000+00:00,867
2035-03-23 17:08:53+00:00,858
2035-03-23 17:08:54+00:00,885
2035-03-23 17:08:55.001000+00:00,899
2035-03-23 17:08:56.002000+00:00,857
2035-03-23 17:08:56.003000+00:00,827
2035-03-23 17:08:57+00:00,828
2035-03-23 17:09:00.001000+00:00,747
2035-03-23 17:09:02.001000+00:00,796
2035-03-23 17:09:03.001000+00:00,797
2035-03-23 17:09:04+00:00,779
2035-03-23 17:09:05+00:00,604
2035-03-23 17:09:06.001000+00:00,882
2035-03-23 17:09:07.003000+00:00,781
2035-03-23 17:09:07.004000+00:00,834
2035-03-23 17:09:09+00:00,1185
2035-03-23 17:09:10+00:00,1294
2035-03-23 17:09:11.002000+00:00,793
2035-03-23 17:09:11.003000+00:00,808
2035-03-23 17:09:12.002000+00:00,837
2035-03-23 17:09:13+00:00,818
2035-03-23 17:09:14+00:00,786
2035-03-23 17:09:15.002000+00:00,812
2035-03-23 17:09:15.003000+00:00,818
2035-03-23 17:09:16.001000+00:00,815
2035-03-23 17:09:17+00:00,775
2035-03-23 17:09:18.001000+00:00,767
2035-03-23 17:09:19+00:00,817
2035-03-23 17:09:20.001000+00:00,876
2035-03-23 17:09:21+00:00,962
2035-03-23 17:09:21.001000+00:00,888
2035-03-23 17:09:22.002000+00:00,894
2035-03-23 17:09:23+00:00,898
2035-03-23 17:09:24+00:00,882
2035-03-23 17:09:25+00:00,874
2035-03-23 17:09:26.002000+00:00,808
2035-03-23 17:09:27.002000+00:00,817
2035-03-23 17:09:28+00:00,1533
2035-03-23 17:09:29+00:00,876
2035-03-23 17:09:30.002000+00:00,875
2035-03-23 17:09:31.002000+00:00,842
2035-03-23 17:09:31.003000+00:00,750
2035-03-23 17:09:32.001000+00:00,747
2035-03-23 17:09:33+00:00,757
2035-03-23 17:09:34+00:00,800
2035-03-23 17:09:35+00:00,758
2035-03-23 17:09:35.001000+00:00,750
2035-03-23 17:09:36.001000+00:00,771
2035-03-23 17:09:37+00:00,806
2035-03-23 17:09:38+00:00,834
2035-03-23 17:09:46.001000+00:00,708
2035-03-23 17:09:51.002000+00:00,831
2035-03-23 17:09:52+00:00,769
2035-03-23 17:09:53.001000+00:00,818
2035-03-23 17:09:54+00:00,806
2035-03-23 17:09:54.001000+00:00,825
2035-03-23 17:09:55.002000+00:00,812
2035-03-23 17:09:56+00:00,747
2035-03-23 17:09:57.001000+00:00,797
2035-03-23 17:09:58.002000+00:00,823
2035-03-23 17:09:58.003000+00:00,856
2035-03-23 17:09:59+00:00,865
2035-03-23 17:10:00.002000+00:00,811
2035-03-23 17:10:01+00:00,786
2035-03-23 17:10:02.002000+00:00,788
2035-03-23 17:10:02.003000+00:00,827
2035-03-23 17:10:03+00:00,874
2035-03-23 17:10:04+00:00,859
2035-03-23 17:10:05+00:00,808
2035-03-23 17:10:06.003000+00:00,796
2035-03-23 17:10:07.001000+00:00,815
2035-03-23 17:10:07.002000+00:00,847
2035-03-23 17:10:08+00:00,859
2035-03-23 17:10:09+00:00,821
2035-03-23 17:10:10.001000+00:00,839
2035-03-23 17:10:11.001000+00:00,860
2035-03-23 17:10:12+00:00,859
2035-03-23 17:10:20.001000+00:00,800
2035-03-23 17:10:21.001000+00:00,870
2035-03-23 17:10:22.001000+00:00,968
2035-03-23 17:10:22.002000+00:00,983
2035-03-23 17:10:23+00:00,894
2035-03-23 17:10:24+00:00,896
2035-03-23 17:10:25.001000+00:00,906
2035-03-23 17:10:26.001000+00:00,908
2035-03-23 17:10:27.001000+00:00,858
2035-03-23 17:10:28+00:00,846
2035-03-23 17:10:29+00:00,857
2035-03-23 17:10:30.001000+00:00,877
2035-03-23 17:10:30.002000+00:00,863
2035-03-23 17:10:31.001000+00:00,820
2035-03-23 17:10:32.001000+00:00,842
2035-03-23 17:10:33+00:00,850
2035-03-23 17:10:34+00:00,864
2035-03-23 17:10:35.001000+00:00,832
2035-03-23 17:10:35.002000+00:00,780
2035-03-23 17:10:36.001000+00:00,786
2035-03-23 17:10:37.001000+00:00,810
2035-03-23 17:10:38+00:00,872
2035-03-23 17:10:39+00:00,897
2035-03-23 17:10:40.001000+00:00,861
2035-03-23 17:10:40.002000+00:00,879
2035-03-23 17:10:41.001000+00:00,877
2035-03-23 17:10:42.001000+00:00,870
2035-03-23 17:10:43+00:00,815
2035-03-23 17:10:44+00:00,766
2035-03-23 17:10:45.001000+00:00,768
2035-03-23 17:10:45.002000+00:00,788
2035-03-23 17:10:46.001000+00:00,821
2035-03-23 17:10:47.001000+00:00,828
2035-03-23 17:10:48+00:00,824
2035-03-23 17:10:49+00:00,885
2035-03-23 17:10:50.001000+00:00,912
2035-03-23 17:10:51.001000+00:00,888
2035-03-23 17:10:51.002000+00:00,826
2035-03-23 17:10:52.001000+00:00,822
2035-03-23 17:10:53+00:00,835
2035-03-23 17:10:54+00:00,833
2035-03-23 17:10:55.001000+00:00,899
2035-03-23 17:10:56.001000+00:00,808
2035-03-23 17:10:56.002000+00:00,794
2035-03-23 17:10:57.001000+00:00,817
2035-03-23 17:10:58+00:00,846
2035-03-23 17:10:59+00:00,843
2035-03-23 17:11:00.001000+00:00,806
2035-03-23 17:11:00.002000+00:00,829
2035-03-23 17:11:01.002000+00:00,865
2035-03-23 17:11:02+00:00,879
2035-03-23 17:11:03+00:00,808
2035-03-23 17:11:04+00:00,818
2035-03-23 17:11:05.001000+00:00,825
2035-03-23 17:11:10.001000+00:00,715
2035-03-23 17:11:10.002000+00:00,735
2035-03-23 17:11:11.001000+00:00,739
2035-03-23 17:11:12.001000+00:00,753
2035-03-23 17:11:13+00:00,772
2035-03-23 17:11:13.001000+00:00,755
2035-03-23 17:11:14+00:00,720
2035-03-23 17:11:15.001000+00:00,746
2035-03-23 17:11:16.001000+00:00,754
2035-03-23 17:11:16.002000+00:00,784
2035-03-23 17:11:17.001000+00:00,755
2035-03-23 17:11:18.002000+00:00,768
2035-03-23 17:11:19+00:00,790
2035-03-23 17:11:20.001000+00:00,837
2035-03-23 17:11:21.001000+00:00,859
2035-03-23 17:11:21.002000+00:00,825
2035-03-23 17:11:22.002000+00:00,834
2035-03-23 17:11:23.001000+00:00,825
2035-03-23 17:11:24+00:00,829
2035-03-23 17:11:25+00:00,803
2035-03-23 17:11:25.001000+00:00,774
2035-03-23 17:11:26.002000+00:00,794
2035-03-23 17:11:27+00:00,749
2035-03-23 17:11:28+00:00,848
2035-03-23 17:11:29+00:00,767
2035-03-23 17:11:29.001000+00:00,782
2035-03-23 17:11:30.002000+00:00,793
2035-03-23 17:11:32.001000+00:00,786
2035-03-23 17:11:34+00:00,833
2035-03-23 17:11:35.002000+00:00,797
2035-03-23 17:11:36.001000+00:00,826
2035-03-23 17:11:37.001000+00:00,810
2035-03-23 17:11:37.002000+00:00,837
2035-03-23 17:11:38+00:00,861
2035-03-23 17:11:39+00:00,868
2035-03-23 17:11:40.002000+00:00,806
2035-03-23 17:11:41.001000+00:00,848
2035-03-23 17:11:42.001000+00:00,823
2035-03-23 17:11:42.002000+00:00,829
2035-03-23 17:11:43+00:00,798
2035-03-23 17:11:44+00:00,805
2035-03-23 17:11:45+00:00,853
2035-03-23 17:11:46.002000+00:00,894
2035-03-23 17:11:47.001000+00:00,863
2035-03-23 17:11:48+00:00,861
2035-03-23 17:11:48.001000+00:00,876
2035-03-23 17:11:49+00:00,885
2035-03-23 17:11:50.002000+00:00,840
2035-03-23 17:11:51.001000+00:00,836
2035-03-23 17:11:52.001000+00:00,838
2035-03-23 17:11:53+00:00,835
2035-03-23 17:11:53.001000+00:00,826
2035-03-23 17:11:54+00:00,767
2035-03-23 17:11:55.001000+00:00,762
2035-03-23 17:11:56.001000+00:00,785
2035-03-23 17:11:57.001000+00:00,833
2035-03-23 17:11:58+00:00,856
2035-03-23 17:11:58.001000+00:00,858
2035-03-23 17:11:59+00:00,909
2035-03-23 17:12:00.001000+00:00,949
2035-03-23 17:12:01.001000+00:00,960
2035-03-23 17:12:02.001000+00:00,902
2035-03-23 17:12:03+00:00,879
2035-03-23 17:12:04+00:00,881
2035-03-23 17:12:05.001000+00:00,875
2035-03-23 17:12:06.002000+00:00,829
2035-03-23 17:12:06.003000+00:00,808
2035-03-23 17:12:07.001000+00:00,800
2035-03-23 17:12:08+00:00,852
2035-03-23 17:12:09+00:00,891
2035-03-23 17:12:10.001000+00:00,898
2035-03-23 17:12:11.001000+00:00,880
2035-03-23 17:12:12.002000+00:00,918
2035-03-23 17:12:13+00:00,941
2035-03-23 17:12:13.001000+00:00,869
2035-03-23 17:12:14+00:00,870
2035-03-23 17:12:15.001000+00:00,852
2035-03-23 17:12:16.001000+00:00,894
2035-03-23 17:12:17.002000+00:00,838
2035-03-23 17:12:18+00:00,836
2035-03-23 17:12:19+00:00,850
2035-03-23 17:12:19.001000+00:00,886
2035-03-23 17:12:20.001000+00:00,877
2035-03-23 17:12:21.001000+00:00,846
2035-03-23 17:12:22.001000+00:00,833
2035-03-23 17:12:23+00:00,842
2035-03-23 17:12:24+00:00,836
2035-03-23 17:12:24.001000+00:00,799
2035-03-23 17:12:25.001000+00:00,834
2035-03-23 17:12:26.001000+00:00,884
2035-03-23 17:12:27.001000+00:00,905
2035-03-23 17:12:28+00:00,902
2035-03-23 17:12:29+00:00,851
2035-03-23 17:12:30.001000+00:00,851
2035-03-23 17:12:31.002000+00:00,857
2035-03-23 17:12:31.003000+00:00,876
2035-03-23 17:12:32.001000+00:00,890
2035-03-23 17:12:33.001000+00:00,853
2035-03-23 17:12:34+00:00,866
2035-03-23 17:12:35.001000+00:00,884
2035-03-23 17:12:36.001000+00:00,894
2035-03-23 17:12:37.001000+00:00,847
2035-03-23 17:12:38.002000+00:00,866
2035-03-23 17:12:38.003000+00:00,880
2035-03-23 17:12:39+00:00,954
2035-03-23 17:12:40.001000+00:00,917
2035-03-23 17:12:41.001000+00:00,868
2035-03-23 17:12:42.002000+00:00,874
2035-03-23 17:12:43.001000+00:00,875
2035-03-23 17:12:44+00:00,831
2035-03-23 17:12:45.001000+00:00,795
2035-03-23 17:12:45.002000+00:00,787
2035-03-23 17:12:46.001000+00:00,798
2035-03-23 17:12:47.001000+00:00,823
2035-03-23 17:12:48.001000+00:00,780
2035-03-23 17:12:49+00:00,826
2035-03-23 17:12:49.001000+00:00,916
2035-03-23 17:12:50+00:00,986
2035-03-23 17:12:51.002000+00:00,989
