date,cz,pcz,pczt,czh,cc,quality,stress_skin,stress_skin_quality
2035-03-07 19:50:56+00:00,2,1,21,1,467,3,0,4
2035-03-07 19:51:56+00:00,2,1,20,1,450,3,0,4
2035-03-07 19:52:56+00:00,2,1,19,1,432,3,0,4
2035-03-07 19:53:56+00:00,2,1,18,1,414,3,0,4
2035-03-07 19:54:56+00:00,2,1,17,1,396,3,0,4
2035-03-07 19:55:56+00:00,2,1,16,1,378,3,0,4
2035-03-07 19:56:56+00:00,2,1,15,1,360,3,0,4
2035-03-07 19:57:56+00:00,2,1,14,1,342,3,0,4
2035-03-07 19:58:56+00:00,2,1,13,1,325,3,0,4
2035-03-07 19:59:56+00:00,2,1,12,1,308,3,0,4
2035-03-07 20:00:56+00:00,0,0,255,0,0,0,0,4
2035-03-07 20:01:56+00:00,0,0,255,0,0,0,0,4
2035-03-07 20:02:56+00:00,0,0,255,0,0,0,0,4
2035-03-07 20:03:56+00:00,0,0,255,0,0,0,0,4
2035-03-07 20:04:56+00:00,0,0,255,0,0,0,0,4
2035-03-07 20:05:56+00:00,0,0,255,0,0,0,0,4
2035-03-07 20:06:56+00:00,0,0,255,0,0,0,0,4
2035-03-07 20:07:56+00:00,0,0,255,0,0,0,9,4
2035-03-07 20:08:56+00:00,0,0,255,0,0,0,12,4
2035-03-07 20:09:56+00:00,0,0,255,0,0,0,0,4
2035-03-07 20:10:56+00:00,0,0,255,0,0,0,19,4
2035-03-07 20:11:56+00:00,0,0,255,0,0,0,16,4
2035-03-07 20:12:56+00:00,0,0,255,0,0,0,0,4
2035-03-07 20:13:56+00:00,0,0,255,0,0,0,0,4
2035-03-07 20:14:56+00:00,0,0,255,0,1,0,0,4
2035-03-07 20:15:56+00:00,0,0,255,0,2,0,0,4
2035-03-07 20:16:56+00:00,0,0,255,0,3,0,7,4
2035-03-07 20:17:56+00:00,0,0,255,0,5,0,14,4
2035-03-07 20:18:56+00:00,0,0,255,0,6,0,0,4
2035-03-07 20:19:56+00:00,0,0,255,0,9,0,4,4
2035-03-07 20:20:56+00:00,0,0,255,0,11,0,4,4
2035-03-07 20:21:56+00:00,0,0,255,0,14,0,0,4
2035-03-07 20:22:56+00:00,0,0,255,0,16,0,1,4
2035-03-07 20:23:56+00:00,0,0,255,0,20,0,0,4
2035-03-07 20:24:56+00:00,0,0,255,0,23,0,0,4
2035-03-07 20:25:56+00:00,0,0,255,0,27,0,0,4
2035-03-07 20:26:56+00:00,0,0,255,0,30,0,7,4
2035-03-07 20:27:56+00:00,0,0,255,0,34,0,0,4
2035-03-07 20:28:56+00:00,0,0,255,0,38,0,0,4
2035-03-07 20:29:56+00:00,0,0,255,0,42,1,0,4
2035-03-07 20:30:56+00:00,0,0,255,0,45,1,0,4
2035-03-07 20:31:56+00:00,0,0,255,0,49,1,0,4
2035-03-07 20:32:56+00:00,0,0,255,0,53,1,4,4
2035-03-07 20:33:56+00:00,0,0,255,0,56,1,9,4
2035-03-07 20:34:55+00:00,0,0,255,0,59,1,0,4
2035-03-07 20:35:55+00:00,0,0,255,0,62,1,0,4
2035-03-07 20:36:55+00:00,0,0,255,0,65,1,4,4
2035-03-07 20:37:55+00:00,0,0,255,0,68,1,2,4
2035-03-07 20:38:56+00:00,0,0,255,0,71,2,0,4
2035-03-07 20:39:56+00:00,0,0,255,0,73,2,1,4
2035-03-07 20:40:56+00:00,0,0,255,0,75,2,1,4
2035-03-07 20:41:56+00:00,0,0,255,0,77,2,4,4
2035-03-07 20:42:56+00:00,0,0,255,0,79,2,5,4
2035-03-07 20:43:56+00:00,1,1,255,1,80,2,5,4
2035-03-07 20:44:56+00:00,1,1,255,1,82,2,0,4
2035-03-07 20:45:56+00:00,1,1,255,1,83,2,0,4
2035-03-07 20:46:56+00:00,1,1,255,1,84,2,0,4
2035-03-07 20:47:56+00:00,1,1,255,1,85,3,0,4
2035-03-07 20:48:56+00:00,1,1,255,1,86,3,0,4
2035-03-07 20:49:56+00:00,1,1,255,1,86,3,3,4
2035-03-07 20:50:56+00:00,1,1,255,1,87,3,21,4
2035-03-07 20:51:56+00:00,1,1,255,1,87,3,77,4
2035-03-07 20:52:56+00:00,1,1,255,1,88,3,36,4
2035-03-07 20:53:56+00:00,1,1,255,1,88,3,7,4
2035-03-07 20:54:56+00:00,1,1,255,1,88,3,6,4
2035-03-07 20:55:56+00:00,1,2,16,1,89,3,28,4
2035-03-07 20:56:56+00:00,1,2,15,1,90,3,4,4
2035-03-07 20:57:56+00:00,1,2,13,1,91,3,6,4
2035-03-07 20:58:56+00:00,1,2,8,1,93,3,251,4
2035-03-07 20:59:56+00:00,1,2,7,1,96,3,241,4
2035-03-07 21:00:56+00:00,1,2,6,1,99,3,100,4
2035-03-07 21:01:56+00:00,1,2,5,1,104,4,53,4
2035-03-07 21:02:56+00:00,1,2,4,1,110,4,28,4
2035-03-07 21:03:56+00:00,1,2,3,1,117,4,101,4
2035-03-07 21:04:56+00:00,1,2,2,1,127,4,97,4
2035-03-07 21:05:55+00:00,1,2,1,1,139,4,56,4
2035-03-07 21:06:55+00:00,2,1,54,1,153,4,27,4
2035-03-07 21:07:55+00:00,2,1,53,1,169,4,0,4
2035-03-07 21:08:55+00:00,2,1,52,1,188,4,0,4
2035-03-07 21:09:55+00:00,2,1,51,1,210,4,0,4
2035-03-07 21:10:55+00:00,2,1,50,1,233,4,0,4
2035-03-07 21:11:55+00:00,2,1,49,1,259,4,7,4
2035-03-07 21:12:56+00:00,2,1,49,1,286,4,9,4
2035-03-07 21:13:56+00:00,2,1,48,1,315,4,22,4
2035-03-07 21:14:56+00:00,2,1,47,1,344,4,7,4
2035-03-07 21:15:56+00:00,2,1,47,1,373,4,1,4
2035-03-07 21:16:56+00:00,2,1,47,1,402,4,0,4
2035-03-07 21:17:56+00:00,2,1,47,1,431,4,0,4
2035-03-07 21:18:56+00:00,2,1,47,1,459,4,0,4
2035-03-07 21:19:56+00:00,2,1,47,1,485,4,0,4
