date,rr
2035-03-07 19:51:08.001000+00:00,1504
2035-03-07 19:51:10.002000+00:00,596
2035-03-07 19:51:16+00:00,1352
2035-03-07 19:51:40+00:00,706
2035-03-07 19:51:51+00:00,533
2035-03-07 19:52:18+00:00,533
2035-03-07 19:52:19+00:00,529
2035-03-07 19:52:20+00:00,1589
2035-03-07 19:52:21+00:00,533
2035-03-07 19:52:22+00:00,1323
2035-03-07 19:52:23+00:00,528
2035-03-07 19:52:28+00:00,533
2035-03-07 19:52:32+00:00,531
2035-03-07 19:52:33+00:00,1384
2035-03-07 19:52:35+00:00,797
2035-03-07 19:52:35.001000+00:00,588
2035-03-07 19:52:49+00:00,531
2035-03-07 19:52:49.001000+00:00,531
2035-03-07 19:52:52+00:00,534
2035-03-07 19:52:52.001000+00:00,528
2035-03-07 19:52:57+00:00,531
2035-03-07 19:53:05+00:00,1184
2035-03-07 19:53:06+00:00,537
2035-03-07 19:53:13+00:00,1269
2035-03-07 19:54:00+00:00,731
2035-03-07 19:54:28+00:00,1534
2035-03-07 19:54:28.001000+00:00,516
2035-03-07 19:54:43+00:00,809
2035-03-07 19:54:44+00:00,595
2035-03-07 19:54:45+00:00,564
2035-03-07 19:54:55+00:00,537
2035-03-07 19:54:59+00:00,599
2035-03-07 19:55:03+00:00,1056
2035-03-07 19:55:04+00:00,731
2035-03-07 19:55:23+00:00,911
2035-03-07 19:55:31+00:00,516
2035-03-07 19:55:42+00:00,543
2035-03-07 19:55:44+00:00,722
2035-03-07 19:55:45+00:00,1528
2035-03-07 19:55:46+00:00,549
2035-03-07 19:55:54+00:00,906
2035-03-07 19:55:54.001000+00:00,503
2035-03-07 19:55:55+00:00,552
2035-03-07 19:55:56+00:00,1075
2035-03-07 19:55:56.001000+00:00,516
2035-03-07 19:56:00+00:00,583
2035-03-07 19:56:41+00:00,1366
2035-03-07 19:56:41.001000+00:00,509
2035-03-07 19:56:43+00:00,509
2035-03-07 19:56:45+00:00,910
2035-03-07 19:56:53+00:00,1332
2035-03-07 19:57:21+00:00,595
2035-03-07 19:57:27+00:00,567
2035-03-07 19:57:27.001000+00:00,620
2035-03-07 19:57:28+00:00,596
2035-03-07 19:57:29+00:00,591
2035-03-07 19:57:29.001000+00:00,697
2035-03-07 19:57:36+00:00,1257
2035-03-07 19:57:36.001000+00:00,805
2035-03-07 19:58:00+00:00,1067
2035-03-07 19:58:01+00:00,509
2035-03-07 19:58:15+00:00,750
2035-03-07 19:58:28+00:00,810
2035-03-07 19:58:44+00:00,594
2035-03-07 19:58:49+00:00,597
2035-03-07 19:58:50+00:00,587
2035-03-07 19:58:51+00:00,1599
2035-03-07 19:58:53+00:00,721
2035-03-07 19:58:57+00:00,597
2035-03-07 19:58:59+00:00,1533
2035-03-07 19:59:04+00:00,717
2035-03-07 19:59:06+00:00,1300
2035-03-07 19:59:20+00:00,525
2035-03-07 19:59:28+00:00,842
2035-03-07 20:00:22+00:00,905
2035-03-07 20:00:26+00:00,531
2035-03-07 20:00:30+00:00,529
2035-03-07 20:00:42+00:00,1526
2035-03-07 20:01:06+00:00,1588
2035-03-07 20:01:12+00:00,1512
2035-03-07 20:01:14+00:00,1064
2035-03-07 20:01:16+00:00,1789
2035-03-07 20:01:41+00:00,1655
2035-03-07 20:01:52+00:00,601
2035-03-07 20:01:53.002000+00:00,544
2035-03-07 20:02:12+00:00,1122
2035-03-07 20:02:20.003000+00:00,545
2035-03-07 20:02:21.003000+00:00,924
2035-03-07 20:02:41+00:00,1293
2035-03-07 20:03:03+00:00,599
2035-03-07 20:03:04+00:00,1486
2035-03-07 20:03:06+00:00,1623
2035-03-07 20:03:07+00:00,601
2035-03-07 20:03:08+00:00,531
2035-03-07 20:03:56+00:00,531
2035-03-07 20:03:58+00:00,1774
2035-03-07 20:04:35.002000+00:00,756
2035-03-07 20:04:37+00:00,764
2035-03-07 20:04:37.001000+00:00,704
2035-03-07 20:04:38.001000+00:00,730
2035-03-07 20:04:39.002000+00:00,763
2035-03-07 20:04:40.001000+00:00,767
2035-03-07 20:04:40.002000+00:00,785
2035-03-07 20:04:41+00:00,743
2035-03-07 20:04:42+00:00,776
2035-03-07 20:04:43.002000+00:00,725
2035-03-07 20:04:43.003000+00:00,806
2035-03-07 20:04:44.001000+00:00,762
2035-03-07 20:04:45.001000+00:00,758
2035-03-07 20:04:46.001000+00:00,720
2035-03-07 20:04:47+00:00,1494
2035-03-07 20:04:48.001000+00:00,779
2035-03-07 20:04:49.002000+00:00,834
2035-03-07 20:04:50.001000+00:00,838
2035-03-07 20:04:50.002000+00:00,847
2035-03-07 20:04:51+00:00,776
2035-03-07 20:05:16+00:00,827
2035-03-07 20:05:18+00:00,942
2035-03-07 20:05:19+00:00,907
2035-03-07 20:05:26+00:00,716
2035-03-07 20:05:26.001000+00:00,662
2035-03-07 20:05:27+00:00,691
2035-03-07 20:05:28.001000+00:00,849
