date,cz,pcz,pczt,czh,cc,quality,stress_skin,stress_skin_quality
2035-03-06 19:50:30+00:00,1,1,255,1,0,3,0,4
2035-03-06 19:51:29+00:00,1,1,255,1,0,3,0,4
2035-03-06 19:52:30+00:00,1,1,255,1,0,3,0,4
2035-03-06 19:53:30+00:00,1,1,255,1,0,3,0,4
2035-03-06 19:54:30+00:00,1,1,255,1,0,3,0,4
2035-03-06 19:55:30+00:00,1,1,255,1,0,3,0,4
2035-03-06 19:56:29+00:00,1,1,255,1,0,3,0,4
2035-03-06 19:57:29+00:00,1,1,255,1,0,3,0,4
2035-03-06 19:58:30+00:00,1,1,255,1,0,3,0,4
2035-03-06 19:59:29+00:00,1,1,255,1,0,3,0,4
2035-03-06 20:00:29+00:00,1,1,255,1,0,3,0,4
2035-03-06 20:01:29+00:00,1,1,255,1,0,3,0,4
2035-03-06 20:02:32+00:00,1,1,255,1,0,3,0,4
2035-03-06 20:03:35+00:00,1,1,255,1,0,3,0,4
2035-03-06 20:04:35+00:00,1,1,255,1,0,3,0,4
2035-03-06 20:05:38+00:00,1,2,13,1,0,3,144,4
2035-03-06 20:06:39+00:00,1,2,11,2,0,3,971,4
2035-03-06 20:07:39+00:00,1,2,10,2,1,3,571,4
2035-03-06 20:08:38+00:00,1,2,8,2,3,3,264,4
2035-03-06 20:09:39+00:00,1,2,7,1,7,3,111,4
2035-03-06 20:10:39+00:00,1,2,6,1,15,3,38,4
2035-03-06 20:11:38+00:00,1,2,5,1,26,3,26,4
2035-03-06 20:12:38+00:00,1,2,4,1,42,3,24,4
2035-03-06 20:13:39+00:00,1,2,3,1,63,3,23,4
2035-03-06 20:14:38+00:00,1,2,2,1,89,3,0,4
2035-03-06 20:15:38+00:00,1,2,1,1,120,3,0,4
2035-03-06 20:16:38+00:00,2,1,54,1,156,3,0,4
2035-03-06 20:17:38+00:00,2,1,54,1,196,3,21,4
2035-03-06 20:18:38+00:00,0,0,0,0,0,0,127,4
2035-03-06 20:19:39+00:00,2,1,56,1,239,3,112,4
2035-03-06 20:20:38+00:00,2,1,56,1,285,3,53,4
2035-03-06 20:21:38+00:00,2,1,55,1,333,3,8,4
2035-03-06 20:22:38+00:00,2,1,54,1,382,3,0,4
2035-03-06 20:23:38+00:00,2,1,53,1,432,3,0,4
2035-03-06 20:24:39+00:00,2,1,52,1,482,3,0,4
2035-03-06 20:25:39+00:00,2,1,51,1,532,3,0,4
2035-03-06 20:26:39+00:00,2,1,50,1,581,3,4,4
2035-03-06 20:27:38+00:00,2,1,49,1,628,3,3,4
2035-03-06 20:28:38+00:00,2,1,48,1,674,3,0,4
2035-03-06 20:29:38+00:00,2,1,47,1,718,3,0,4
2035-03-06 20:30:38+00:00,2,1,46,1,760,3,0,4
2035-03-06 20:31:39+00:00,2,1,45,1,799,3,0,4
2035-03-06 20:32:38+00:00,2,1,44,1,834,3,0,4
2035-03-06 20:33:38+00:00,2,1,43,1,867,3,3,4
2035-03-06 20:34:39+00:00,2,1,43,1,896,3,9,4
2035-03-06 20:35:38+00:00,2,1,42,1,922,3,6,4
2035-03-06 20:36:38+00:00,2,1,42,1,944,3,11,4
2035-03-06 20:37:39+00:00,2,1,41,1,961,3,0,4
2035-03-06 20:38:38+00:00,2,1,40,1,975,3,0,4
2035-03-06 20:39:38+00:00,2,1,39,1,983,3,7,4
2035-03-06 20:40:38+00:00,2,1,40,1,988,3,29,4
2035-03-06 20:41:39+00:00,2,1,39,1,989,3,82,4
2035-03-06 20:42:38+00:00,2,1,54,1,986,3,520,4
2035-03-06 20:43:39+00:00,2,2,255,2,979,3,385,4
2035-03-06 20:44:38+00:00,2,2,255,2,970,3,174,4
2035-03-06 20:45:38+00:00,2,2,255,2,959,3,68,4
2035-03-06 20:46:38+00:00,2,1,59,1,947,3,11,4
2035-03-06 20:47:39+00:00,2,1,58,1,936,3,0,4
2035-03-06 20:48:38+00:00,2,1,57,1,925,3,8,4
2035-03-06 20:49:38+00:00,2,1,56,1,917,3,1,4
2035-03-06 20:50:39+00:00,2,1,55,1,911,3,0,4
2035-03-06 20:51:38+00:00,2,1,54,1,908,3,4,4
2035-03-06 20:52:39+00:00,2,1,53,1,909,3,70,4
2035-03-06 20:53:38+00:00,2,1,55,1,912,3,105,4
2035-03-06 20:54:39+00:00,2,1,57,1,918,3,183,4
2035-03-06 20:55:38+00:00,2,1,59,1,926,3,206,4
2035-03-06 20:56:38+00:00,2,1,58,1,936,3,106,4
2035-03-06 20:57:39+00:00,2,1,59,1,949,3,107,4
2035-03-06 20:58:39+00:00,2,1,58,1,963,3,40,4
2035-03-06 20:59:39+00:00,2,1,57,1,979,3,5,4
2035-03-06 21:00:38+00:00,2,1,56,1,996,3,42,4
2035-03-06 21:01:38+00:00,2,1,57,1,1015,3,64,4
2035-03-06 21:02:39+00:00,2,1,56,1,1036,3,64,4
2035-03-06 21:03:38+00:00,2,1,56,1,1057,3,57,4
2035-03-06 21:04:38+00:00,2,1,56,1,1080,3,42,4
2035-03-06 21:05:39+00:00,2,1,56,1,1103,3,42,4
2035-03-06 21:06:39+00:00,2,1,55,1,1127,3,14,4
2035-03-06 21:07:38+00:00,2,1,54,1,1152,3,18,4
2035-03-06 21:08:38+00:00,2,1,54,1,1177,3,8,4
2035-03-06 21:09:38+00:00,2,1,53,1,1202,3,0,4
2035-03-06 21:10:39+00:00,2,1,52,1,1226,3,2,4
2035-03-06 21:11:39+00:00,2,1,52,1,1250,3,25,4
2035-03-06 21:12:38+00:00,2,1,52,1,1273,3,48,4
2035-03-06 21:13:38+00:00,2,1,51,1,1293,3,27,4
2035-03-06 21:14:38+00:00,2,1,50,1,1312,3,26,4
2035-03-06 21:15:37+00:00,2,1,51,1,1328,3,40,4
2035-03-06 21:16:38+00:00,2,1,50,1,1341,3,6,4
2035-03-06 21:17:37+00:00,2,1,50,1,1352,3,21,4
2035-03-06 21:18:37+00:00,2,1,49,1,1360,3,16,4
2035-03-06 21:19:37+00:00,2,1,48,1,1365,3,10,4
