date,rr
2035-03-06 20:05:47+00:00,507
2035-03-06 20:05:48+00:00,600
2035-03-06 20:05:48.001000+00:00,585
2035-03-06 20:06:18.001000+00:00,602
2035-03-06 20:06:19.001000+00:00,643
2035-03-06 20:06:21.001000+00:00,634
2035-03-06 20:06:23.001000+00:00,618
2035-03-06 20:06:24+00:00,1223
2035-03-06 20:06:25+00:00,627
2035-03-06 20:06:27.001000+00:00,619
2035-03-06 20:06:27.002000+00:00,724
2035-03-06 20:06:28.002000+00:00,748
2035-03-06 20:06:32.001000+00:00,603
2035-03-06 20:06:32.002000+00:00,605
2035-03-06 20:06:34+00:00,612
2035-03-06 20:06:35.001000+00:00,642
2035-03-06 20:06:35.002000+00:00,671
2035-03-06 20:06:36+00:00,682
2035-03-06 20:06:37+00:00,694
2035-03-06 20:06:37.001000+00:00,755
2035-03-06 20:06:38.001000+00:00,699
2035-03-06 20:06:40+00:00,669
2035-03-06 20:06:40.001000+00:00,663
2035-03-06 20:06:41+00:00,604
2035-03-06 20:06:42+00:00,1271
2035-03-06 20:06:43+00:00,671
2035-03-06 20:06:44+00:00,811
2035-03-06 20:06:45+00:00,815
2035-03-06 20:06:45.001000+00:00,692
2035-03-06 20:06:46.001000+00:00,705
2035-03-06 20:06:47.002000+00:00,630
2035-03-06 20:06:47.003000+00:00,650
2035-03-06 20:06:48.001000+00:00,627
2035-03-06 20:06:49+00:00,652
2035-03-06 20:06:49.001000+00:00,679
2035-03-06 20:06:50+00:00,799
2035-03-06 20:06:51.001000+00:00,730
2035-03-06 20:06:51.002000+00:00,726
2035-03-06 20:06:53.001000+00:00,1338
2035-03-06 20:06:53.002000+00:00,652
2035-03-06 20:06:54+00:00,643
2035-03-06 20:06:55+00:00,684
2035-03-06 20:06:55.001000+00:00,660
2035-03-06 20:06:56.001000+00:00,754
2035-03-06 20:06:57+00:00,706
2035-03-06 20:06:58+00:00,684
2035-03-06 20:06:58.001000+00:00,708
2035-03-06 20:06:59+00:00,713
2035-03-06 20:07:00+00:00,695
2035-03-06 20:07:08.001000+00:00,660
2035-03-06 20:07:11+00:00,600
2035-03-06 20:07:11.001000+00:00,649
2035-03-06 20:07:14+00:00,648
2035-03-06 20:07:15+00:00,728
2035-03-06 20:07:19.001000+00:00,621
2035-03-06 20:07:22+00:00,675
2035-03-06 20:07:29+00:00,590
2035-03-06 20:07:30+00:00,630
2035-03-06 20:07:31.001000+00:00,801
2035-03-06 20:07:32.001000+00:00,845
2035-03-06 20:07:32.002000+00:00,733
2035-03-06 20:07:33.002000+00:00,700
2035-03-06 20:07:35+00:00,655
2035-03-06 20:07:35.001000+00:00,600
2035-03-06 20:07:37+00:00,895
2035-03-06 20:07:38.001000+00:00,694
2035-03-06 20:07:40+00:00,694
2035-03-06 20:07:41.001000+00:00,711
2035-03-06 20:07:41.002000+00:00,722
2035-03-06 20:07:42+00:00,679
2035-03-06 20:07:43.002000+00:00,656
2035-03-06 20:07:43.003000+00:00,632
2035-03-06 20:07:44+00:00,664
2035-03-06 20:07:45+00:00,671
2035-03-06 20:07:45.001000+00:00,639
2035-03-06 20:07:46+00:00,712
2035-03-06 20:07:47.002000+00:00,704
2035-03-06 20:07:47.003000+00:00,731
2035-03-06 20:07:48.002000+00:00,657
2035-03-06 20:08:03.002000+00:00,617
