date,cz,pcz,pczt,czh,cc,quality,stress_skin,stress_skin_quality
2035-03-12 19:56:21+00:00,1,1,255,1,0,4,0,4
2035-03-12 19:57:21+00:00,1,1,255,1,0,4,0,4
2035-03-12 19:58:22+00:00,1,1,255,1,0,4,0,4
2035-03-12 19:59:21+00:00,1,1,255,1,0,4,0,4
2035-03-12 20:00:21+00:00,1,1,255,1,0,4,0,4
2035-03-12 20:01:21+00:00,1,1,255,1,0,4,0,4
2035-03-12 20:02:21+00:00,1,1,255,1,0,4,0,4
2035-03-12 20:03:21+00:00,1,1,255,1,0,4,0,4
2035-03-12 20:04:21+00:00,1,1,255,1,0,4,4,4
2035-03-12 20:05:21+00:00,1,1,255,1,0,4,68,4
2035-03-12 20:06:21+00:00,0,0,0,0,0,0,62,4
2035-03-12 20:07:21+00:00,1,1,255,1,0,4,18,4
2035-03-12 20:08:21+00:00,1,1,255,1,0,4,27,4
2035-03-12 20:09:21+00:00,1,1,255,1,0,4,33,4
2035-03-12 20:10:21+00:00,1,2,21,1,1,4,35,4
2035-03-12 20:11:21+00:00,1,2,20,1,2,4,2,4
2035-03-12 20:12:21+00:00,1,2,18,1,5,4,21,4
2035-03-12 20:13:22+00:00,1,2,16,1,8,4,18,4
2035-03-12 20:14:22+00:00,1,2,14,1,11,4,13,4
2035-03-12 20:15:22+00:00,1,2,13,1,17,4,19,4
2035-03-12 20:16:22+00:00,1,2,11,1,23,4,13,4
2035-03-12 20:17:22+00:00,1,2,10,1,30,4,4,4
2035-03-12 20:18:22+00:00,1,2,9,1,39,4,10,4
2035-03-12 20:19:22+00:00,1,2,8,1,49,4,11,4
2035-03-12 20:20:22+00:00,1,2,7,1,59,4,10,4
2035-03-12 20:21:22+00:00,1,2,6,1,71,4,10,4
2035-03-12 20:22:22+00:00,1,2,5,1,84,4,12,4
2035-03-12 20:23:22+00:00,1,2,4,1,97,4,2,4
2035-03-12 20:24:22+00:00,1,2,3,1,111,4,15,4
2035-03-12 20:25:22+00:00,1,2,2,1,125,4,9,4
2035-03-12 20:26:22+00:00,1,2,1,1,139,4,16,4
2035-03-12 20:27:22+00:00,2,1,40,1,153,4,10,4
2035-03-12 20:28:22+00:00,2,1,39,1,168,4,12,4
2035-03-12 20:29:21+00:00,2,1,40,1,182,4,6,4
2035-03-12 20:30:21+00:00,2,1,39,1,196,4,20,4
2035-03-12 20:31:21+00:00,2,1,42,1,209,4,49,4
2035-03-12 20:32:21+00:00,2,1,43,1,223,4,33,4
2035-03-12 20:33:21+00:00,2,1,44,1,235,4,35,4
2035-03-12 20:34:21+00:00,2,1,45,1,248,4,35,4
2035-03-12 20:35:21+00:00,2,1,45,1,260,4,24,4
2035-03-12 20:36:21+00:00,2,1,45,1,272,4,12,4
2035-03-12 20:37:22+00:00,2,1,44,1,283,4,0,4
2035-03-12 20:38:22+00:00,2,1,44,1,295,4,1,4
2035-03-12 20:39:22+00:00,2,1,43,1,306,4,0,4
2035-03-12 20:40:22+00:00,2,1,42,1,317,4,0,4
2035-03-12 20:41:22+00:00,2,1,41,1,328,4,0,4
2035-03-12 20:42:22+00:00,2,1,40,1,339,4,27,4
2035-03-12 20:43:22+00:00,2,1,43,1,350,4,51,4
2035-03-12 20:44:22+00:00,2,1,42,1,360,4,6,4
2035-03-12 20:45:22+00:00,2,1,41,1,370,4,0,4
2035-03-12 20:46:22+00:00,2,1,40,1,379,4,0,4
2035-03-12 20:47:22+00:00,2,1,39,1,388,4,0,4
2035-03-12 20:48:22+00:00,2,1,38,1,396,4,1,4
2035-03-12 20:49:22+00:00,2,1,37,1,403,4,6,4
2035-03-12 20:50:22+00:00,2,1,37,1,410,4,14,4
2035-03-12 20:51:21+00:00,2,1,37,1,416,4,4,4
2035-03-12 20:52:21+00:00,2,1,36,1,420,4,0,4
2035-03-12 20:53:21+00:00,2,1,35,1,425,4,0,4
2035-03-12 20:54:21+00:00,2,1,34,1,428,4,0,4
2035-03-12 20:55:21+00:00,2,1,33,1,430,4,0,4
2035-03-12 20:56:22+00:00,2,1,33,1,431,4,7,4
2035-03-12 20:57:22+00:00,2,1,32,1,432,4,2,4
2035-03-12 20:58:22+00:00,2,1,31,1,431,4,0,4
2035-03-12 20:59:22+00:00,2,1,30,1,430,4,0,4
2035-03-12 21:00:22+00:00,2,1,29,1,427,4,0,4
2035-03-12 21:01:22+00:00,2,1,28,1,424,4,0,4
2035-03-12 21:02:22+00:00,2,1,27,1,420,4,0,4
2035-03-12 21:03:22+00:00,2,1,26,1,415,4,0,4
2035-03-12 21:04:22+00:00,2,1,25,1,409,4,0,4
2035-03-12 21:05:22+00:00,2,1,24,1,403,4,0,4
2035-03-12 21:06:22+00:00,2,1,23,1,395,4,0,4
2035-03-12 21:07:22+00:00,2,1,22,1,387,4,0,4
2035-03-12 21:08:21+00:00,2,1,21,1,379,4,0,4
2035-03-12 21:09:21+00:00,2,1,20,1,369,4,4,4
2035-03-12 21:10:21+00:00,2,1,22,1,360,4,43,4
2035-03-12 21:11:21+00:00,2,1,25,1,349,4,29,4
2035-03-12 21:12:21+00:00,2,1,28,1,339,4,26,4
2035-03-12 21:13:21+00:00,2,1,28,1,328,4,34,4
2035-03-12 21:14:21+00:00,2,1,36,1,317,4,50,4
2035-03-12 21:15:21+00:00,2,1,37,1,306,4,19,4
2035-03-12 21:16:21+00:00,2,1,38,1,295,4,20,4
2035-03-12 21:17:21+00:00,2,1,38,1,285,4,8,4
2035-03-12 21:18:21+00:00,2,1,38,1,276,4,5,4
2035-03-12 21:19:21+00:00,2,1,37,1,268,4,0,4
