date,rr
2035-03-12 19:56:05+00:00,546
2035-03-12 19:56:46+00:00,1046
2035-03-12 19:56:54+00:00,699
2035-03-12 19:56:56+00:00,1171
2035-03-12 19:57:45+00:00,1560
2035-03-12 19:59:12+00:00,754
2035-03-12 19:59:33+00:00,622
2035-03-12 19:59:48+00:00,1524
2035-03-12 19:59:52+00:00,619
2035-03-12 20:00:02.001000+00:00,1715
2035-03-12 20:00:34+00:00,605
2035-03-12 20:00:36+00:00,1644
2035-03-12 20:00:38+00:00,1067
2035-03-12 20:01:03+00:00,529
2035-03-12 20:01:04+00:00,764
2035-03-12 20:01:05.001000+00:00,516
2035-03-12 20:01:08+00:00,530
2035-03-12 20:01:09+00:00,1101
2035-03-12 20:01:10+00:00,507
2035-03-12 20:01:13+00:00,524
2035-03-12 20:01:27+00:00,941
2035-03-12 20:01:28+00:00,611
2035-03-12 20:01:29+00:00,1064
2035-03-12 20:01:30+00:00,644
2035-03-12 20:02:04+00:00,1197
2035-03-12 20:02:10+00:00,534
2035-03-12 20:02:13+00:00,542
2035-03-12 20:02:15+00:00,613
2035-03-12 20:02:17+00:00,546
2035-03-12 20:02:25+00:00,1105
2035-03-12 20:02:38+00:00,1258
2035-03-12 20:02:56+00:00,623
2035-03-12 20:03:50.001000+00:00,865
2035-03-12 20:03:51+00:00,820
2035-03-12 20:03:52+00:00,890
2035-03-12 20:03:53+00:00,936
2035-03-12 20:03:54.001000+00:00,955
2035-03-12 20:03:55.002000+00:00,907
2035-03-12 20:03:55.003000+00:00,859
2035-03-12 20:03:56+00:00,840
2035-03-12 20:03:57+00:00,892
2035-03-12 20:03:58.001000+00:00,857
2035-03-12 20:04:02+00:00,907
2035-03-12 20:04:03.001000+00:00,843
2035-03-12 20:04:03.002000+00:00,895
2035-03-12 20:04:04.001000+00:00,818
2035-03-12 20:04:05.001000+00:00,842
2035-03-12 20:04:06+00:00,845
2035-03-12 20:04:07+00:00,829
2035-03-12 20:04:08.002000+00:00,808
2035-03-12 20:04:08.003000+00:00,860
2035-03-12 20:04:09.001000+00:00,883
2035-03-12 20:04:10.001000+00:00,906
2035-03-12 20:04:11+00:00,921
2035-03-12 20:04:12+00:00,914
2035-03-12 20:04:13.001000+00:00,904
2035-03-12 20:04:14.002000+00:00,833
2035-03-12 20:04:15.001000+00:00,872
2035-03-12 20:04:16+00:00,877
2035-03-12 20:04:16.001000+00:00,823
2035-03-12 20:04:17+00:00,807
2035-03-12 20:04:18.001000+00:00,886
2035-03-12 20:04:19.001000+00:00,869
2035-03-12 20:04:20.001000+00:00,838
2035-03-12 20:04:21+00:00,926
2035-03-12 20:04:22+00:00,934
2035-03-12 20:04:22.001000+00:00,867
2035-03-12 20:04:23.002000+00:00,959
2035-03-12 20:04:39.001000+00:00,936
2035-03-12 20:04:52+00:00,971
2035-03-12 20:04:53.001000+00:00,927
2035-03-12 20:04:54.001000+00:00,968
2035-03-12 20:04:55+00:00,1006
2035-03-12 20:04:56.002000+00:00,912
2035-03-12 20:04:57+00:00,1113
2035-03-12 20:04:58+00:00,720
2035-03-12 20:04:59+00:00,937
2035-03-12 20:05:00+00:00,921
2035-03-12 20:05:01+00:00,869
2035-03-12 20:05:21+00:00,908
2035-03-12 20:05:22+00:00,966
2035-03-12 20:05:22.001000+00:00,978
2035-03-12 20:05:23.001000+00:00,917
2035-03-12 20:05:24.001000+00:00,959
2035-03-12 20:05:25.001000+00:00,994
2035-03-12 20:05:26+00:00,901
2035-03-12 20:05:27+00:00,889
2035-03-12 20:05:28.001000+00:00,974
2035-03-12 20:05:29.001000+00:00,996
2035-03-12 20:05:30.001000+00:00,939
2035-03-12 20:05:31+00:00,897
