timestamp,Button Name
2035-03-23 18:35:05.990280+00:00,Baseline Start (Start of Experiment)
2035-03-23 18:42:26.715835+00:00,Sitting
2035-03-23 18:44:54.979523+00:00,Baseline Stop
2035-03-23 18:45:17.722817+00:00,Self-Report: Start
2035-03-23 18:45:20.745855+00:00,Sitting
2035-03-23 18:45:46.224160+00:00,Self-Report: Stop
2035-03-23 18:45:52.728772+00:00,Public Speaking: Introduction
2035-03-23 18:45:59.841185+00:00,Sitting
2035-03-23 18:48:04.672628+00:00,Public Speaking: Preparation Start
2035-03-23 18:48:47.519873+00:00,Sitting
2035-03-23 18:48:51.812273+00:00,Comment: Location A
2035-03-23 18:53:03.761629+00:00,Public Speaking: Preparation Stop
2035-03-23 18:53:48.868558+00:00,Standing
2035-03-23 18:53:53.337068+00:00,Comment: Location B
2035-03-23 18:54:44.766971+00:00,Public Speaking Start
2035-03-23 18:59:48.516819+00:00,Public Speaking Stop
2035-03-23 19:00:01.330784+00:00,Walking
2035-03-23 19:00:22.749401+00:00,Sitting
2035-03-23 19:00:26.764329+00:00,Comment: Location A
2035-03-23 19:00:28.784998+00:00,Self-Report: Start
2035-03-23 19:00:50.525754+00:00,Self-Report: Stop
2035-03-23 19:00:54.373107+00:00,Sitting
2035-03-23 19:01:11.071184+00:00,Rest: Start
2035-03-23 19:06:11.032079+00:00,Rest: Stop
2035-03-23 19:06:22.058349+00:00,Cognitive: Introduction
2035-03-23 19:06:24.500208+00:00,Sitting
2035-03-23 19:08:06.968088+00:00,Standing
2035-03-23 19:08:07.888541+00:00,Walking
2035-03-23 19:08:17.365201+00:00,Standing
2035-03-23 19:08:21.116624+00:00,Comment: Location B
2035-03-23 19:09:12.075270+00:00,Cognitive: Start
2035-03-23 19:10:25.581269+00:00,Comment: long pause
2035-03-23 19:12:01.786056+00:00,Cognitive: Mistake
2035-03-23 19:13:22.293891+00:00,Comment: long pause
2035-03-23 19:13:50.000627+00:00,Comment: long pause
2035-03-23 19:14:16.914968+00:00,Cognitive: Stop
2035-03-23 19:14:25.093663+00:00,Walking
2035-03-23 19:14:32.902149+00:00,Sitting
2035-03-23 19:14:36.610855+00:00,Comment: Location A
2035-03-23 19:14:57.901769+00:00,Sitting
2035-03-23 19:15:03.476558+00:00,Self-Report: Start
2035-03-23 19:15:48.324393+00:00,Self-Report: Stop
2035-03-23 19:16:17.916617+00:00,Rest: Start
2035-03-23 19:19:36.446642+00:00,Sitting
2035-03-23 19:21:23.914801+00:00,Rest: Stop
2035-03-23 19:21:28.250777+00:00,Physical: Introduction
2035-03-23 19:24:34.212344+00:00,Physical: Start
2035-03-23 19:24:44.109148+00:00,Physical: Warmup
2035-03-23 19:25:35.965066+00:00,Walking
2035-03-23 19:25:43.601981+00:00,Comment: slow walking
2035-03-23 19:26:51.020148+00:00,Physical: Intensity increase
2035-03-23 19:28:57.677954+00:00,Physical: Intensity increase
2035-03-23 19:31:02.679677+00:00,Physical: Intensity increase
2035-03-23 19:31:13.221084+00:00,Comment: jogging
2035-03-23 19:33:05.134596+00:00,Physical: Stop
2035-03-23 19:33:40.024844+00:00,Sitting
2035-03-23 19:33:41.037591+00:00,Self-Report: Start
2035-03-23 19:33:55.435441+00:00,Self-Report: Stop
2035-03-23 19:34:15.437792+00:00,Rest: Start
2035-03-23 19:39:18.442640+00:00,Rest: Stop
2035-03-23 19:39:24.484325+00:00,Debriefing/Recovery Start
2035-03-23 19:45:40.469579+00:00,Debriefing/Recovery Stop (End of Experiment)
