date,cz,pcz,pczt,czh,cc,quality,stress_skin,stress_skin_quality
2035-03-23 18:30:34+00:00,2,1,27,1,784,3,0,4
2035-03-23 18:31:34+00:00,2,1,26,1,757,3,46,4
2035-03-23 18:32:35+00:00,2,1,37,1,729,3,220,4
2035-03-23 18:33:34+00:00,2,1,40,1,701,3,154,4
2035-03-23 18:34:35+00:00,2,1,51,1,673,3,286,4
2035-03-23 18:35:34+00:00,2,1,53,1,646,3,164,4
2035-03-23 18:36:35+00:00,2,1,53,1,618,3,99,4
2035-03-23 18:37:34+00:00,2,1,54,1,592,3,180,4
2035-03-23 18:38:34+00:00,2,1,56,1,568,3,204,4
2035-03-23 18:39:35+00:00,2,1,57,1,546,3,140,4
2035-03-23 18:40:35+00:00,2,1,57,1,527,3,72,4
2035-03-23 18:41:34+00:00,2,1,56,1,511,3,106,4
2035-03-23 18:42:35+00:00,2,1,57,1,499,3,155,4
2035-03-23 18:43:34+00:00,2,1,57,1,492,3,70,4
2035-03-23 18:44:34+00:00,2,1,56,1,488,3,21,4
2035-03-23 18:45:34+00:00,2,1,55,1,489,3,13,4
2035-03-23 18:46:34+00:00,2,1,54,1,495,3,54,4
2035-03-23 18:47:34+00:00,2,1,54,1,505,3,59,4
2035-03-23 18:48:34+00:00,2,1,54,1,518,3,88,4
2035-03-23 18:49:34+00:00,2,1,55,1,535,3,164,4
2035-03-23 18:50:35+00:00,2,1,54,1,555,3,77,4
2035-03-23 18:51:34+00:00,2,1,53,1,578,3,28,4
2035-03-23 18:52:35+00:00,2,1,53,1,602,3,18,4
2035-03-23 18:53:34+00:00,2,1,52,1,628,3,51,4
2035-03-23 18:54:35+00:00,2,1,52,1,656,3,38,4
2035-03-23 18:55:35+00:00,2,1,51,1,683,3,0,4
2035-03-23 18:56:34+00:00,2,1,50,1,711,3,27,4
2035-03-23 18:57:34+00:00,2,1,50,1,739,3,52,4
2035-03-23 18:58:35+00:00,2,1,49,1,766,3,82,4
2035-03-23 18:59:34+00:00,2,1,51,1,792,3,139,4
2035-03-23 19:00:35+00:00,2,1,50,1,817,3,68,4
2035-03-23 19:01:35+00:00,2,1,50,1,841,3,29,4
2035-03-23 19:02:35+00:00,2,1,49,1,863,3,10,4
2035-03-23 19:03:35+00:00,2,1,49,1,883,3,92,4
2035-03-23 19:04:36+00:00,2,1,48,1,902,3,52,4
2035-03-23 19:05:36+00:00,2,1,48,1,919,3,13,4
2035-03-23 19:06:35+00:00,2,1,47,1,934,3,33,4
2035-03-23 19:07:35+00:00,2,1,47,1,947,3,47,4
2035-03-23 19:08:35+00:00,2,1,46,1,957,3,16,4
2035-03-23 19:09:36+00:00,2,1,46,1,966,3,15,4
2035-03-23 19:10:35+00:00,2,1,46,1,973,3,46,4
2035-03-23 19:11:36+00:00,2,1,46,1,977,3,49,4
2035-03-23 19:12:35+00:00,2,1,45,1,980,3,31,4
2035-03-23 19:13:35+00:00,2,1,45,1,981,3,40,4
2035-03-23 19:14:35+00:00,2,1,45,1,980,3,31,4
2035-03-23 19:15:35+00:00,2,1,45,1,977,3,53,4
2035-03-23 19:16:35+00:00,2,1,45,1,972,3,64,4
2035-03-23 19:17:34+00:00,2,1,45,1,965,3,41,4
2035-03-23 19:18:35+00:00,2,1,47,1,958,3,123,4
2035-03-23 19:19:34+00:00,2,1,49,1,949,3,164,4
2035-03-23 19:20:35+00:00,2,1,50,1,938,3,76,4
2035-03-23 19:21:35+00:00,2,1,49,1,927,4,18,4
2035-03-23 19:22:34+00:00,2,1,49,1,915,4,28,4
2035-03-23 19:23:34+00:00,2,1,48,1,903,4,21,4
2035-03-23 19:24:34+00:00,2,1,47,1,891,4,16,4
2035-03-23 19:25:34+00:00,2,1,47,1,879,4,4,4
2035-03-23 19:26:35+00:00,2,1,46,1,868,4,8,4
2035-03-23 19:27:34+00:00,2,1,45,1,857,4,13,4
2035-03-23 19:28:35+00:00,2,1,44,1,846,4,18,4
2035-03-23 19:29:34+00:00,2,1,44,1,835,4,27,4
2035-03-23 19:30:34+00:00,2,1,43,1,825,4,8,4
2035-03-23 19:31:34+00:00,2,1,43,1,815,4,14,4
2035-03-23 19:32:35+00:00,2,1,43,1,805,4,132,4
2035-03-23 19:33:34+00:00,2,1,54,1,795,4,405,4
2035-03-23 19:34:34+00:00,2,1,55,1,785,4,233,4
2035-03-23 19:35:35+00:00,2,1,54,1,775,4,97,4
2035-03-23 19:36:35+00:00,2,1,53,1,765,4,28,4
2035-03-23 19:37:34+00:00,2,1,52,1,756,4,30,4
2035-03-23 19:38:35+00:00,2,1,53,1,748,4,293,4
2035-03-23 19:39:35+00:00,2,1,56,1,741,4,221,4
2035-03-23 19:40:35+00:00,2,1,55,1,736,4,92,4
2035-03-23 19:41:35+00:00,2,1,54,1,733,4,29,4
2035-03-23 19:42:34+00:00,2,1,53,1,731,4,14,4
2035-03-23 19:43:34+00:00,2,1,52,1,732,4,28,4
2035-03-23 19:44:34+00:00,2,1,52,1,734,4,19,4
2035-03-23 19:45:34+00:00,2,1,51,1,739,4,33,4
