date,rr
2035-03-23 18:31:12.001000+00:00,1027
2035-03-23 18:31:13.001000+00:00,1041
2035-03-23 18:31:20+00:00,1033
2035-03-23 18:31:21+00:00,1052
2035-03-23 18:31:22.001000+00:00,985
2035-03-23 18:31:23+00:00,1019
2035-03-23 18:31:24.001000+00:00,1022
2035-03-23 18:31:25+00:00,950
2035-03-23 18:31:26+00:00,998
2035-03-23 18:31:34+00:00,1150
2035-03-23 18:31:35+00:00,922
2035-03-23 18:31:42.001000+00:00,980
2035-03-23 18:31:43.002000+00:00,903
2035-03-23 18:31:44+00:00,913
2035-03-23 18:32:06+00:00,992
2035-03-23 18:32:07+00:00,973
2035-03-23 18:32:08+00:00,910
2035-03-23 18:32:09.001000+00:00,913
2035-03-23 18:32:10+00:00,959
2035-03-23 18:32:11+00:00,1184
2035-03-23 18:32:12.001000+00:00,1147
2035-03-23 18:32:13+00:00,1091
2035-03-23 18:32:14+00:00,1038
2035-03-23 18:32:15+00:00,1010
2035-03-23 18:32:25+00:00,883
2035-03-23 18:32:28.001000+00:00,1002
2035-03-23 18:32:29+00:00,1034
2035-03-23 18:32:53.001000+00:00,1046
2035-03-23 18:32:56+00:00,1374
2035-03-23 18:33:07.002000+00:00,1092
2035-03-23 18:33:09+00:00,1310
2035-03-23 18:33:10.001000+00:00,831
2035-03-23 18:33:11+00:00,1025
2035-03-23 18:33:12.001000+00:00,999
2035-03-23 18:33:13+00:00,995
2035-03-23 18:33:14.001000+00:00,1044
2035-03-23 18:33:15+00:00,915
2035-03-23 18:33:16+00:00,1044
2035-03-23 18:33:17+00:00,1065
2035-03-23 18:33:24+00:00,521
2035-03-23 18:33:25+00:00,952
2035-03-23 18:33:26+00:00,930
2035-03-23 18:33:35+00:00,998
2035-03-23 18:35:03+00:00,1023
2035-03-23 18:35:06+00:00,1007
2035-03-23 18:35:07.002000+00:00,1145
2035-03-23 18:35:11.002000+00:00,977
2035-03-23 18:35:14.001000+00:00,1091
2035-03-23 18:35:15+00:00,1020
2035-03-23 18:35:16+00:00,1096
2035-03-23 18:35:24+00:00,917
2035-03-23 18:35:25+00:00,727
2035-03-23 18:35:26+00:00,754
2035-03-23 18:35:27.001000+00:00,926
2035-03-23 18:35:27.002000+00:00,935
2035-03-23 18:35:28.002000+00:00,933
2035-03-23 18:35:29+00:00,863
2035-03-23 18:35:30+00:00,912
2035-03-23 18:35:33+00:00,995
2035-03-23 18:35:34+00:00,840
2035-03-23 18:35:35+00:00,837
2035-03-23 18:35:48+00:00,1040
2035-03-23 18:35:50+00:00,1018
2035-03-23 18:35:50.001000+00:00,941
2035-03-23 18:35:51+00:00,1039
2035-03-23 18:35:52+00:00,1006
2035-03-23 18:35:53.001000+00:00,1089
2035-03-23 18:35:55+00:00,1046
2035-03-23 18:35:56+00:00,1089
2035-03-23 18:35:58.001000+00:00,1093
2035-03-23 18:36:00+00:00,865
2035-03-23 18:36:01+00:00,935
2035-03-23 18:36:02+00:00,1014
2035-03-23 18:36:03+00:00,1094
2035-03-23 18:36:04.001000+00:00,1024
2035-03-23 18:36:05+00:00,880
2035-03-23 18:36:06+00:00,1070
2035-03-23 18:36:07.001000+00:00,1149
2035-03-23 18:36:08.001000+00:00,1069
2035-03-23 18:36:13.001000+00:00,1076
2035-03-23 18:36:14.001000+00:00,1057
2035-03-23 18:36:15+00:00,996
2035-03-23 18:36:16.001000+00:00,1109
2035-03-23 18:36:18.001000+00:00,1155
2035-03-23 18:36:19.001000+00:00,1068
2035-03-23 18:36:20+00:00,1105
2035-03-23 18:36:21+00:00,1151
2035-03-23 18:36:22.001000+00:00,1098
2035-03-23 18:36:23.001000+00:00,1106
2035-03-23 18:36:24.001000+00:00,1150
2035-03-23 18:36:26+00:00,1138
2035-03-23 18:36:27+00:00,1097
2035-03-23 18:36:28+00:00,1143
2035-03-23 18:36:29.001000+00:00,1141
2035-03-23 18:36:30+00:00,1088
2035-03-23 18:36:31+00:00,1145
2035-03-23 18:36:36+00:00,1132
2035-03-23 18:36:37.001000+00:00,1143
2035-03-23 18:36:38+00:00,1072
2035-03-23 18:36:39.001000+00:00,1157
2035-03-23 18:36:40+00:00,1155
2035-03-23 18:36:41+00:00,1116
2035-03-23 18:36:42+00:00,1161
2035-03-23 18:36:43.001000+00:00,1141
2035-03-23 18:36:44+00:00,1086
2035-03-23 18:36:46+00:00,1190
2035-03-23 18:36:47.001000+00:00,1140
2035-03-23 18:36:48+00:00,1126
2035-03-23 18:36:49.001000+00:00,1223
2035-03-23 18:36:50+00:00,1104
2035-03-23 18:36:56+00:00,1146
2035-03-23 18:37:07.001000+00:00,961
2035-03-23 18:37:20+00:00,1124
2035-03-23 18:37:21+00:00,1120
2035-03-23 18:37:22+00:00,1093
2035-03-23 18:37:23.002000+00:00,1124
2035-03-23 18:37:24.001000+00:00,1135
2035-03-23 18:37:25+00:00,1127
2035-03-23 18:37:26+00:00,1113
2035-03-23 18:37:27.002000+00:00,1115
2035-03-23 18:37:28+00:00,1089
2035-03-23 18:37:30+00:00,1071
2035-03-23 18:37:31+00:00,1123
2035-03-23 18:37:32+00:00,1116
2035-03-23 18:37:33+00:00,1097
2035-03-23 18:37:34.002000+00:00,1171
2035-03-23 18:37:35+00:00,1146
2035-03-23 18:37:36+00:00,1092
2035-03-23 18:37:37+00:00,1100
2035-03-23 18:37:38.001000+00:00,1127
2035-03-23 18:37:39.001000+00:00,1038
2035-03-23 18:37:40+00:00,1142
2035-03-23 18:37:41+00:00,1151
2035-03-23 18:37:43+00:00,1094
2035-03-23 18:37:44.001000+00:00,1143
2035-03-23 18:37:45+00:00,1134
2035-03-23 18:37:46+00:00,1073
2035-03-23 18:37:48.001000+00:00,1143
2035-03-23 18:37:49.001000+00:00,1102
2035-03-23 18:37:50+00:00,1028
2035-03-23 18:37:51+00:00,1112
2035-03-23 18:37:52+00:00,1172
2035-03-23 18:37:53.001000+00:00,1059
2035-03-23 18:37:54.001000+00:00,1180
2035-03-23 18:37:55+00:00,1164
2035-03-23 18:37:56+00:00,1117
2035-03-23 18:37:59.001000+00:00,1157
2035-03-23 18:38:01+00:00,1159
2035-03-23 18:38:02+00:00,1129
2035-03-23 18:38:04+00:00,1180
2035-03-23 18:38:05+00:00,1159
2035-03-23 18:38:07+00:00,1066
2035-03-23 18:38:08+00:00,1157
2035-03-23 18:38:09+00:00,1345
2035-03-23 18:38:25+00:00,1075
2035-03-23 18:38:35+00:00,1155
2035-03-23 18:38:36+00:00,1106
2035-03-23 18:38:37.001000+00:00,1081
2035-03-23 18:38:38.001000+00:00,1108
2035-03-23 18:38:39+00:00,1162
2035-03-23 18:38:40+00:00,1082
2035-03-23 18:38:41.001000+00:00,1166
2035-03-23 18:38:43.001000+00:00,1117
2035-03-23 18:38:44.001000+00:00,1083
2035-03-23 18:38:45+00:00,1137
2035-03-23 18:38:46+00:00,1129
2035-03-23 18:38:47+00:00,1101
2035-03-23 18:38:48+00:00,1257
2035-03-23 18:38:48.001000+00:00,670
2035-03-23 18:38:49+00:00,820
2035-03-23 18:38:51+00:00,852
2035-03-23 18:38:56+00:00,1181
2035-03-23 18:38:57+00:00,1153
2035-03-23 18:38:58.001000+00:00,1128
2035-03-23 18:38:59+00:00,1192
2035-03-23 18:39:00+00:00,1185
2035-03-23 18:39:01+00:00,1160
2035-03-23 18:39:02.001000+00:00,1229
2035-03-23 18:39:04+00:00,1185
2035-03-23 18:39:05+00:00,1130
2035-03-23 18:39:16+00:00,1000
2035-03-23 18:39:17+00:00,1026
2035-03-23 18:39:26+00:00,1096
2035-03-23 18:39:36+00:00,1041
2035-03-23 18:39:37.002000+00:00,1088
2035-03-23 18:39:38.002000+00:00,824
2035-03-23 18:39:39.001000+00:00,935
2035-03-23 18:39:40+00:00,520
2035-03-23 18:39:40.001000+00:00,610
2035-03-23 18:39:41+00:00,892
2035-03-23 18:39:42.001000+00:00,545
2035-03-23 18:39:42.002000+00:00,513
2035-03-23 18:39:43+00:00,523
2035-03-23 18:39:44.001000+00:00,521
2035-03-23 18:39:44.002000+00:00,511
2035-03-23 18:39:45+00:00,629
2035-03-23 18:39:45.001000+00:00,544
2035-03-23 18:39:46+00:00,608
2035-03-23 18:39:47+00:00,619
2035-03-23 18:39:48+00:00,647
2035-03-23 18:39:49+00:00,884
2035-03-23 18:39:49.001000+00:00,816
2035-03-23 18:39:50+00:00,529
2035-03-23 18:39:51+00:00,1699
2035-03-23 18:39:51.001000+00:00,743
2035-03-23 18:39:52+00:00,768
2035-03-23 18:40:03+00:00,1049
2035-03-23 18:40:04+00:00,955
2035-03-23 18:40:05+00:00,1164
2035-03-23 18:40:06+00:00,1019
2035-03-23 18:40:16+00:00,1078
2035-03-23 18:40:17+00:00,1127
2035-03-23 18:40:18+00:00,1100
2035-03-23 18:40:19.001000+00:00,1041
2035-03-23 18:40:20+00:00,1064
2035-03-23 18:40:21+00:00,1101
2035-03-23 18:40:22.001000+00:00,1072
2035-03-23 18:40:23+00:00,1137
2035-03-23 18:40:25+00:00,1146
2035-03-23 18:40:26+00:00,959
2035-03-23 18:40:27.001000+00:00,1293
2035-03-23 18:40:28+00:00,1159
2035-03-23 18:40:29+00:00,1078
2035-03-23 18:40:36+00:00,1034
2035-03-23 18:40:39+00:00,1101
2035-03-23 18:40:40+00:00,1141
2035-03-23 18:40:41+00:00,1189
2035-03-23 18:40:44+00:00,1194
2035-03-23 18:40:46+00:00,1099
2035-03-23 18:40:47+00:00,1081
2035-03-23 18:41:25+00:00,954
2035-03-23 18:41:30+00:00,1013
2035-03-23 18:41:34+00:00,547
2035-03-23 18:41:50+00:00,608
2035-03-23 18:41:56+00:00,1340
2035-03-23 18:41:57.002000+00:00,1026
2035-03-23 18:41:58+00:00,1067
2035-03-23 18:41:59+00:00,1107
2035-03-23 18:42:01+00:00,1125
2035-03-23 18:42:02+00:00,1085
2035-03-23 18:42:03+00:00,1063
2035-03-23 18:42:04+00:00,950
2035-03-23 18:42:05+00:00,915
2035-03-23 18:42:06+00:00,948
2035-03-23 18:42:07+00:00,1065
2035-03-23 18:42:08+00:00,1193
2035-03-23 18:42:09+00:00,1254
2035-03-23 18:42:10+00:00,1173
2035-03-23 18:42:11+00:00,1191
2035-03-23 18:42:13.001000+00:00,1177
2035-03-23 18:42:14.001000+00:00,1186
2035-03-23 18:42:15+00:00,1140
2035-03-23 18:42:16+00:00,1191
2035-03-23 18:42:17+00:00,1175
2035-03-23 18:42:18+00:00,1093
2035-03-23 18:42:19.001000+00:00,1183
2035-03-23 18:42:21+00:00,1122
2035-03-23 18:42:22+00:00,1152
2035-03-23 18:42:23+00:00,1204
2035-03-23 18:42:24.001000+00:00,1091
2035-03-23 18:42:25+00:00,1177
2035-03-23 18:42:26.001000+00:00,1231
2035-03-23 18:42:30+00:00,1177
2035-03-23 18:42:31+00:00,1187
2035-03-23 18:42:32.001000+00:00,1221
2035-03-23 18:42:34.001000+00:00,1128
2035-03-23 18:42:35+00:00,1170
2035-03-23 18:42:37.001000+00:00,1234
2035-03-23 18:42:39.001000+00:00,1065
2035-03-23 18:42:40+00:00,1063
2035-03-23 18:42:41.001000+00:00,1170
2035-03-23 18:42:42.001000+00:00,1099
2035-03-23 18:42:44+00:00,1129
2035-03-23 18:42:45+00:00,1217
2035-03-23 18:42:46+00:00,990
2035-03-23 18:42:47+00:00,922
2035-03-23 18:42:48+00:00,925
2035-03-23 18:42:49+00:00,987
2035-03-23 18:42:50+00:00,1014
2035-03-23 18:42:51+00:00,946
2035-03-23 18:42:57+00:00,751
2035-03-23 18:42:58+00:00,884
2035-03-23 18:42:59+00:00,1028
