date,cz,pcz,pczt,czh,cc,quality,stress_skin,stress_skin_quality
2035-03-06 16:50:27+00:00,1,1,255,1,147,4,0,4
2035-03-06 16:51:27+00:00,1,1,255,1,137,4,0,4
2035-03-06 16:52:27+00:00,1,1,255,1,128,4,0,4
2035-03-06 16:53:27+00:00,1,1,255,1,119,4,0,4
2035-03-06 16:54:27+00:00,1,1,255,1,111,4,0,4
2035-03-06 16:55:27+00:00,1,1,255,1,103,4,0,4
2035-03-06 16:56:27+00:00,1,1,255,1,95,4,0,4
2035-03-06 16:57:27+00:00,1,1,255,1,88,4,0,4
2035-03-06 16:58:27+00:00,1,1,255,1,81,4,0,4
2035-03-06 16:59:27+00:00,1,1,255,1,74,4,0,4
2035-03-06 17:00:27+00:00,1,1,255,1,67,4,0,4
2035-03-06 17:01:27+00:00,1,1,255,1,61,4,34,4
2035-03-06 17:02:27+00:00,1,1,255,1,56,4,81,4
2035-03-06 17:03:27+00:00,1,2,22,1,50,4,129,4
2035-03-06 17:04:27+00:00,1,2,18,1,46,4,58,4
2035-03-06 17:05:27+00:00,1,2,15,1,41,4,51,4
2035-03-06 17:06:27+00:00,1,2,14,1,38,4,29,4
2035-03-06 17:07:27+00:00,1,2,12,1,36,4,10,4
2035-03-06 17:08:28+00:00,1,2,11,1,35,4,7,4
2035-03-06 17:09:27+00:00,1,2,10,1,36,4,8,4
2035-03-06 17:10:27+00:00,1,2,9,1,40,4,5,4
2035-03-06 17:11:28+00:00,1,2,8,1,45,4,3,4
2035-03-06 17:12:28+00:00,1,2,7,1,53,4,1,4
2035-03-06 17:13:28+00:00,1,2,6,1,62,4,2,4
2035-03-06 17:14:28+00:00,1,2,5,1,74,4,4,4
2035-03-06 17:15:27+00:00,1,2,4,1,88,4,33,4
2035-03-06 17:16:27+00:00,1,2,3,1,103,4,42,4
2035-03-06 17:17:27+00:00,1,2,2,1,120,4,24,4
2035-03-06 17:18:27+00:00,1,2,1,1,137,4,22,4
2035-03-06 17:19:27+00:00,2,1,48,1,156,4,115,4
2035-03-06 17:20:27+00:00,2,1,52,1,174,4,113,4
2035-03-06 17:21:27+00:00,2,1,53,1,194,4,48,4
2035-03-06 17:22:27+00:00,2,1,52,1,213,4,7,4
2035-03-06 17:23:27+00:00,2,1,51,1,233,4,10,4
2035-03-06 17:24:28+00:00,2,1,50,1,254,4,1,4
2035-03-06 17:25:27+00:00,2,1,49,1,275,4,2,4
2035-03-06 17:26:27+00:00,2,1,49,1,296,4,17,4
2035-03-06 17:27:27+00:00,2,1,48,1,318,4,12,4
2035-03-06 17:28:27+00:00,2,1,48,1,341,4,8,4
2035-03-06 17:29:27+00:00,2,1,47,1,364,4,2,4
2035-03-06 17:30:27+00:00,2,1,46,1,388,4,21,4
2035-03-06 17:31:27+00:00,2,1,48,1,411,4,58,4
2035-03-06 17:32:27+00:00,2,1,48,1,435,4,31,4
2035-03-06 17:33:27+00:00,2,1,48,1,457,4,30,4
2035-03-06 17:34:27+00:00,2,1,47,1,479,4,8,4
2035-03-06 17:35:27+00:00,2,1,47,1,500,4,4,4
2035-03-06 17:36:27+00:00,2,1,46,1,520,4,9,4
2035-03-06 17:37:27+00:00,2,1,46,1,539,4,21,4
2035-03-06 17:38:27+00:00,2,1,45,1,556,4,18,4
2035-03-06 17:39:27+00:00,2,1,45,1,572,4,8,4
2035-03-06 17:40:27+00:00,2,1,44,1,587,4,0,4
2035-03-06 17:41:27+00:00,2,1,43,1,600,4,0,4
2035-03-06 17:42:27+00:00,2,1,42,1,612,4,0,4
2035-03-06 17:43:27+00:00,2,1,42,1,622,4,11,4
2035-03-06 17:44:27+00:00,2,1,41,1,631,4,16,4
2035-03-06 17:45:27+00:00,2,1,41,1,639,4,22,4
2035-03-06 17:46:27+00:00,2,1,43,1,645,4,32,4
2035-03-06 17:47:27+00:00,2,1,42,1,650,4,5,4
2035-03-06 17:48:27+00:00,2,1,42,1,653,4,17,4
2035-03-06 17:49:27+00:00,2,1,46,1,655,4,95,4
2035-03-06 17:50:27+00:00,2,1,45,1,655,4,59,4
2035-03-06 17:51:27+00:00,2,1,45,1,655,4,16,4
2035-03-06 17:52:27+00:00,2,1,45,1,653,4,66,4
2035-03-06 17:53:27+00:00,2,1,49,1,650,4,78,4
2035-03-06 17:54:27+00:00,2,1,48,1,646,4,24,4
2035-03-06 17:55:27+00:00,2,1,47,1,642,4,35,4
2035-03-06 17:56:27+00:00,2,1,49,1,638,4,37,4
2035-03-06 17:57:27+00:00,2,1,49,1,634,4,34,4
2035-03-06 17:58:27+00:00,2,1,49,1,630,4,39,4
2035-03-06 17:59:28+00:00,2,1,50,1,626,4,43,4
2035-03-06 18:00:28+00:00,2,1,49,1,623,4,44,4
2035-03-06 18:01:28+00:00,2,1,52,1,621,4,88,4
2035-03-06 18:02:28+00:00,2,1,52,1,619,4,35,4
2035-03-06 18:03:28+00:00,2,1,51,1,618,4,0,4
2035-03-06 18:04:28+00:00,2,1,50,1,619,4,0,4
2035-03-06 18:05:28+00:00,2,1,50,1,620,4,30,4
2035-03-06 18:06:28+00:00,2,1,49,1,622,4,23,4
2035-03-06 18:07:28+00:00,2,1,49,1,625,4,16,4
2035-03-06 18:08:28+00:00,2,1,48,1,629,4,24,4
2035-03-06 18:09:28+00:00,2,1,48,1,634,4,21,4
2035-03-06 18:10:28+00:00,2,1,47,1,640,4,0,4
2035-03-06 18:11:28+00:00,2,1,46,1,646,4,0,4
2035-03-06 18:12:27+00:00,2,1,46,1,652,4,0,4
2035-03-06 18:13:27+00:00,2,1,45,1,658,4,0,4
2035-03-06 18:14:27+00:00,2,1,44,1,665,4,0,4
2035-03-06 18:15:29+00:00,2,1,43,1,671,4,0,4
2035-03-06 18:16:30+00:00,2,1,42,1,676,4,0,4
2035-03-06 18:17:30+00:00,2,1,41,1,681,4,0,4
2035-03-06 18:18:30+00:00,2,1,40,1,686,4,0,4
2035-03-06 18:19:30+00:00,2,1,39,1,689,4,0,4
