date,rr
2035-03-06 16:50:00+00:00,657
2035-03-06 16:50:00.001000+00:00,685
2035-03-06 16:50:09+00:00,539
2035-03-06 16:50:11+00:00,1462
2035-03-06 16:50:12+00:00,685
2035-03-06 16:50:13+00:00,533
2035-03-06 16:50:18+00:00,534
2035-03-06 16:50:19+00:00,532
2035-03-06 16:50:24+00:00,531
2035-03-06 16:50:27+00:00,535
2035-03-06 16:50:27.001000+00:00,593
2035-03-06 16:51:05+00:00,872
2035-03-06 16:51:10+00:00,997
2035-03-06 16:51:24+00:00,510
2035-03-06 16:51:40+00:00,1115
2035-03-06 16:51:43+00:00,1748
2035-03-06 16:52:14+00:00,685
2035-03-06 16:52:25+00:00,992
2035-03-06 16:52:41+00:00,529
2035-03-06 16:52:44+00:00,534
2035-03-06 16:52:46+00:00,1282
2035-03-06 16:52:47+00:00,1027
2035-03-06 16:52:49+00:00,1028
2035-03-06 16:53:05+00:00,622
2035-03-06 16:53:07+00:00,523
2035-03-06 16:53:08+00:00,595
2035-03-06 16:53:08.001000+00:00,596
2035-03-06 16:53:39+00:00,547
2035-03-06 16:53:44+00:00,530
2035-03-06 16:54:01+00:00,816
2035-03-06 16:54:02+00:00,1123
2035-03-06 16:54:04+00:00,592
2035-03-06 16:54:10+00:00,519
2035-03-06 16:54:10.001000+00:00,543
2035-03-06 16:54:11+00:00,522
2035-03-06 16:54:12+00:00,531
2035-03-06 16:54:12.001000+00:00,533
2035-03-06 16:54:13+00:00,532
2035-03-06 16:54:36+00:00,869
2035-03-06 16:56:55+00:00,531
2035-03-06 16:56:58+00:00,1148
2035-03-06 16:56:58.001000+00:00,504
2035-03-06 16:57:04+00:00,536
2035-03-06 16:57:05+00:00,1064
2035-03-06 16:57:05.001000+00:00,532
2035-03-06 16:57:06+00:00,532
2035-03-06 16:57:07+00:00,530
2035-03-06 16:57:07.001000+00:00,512
2035-03-06 16:57:11+00:00,588
2035-03-06 16:57:13+00:00,530
2035-03-06 16:57:13.001000+00:00,504
2035-03-06 16:57:35+00:00,873
2035-03-06 16:57:39+00:00,709
2035-03-06 16:58:12+00:00,1259
2035-03-06 16:58:36+00:00,531
2035-03-06 16:58:38+00:00,1334
2035-03-06 16:58:39+00:00,526
2035-03-06 16:58:42+00:00,749
2035-03-06 16:59:00+00:00,527
2035-03-06 16:59:26+00:00,1407
2035-03-06 16:59:28+00:00,1595
2035-03-06 17:00:27.001000+00:00,609
2035-03-06 17:00:27.002000+00:00,654
2035-03-06 17:00:28+00:00,606
2035-03-06 17:00:29.001000+00:00,679
2035-03-06 17:00:29.002000+00:00,631
2035-03-06 17:00:30.002000+00:00,662
2035-03-06 17:00:31.001000+00:00,716
2035-03-06 17:00:31.002000+00:00,670
2035-03-06 17:00:32+00:00,719
2035-03-06 17:00:33+00:00,709
2035-03-06 17:00:33.001000+00:00,696
2035-03-06 17:00:34+00:00,699
2035-03-06 17:00:35+00:00,704
2035-03-06 17:00:36+00:00,716
2035-03-06 17:00:36.001000+00:00,685
2035-03-06 17:00:37+00:00,721
2035-03-06 17:00:38+00:00,708
2035-03-06 17:00:38.001000+00:00,707
2035-03-06 17:00:39+00:00,658
2035-03-06 17:00:40+00:00,685
2035-03-06 17:00:40.001000+00:00,723
2035-03-06 17:00:41+00:00,612
2035-03-06 17:00:42+00:00,798
2035-03-06 17:00:49+00:00,684
2035-03-06 17:00:50.001000+00:00,676
2035-03-06 17:00:59+00:00,713
2035-03-06 17:01:00+00:00,715
2035-03-06 17:01:01+00:00,699
2035-03-06 17:01:01.001000+00:00,718
2035-03-06 17:01:02.001000+00:00,735
2035-03-06 17:01:03+00:00,710
2035-03-06 17:01:14+00:00,664
2035-03-06 17:01:15.002000+00:00,656
2035-03-06 17:01:15.003000+00:00,673
2035-03-06 17:01:43+00:00,837
2035-03-06 17:01:44.002000+00:00,555
2035-03-06 17:01:45+00:00,843
2035-03-06 17:01:45.001000+00:00,716
2035-03-06 17:01:47.001000+00:00,1505
2035-03-06 17:01:48+00:00,760
2035-03-06 17:01:48.001000+00:00,769
2035-03-06 17:01:49.001000+00:00,768
2035-03-06 17:02:00.002000+00:00,729
2035-03-06 17:02:01.001000+00:00,760
2035-03-06 17:02:02+00:00,778
2035-03-06 17:02:03+00:00,807
2035-03-06 17:02:03.001000+00:00,787
2035-03-06 17:02:04.001000+00:00,1069
2035-03-06 17:02:05.001000+00:00,535
2035-03-06 17:02:06.002000+00:00,778
2035-03-06 17:02:07.001000+00:00,753
2035-03-06 17:02:07.002000+00:00,790
2035-03-06 17:02:08+00:00,750
2035-03-06 17:02:09.002000+00:00,763
2035-03-06 17:02:10.001000+00:00,783
2035-03-06 17:02:10.002000+00:00,763
2035-03-06 17:02:11.003000+00:00,757
2035-03-06 17:02:12+00:00,744
2035-03-06 17:02:13+00:00,760
2035-03-06 17:02:13.001000+00:00,746
2035-03-06 17:02:14.001000+00:00,730
2035-03-06 17:02:15+00:00,749
2035-03-06 17:02:16.001000+00:00,764
2035-03-06 17:02:16.002000+00:00,749
2035-03-06 17:02:17.002000+00:00,764
2035-03-06 17:02:18+00:00,773
2035-03-06 17:02:19.001000+00:00,747
2035-03-06 17:02:19.002000+00:00,745
2035-03-06 17:02:20.002000+00:00,727
2035-03-06 17:02:22+00:00,1448
2035-03-06 17:02:22.001000+00:00,726
2035-03-06 17:02:23+00:00,730
2035-03-06 17:02:24+00:00,740
2035-03-06 17:02:25.001000+00:00,750
2035-03-06 17:02:25.002000+00:00,744
2035-03-06 17:02:26+00:00,737
2035-03-06 17:02:27.001000+00:00,723
2035-03-06 17:02:27.002000+00:00,757
2035-03-06 17:02:28+00:00,758
2035-03-06 17:02:42+00:00,729
2035-03-06 17:02:43+00:00,732
2035-03-06 17:02:44.001000+00:00,753
2035-03-06 17:02:45.001000+00:00,1480
2035-03-06 17:02:46.002000+00:00,724
2035-03-06 17:02:47+00:00,693
2035-03-06 17:02:52.002000+00:00,800
2035-03-06 17:02:53+00:00,737
2035-03-06 17:02:53.001000+00:00,744
2035-03-06 17:02:54+00:00,752
2035-03-06 17:02:55.001000+00:00,758
2035-03-06 17:02:56.002000+00:00,742
2035-03-06 17:02:56.003000+00:00,733
2035-03-06 17:02:57.001000+00:00,760
2035-03-06 17:02:58+00:00,797
2035-03-06 17:03:00+00:00,1585
2035-03-06 17:03:00.001000+00:00,833
2035-03-06 17:03:07+00:00,726
2035-03-06 17:03:08+00:00,743
2035-03-06 17:03:09+00:00,767
2035-03-06 17:03:09.001000+00:00,745
2035-03-06 17:03:10+00:00,732
2035-03-06 17:03:11+00:00,796
2035-03-06 17:03:12+00:00,732
2035-03-06 17:03:12.001000+00:00,727
2035-03-06 17:03:13+00:00,721
2035-03-06 17:03:17+00:00,757
2035-03-06 17:03:17.001000+00:00,700
2035-03-06 17:03:18+00:00,700
2035-03-06 17:03:19.001000+00:00,692
2035-03-06 17:03:19.002000+00:00,709
2035-03-06 17:03:20.001000+00:00,686
2035-03-06 17:03:29.002000+00:00,728
2035-03-06 17:03:31+00:00,725
2035-03-06 17:03:32+00:00,734
2035-03-06 17:03:33+00:00,767
2035-03-06 17:03:33.001000+00:00,704
2035-03-06 17:03:34.001000+00:00,837
2035-03-06 17:03:35+00:00,797
2035-03-06 17:04:15.002000+00:00,764
2035-03-06 17:04:15.003000+00:00,764
2035-03-06 17:04:16+00:00,794
2035-03-06 17:04:17+00:00,839
2035-03-06 17:04:18+00:00,819
2035-03-06 17:04:19+00:00,805
2035-03-06 17:04:46.001000+00:00,642
2035-03-06 17:04:48+00:00,634
2035-03-06 17:04:49.001000+00:00,635
2035-03-06 17:04:49.002000+00:00,654
2035-03-06 17:04:50.002000+00:00,669
2035-03-06 17:04:51.002000+00:00,700
2035-03-06 17:04:51.003000+00:00,732
2035-03-06 17:04:52+00:00,738
2035-03-06 17:04:53+00:00,755
2035-03-06 17:04:54.002000+00:00,778
2035-03-06 17:04:54.003000+00:00,753
2035-03-06 17:04:55.001000+00:00,754
2035-03-06 17:04:56.001000+00:00,764
2035-03-06 17:04:57.002000+00:00,785
2035-03-06 17:04:57.003000+00:00,747
2035-03-06 17:04:58+00:00,766
2035-03-06 17:04:59.001000+00:00,790
2035-03-06 17:05:00+00:00,815
2035-03-06 17:05:01.002000+00:00,765
2035-03-06 17:05:01.003000+00:00,793
2035-03-06 17:05:02.001000+00:00,800
2035-03-06 17:05:03+00:00,808
2035-03-06 17:05:04.001000+00:00,788
2035-03-06 17:05:05.002000+00:00,826
2035-03-06 17:05:05.003000+00:00,804
2035-03-06 17:05:06.002000+00:00,787
