date,cz,pcz,pczt,czh,cc,quality,stress_skin,stress_skin_quality
2035-02-27 19:45:01+00:00,0,0,255,0,538,2,0,4
2035-02-27 19:46:01+00:00,0,0,255,0,510,2,0,4
2035-02-27 19:47:01+00:00,0,0,255,0,483,2,0,4
2035-02-27 19:48:01+00:00,0,0,255,0,456,2,0,4
2035-02-27 19:49:01+00:00,0,0,255,0,430,2,4,4
2035-02-27 19:50:01+00:00,0,0,255,0,405,2,7,4
2035-02-27 19:51:01+00:00,0,0,255,0,380,2,2,4
2035-02-27 19:52:01+00:00,0,0,255,0,357,2,19,4
2035-02-27 19:53:01+00:00,0,0,255,0,334,2,357,4
2035-02-27 19:54:01+00:00,0,0,255,0,313,2,255,4
2035-02-27 19:55:01+00:00,0,0,255,0,293,2,115,4
2035-02-27 19:59:01+00:00,0,0,255,0,257,2,24,4
2035-02-27 20:00:01+00:00,0,0,255,0,242,2,0,4
2035-02-27 20:01:01+00:00,0,0,255,0,230,2,0,4
2035-02-27 20:02:00+00:00,0,0,255,0,220,1,0,4
2035-02-27 20:03:00+00:00,0,0,255,0,213,1,0,4
2035-02-27 20:04:00+00:00,0,0,255,0,209,1,0,4
2035-02-27 20:05:00+00:00,0,0,255,0,209,1,0,4
2035-02-27 20:06:00+00:00,0,0,255,0,211,1,0,4
2035-02-27 20:07:00+00:00,0,0,255,0,215,1,0,4
2035-02-27 20:08:00+00:00,0,0,255,0,222,1,0,4
2035-02-27 20:09:00+00:00,0,0,255,0,232,1,17,4
2035-02-27 20:10:00+00:00,0,0,255,0,243,1,300,4
2035-02-27 20:11:00+00:00,0,0,255,0,255,1,402,4
2035-02-27 20:12:01+00:00,0,0,255,0,269,1,211,4
2035-02-27 20:13:01+00:00,0,0,255,0,285,1,86,4
2035-02-27 20:14:01+00:00,0,0,255,0,303,1,22,4
2035-02-27 20:15:01+00:00,0,0,255,0,323,1,0,4
2035-02-27 20:16:01+00:00,0,0,255,0,346,1,0,4
2035-02-27 20:17:01+00:00,0,0,255,0,371,1,0,4
2035-02-27 20:18:01+00:00,0,0,255,0,400,1,0,4
2035-02-27 20:19:01+00:00,0,0,255,0,432,1,0,4
2035-02-27 20:20:01+00:00,0,0,255,0,468,1,0,4
2035-02-27 20:21:01+00:00,0,0,255,0,506,1,0,4
2035-02-27 20:22:01+00:00,0,0,255,0,547,1,0,4
2035-02-27 20:23:01+00:00,0,0,255,0,590,1,0,4
2035-02-27 20:24:01+00:00,0,0,255,0,635,1,0,4
2035-02-27 20:25:00+00:00,0,0,255,0,680,1,0,4
2035-02-27 20:26:00+00:00,0,0,255,0,725,1,0,4
2035-02-27 20:27:00+00:00,0,0,255,0,769,1,0,4
2035-02-27 20:28:00+00:00,0,0,255,0,811,1,0,4
2035-02-27 20:29:00+00:00,0,0,255,0,851,1,63,4
2035-02-27 20:30:01+00:00,0,0,255,0,888,1,32,4
2035-02-27 20:31:01+00:00,0,0,255,0,921,1,0,4
2035-02-27 20:32:01+00:00,0,0,255,0,952,1,33,4
2035-02-27 20:33:01+00:00,0,0,255,0,978,1,225,4
2035-02-27 20:34:01+00:00,0,0,255,0,1001,1,128,4
2035-02-27 20:35:01+00:00,0,0,255,0,1020,1,46,4
2035-02-27 20:36:01+00:00,0,0,255,0,1035,1,38,4
2035-02-27 20:37:01+00:00,0,0,255,0,1048,1,65,4
2035-02-27 20:38:00+00:00,0,0,255,0,1058,1,15,4
2035-02-27 20:39:01+00:00,0,0,255,0,1066,1,0,4
2035-02-27 20:40:00+00:00,0,0,255,0,1071,1,0,4
2035-02-27 20:41:00+00:00,0,0,255,0,1075,1,0,4
2035-02-27 20:42:00+00:00,0,0,255,0,1077,1,3,4
2035-02-27 20:43:00+00:00,0,0,255,0,1078,1,0,4
2035-02-27 20:44:00+00:00,0,0,255,0,1076,1,38,4
2035-02-27 20:45:00+00:00,0,0,255,0,1073,1,58,4
2035-02-27 20:46:00+00:00,0,0,255,0,1068,2,97,4
2035-02-27 20:47:00+00:00,0,0,255,0,1062,2,58,4
2035-02-27 20:48:00+00:00,0,0,255,0,1054,2,42,4
2035-02-27 20:49:00+00:00,0,0,255,0,1045,2,44,4
2035-02-27 20:50:00+00:00,0,0,255,0,1034,2,137,4
2035-02-27 20:51:00+00:00,0,0,255,0,1023,2,82,4
2035-02-27 20:52:00+00:00,0,0,255,0,1012,2,33,4
2035-02-27 20:53:00+00:00,0,0,255,0,1000,2,38,4
2035-02-27 20:54:00+00:00,0,0,255,0,988,2,66,4
2035-02-27 20:55:00+00:00,0,0,255,0,977,2,22,4
2035-02-27 20:56:00+00:00,0,0,255,0,967,2,0,4
2035-02-27 20:57:00+00:00,0,0,255,0,958,2,0,4
2035-02-27 20:58:00+00:00,2,1,50,1,951,2,22,4
2035-02-27 20:59:00+00:00,2,1,50,1,944,2,46,4
2035-02-27 21:00:00+00:00,2,1,49,1,939,2,5,4
2035-02-27 21:01:00+00:00,2,1,49,1,934,2,5,4
2035-02-27 21:02:00+00:00,2,1,48,1,931,2,0,4
