date,rr
2035-02-27 19:48:09.001000+00:00,628
2035-02-27 19:48:11.001000+00:00,655
2035-02-27 19:48:11.002000+00:00,733
2035-02-27 19:48:12+00:00,754
2035-02-27 19:48:13.001000+00:00,797
2035-02-27 19:48:14.001000+00:00,755
2035-02-27 19:48:15.002000+00:00,739
2035-02-27 19:48:15.003000+00:00,724
2035-02-27 19:48:16.001000+00:00,719
2035-02-27 19:48:17+00:00,702
2035-02-27 19:48:17.001000+00:00,691
2035-02-27 19:48:18.002000+00:00,699
2035-02-27 19:48:19.001000+00:00,721
2035-02-27 19:48:19.002000+00:00,720
2035-02-27 19:48:20+00:00,711
2035-02-27 19:48:21+00:00,740
2035-02-27 19:48:22+00:00,735
2035-02-27 19:48:22.001000+00:00,735
2035-02-27 19:48:23+00:00,726
2035-02-27 19:48:24+00:00,708
2035-02-27 19:48:34+00:00,669
2035-02-27 19:48:35+00:00,658
2035-02-27 19:48:35.001000+00:00,640
2035-02-27 19:48:36+00:00,653
2035-02-27 19:48:36.001000+00:00,635
2035-02-27 19:48:37+00:00,636
2035-02-27 19:48:38+00:00,630
2035-02-27 19:49:36+00:00,659
2035-02-27 19:49:37+00:00,695
2035-02-27 19:49:38.002000+00:00,678
2035-02-27 19:49:38.003000+00:00,666
2035-02-27 19:49:39.001000+00:00,633
2035-02-27 19:49:40.002000+00:00,691
2035-02-27 19:49:40.003000+00:00,679
2035-02-27 19:49:41.001000+00:00,675
2035-02-27 19:49:42+00:00,685
2035-02-27 19:49:43+00:00,691
2035-02-27 19:49:43.001000+00:00,699
2035-02-27 19:49:44.001000+00:00,717
2035-02-27 19:49:45.001000+00:00,710
2035-02-27 19:49:45.002000+00:00,712
2035-02-27 19:49:46+00:00,740
2035-02-27 19:49:56.001000+00:00,688
2035-02-27 19:49:57+00:00,1350
2035-02-27 19:49:58.001000+00:00,689
2035-02-27 19:49:59.001000+00:00,767
2035-02-27 19:50:00.002000+00:00,814
2035-02-27 19:50:00.003000+00:00,829
2035-02-27 19:50:01+00:00,815
2035-02-27 19:50:02+00:00,830
2035-02-27 19:50:03.002000+00:00,823
2035-02-27 19:50:04.001000+00:00,775
2035-02-27 19:50:04.002000+00:00,793
2035-02-27 19:50:05.001000+00:00,758
2035-02-27 19:50:06+00:00,729
2035-02-27 19:50:07+00:00,758
2035-02-27 19:50:07.001000+00:00,770
2035-02-27 19:50:08.001000+00:00,780
2035-02-27 19:50:09.002000+00:00,760
2035-02-27 19:50:10.001000+00:00,759
2035-02-27 19:50:11+00:00,778
2035-02-27 19:50:11.001000+00:00,757
2035-02-27 19:50:12+00:00,721
2035-02-27 19:50:13.002000+00:00,762
2035-02-27 19:50:14.001000+00:00,747
2035-02-27 19:50:14.002000+00:00,737
2035-02-27 19:50:15.002000+00:00,731
2035-02-27 19:50:16+00:00,741
2035-02-27 19:50:16.001000+00:00,734
2035-02-27 19:50:17+00:00,760
2035-02-27 19:50:18+00:00,777
2035-02-27 19:50:19+00:00,787
2035-02-27 19:50:20.001000+00:00,742
2035-02-27 19:50:20.002000+00:00,741
2035-02-27 19:50:21+00:00,748
2035-02-27 19:50:22+00:00,719
2035-02-27 19:50:22.001000+00:00,736
2035-02-27 19:50:23.001000+00:00,717
2035-02-27 19:50:25.001000+00:00,1539
2035-02-27 19:50:25.002000+00:00,769
2035-02-27 19:50:26+00:00,785
2035-02-27 19:50:27+00:00,713
2035-02-27 19:50:28+00:00,711
2035-02-27 19:50:28.001000+00:00,731
2035-02-27 19:50:29+00:00,702
2035-02-27 19:50:44.001000+00:00,660
2035-02-27 19:50:49.001000+00:00,718
2035-02-27 19:50:51.001000+00:00,650
2035-02-27 19:50:52+00:00,699
2035-02-27 19:50:52.001000+00:00,654
2035-02-27 19:50:53+00:00,668
2035-02-27 19:50:54.002000+00:00,700
2035-02-27 19:50:54.003000+00:00,732
2035-02-27 19:50:55.001000+00:00,740
2035-02-27 19:51:06.001000+00:00,726
2035-02-27 19:51:10.001000+00:00,748
2035-02-27 19:51:12+00:00,746
2035-02-27 19:51:12.001000+00:00,764
2035-02-27 19:51:13.002000+00:00,830
2035-02-27 19:51:14.001000+00:00,811
2035-02-27 19:51:15+00:00,819
2035-02-27 19:51:16+00:00,822
2035-02-27 19:51:17+00:00,816
2035-02-27 19:51:17.001000+00:00,803
2035-02-27 19:51:24+00:00,732
2035-02-27 19:51:25.001000+00:00,686
2035-02-27 19:51:27+00:00,762
2035-02-27 19:51:28.001000+00:00,756
2035-02-27 19:51:28.002000+00:00,626
2035-02-27 19:51:30.002000+00:00,726
2035-02-27 19:51:32+00:00,759
2035-02-27 19:51:33.001000+00:00,753
2035-02-27 19:51:34.001000+00:00,757
2035-02-27 19:51:34.002000+00:00,778
2035-02-27 19:51:35.002000+00:00,710
2035-02-27 19:51:36+00:00,684
2035-02-27 19:51:37+00:00,705
2035-02-27 19:51:37.001000+00:00,706
2035-02-27 19:51:38.001000+00:00,720
2035-02-27 19:51:39.001000+00:00,1517
2035-02-27 19:51:40.001000+00:00,784
2035-02-27 19:51:41.002000+00:00,740
2035-02-27 19:51:42+00:00,772
2035-02-27 19:51:43+00:00,763
2035-02-27 19:51:44.001000+00:00,1573
2035-02-27 19:51:45+00:00,603
2035-02-27 19:51:45.001000+00:00,681
2035-02-27 19:51:46.001000+00:00,780
2035-02-27 19:52:04.002000+00:00,775
2035-02-27 19:52:33+00:00,766
2035-02-27 19:52:35.001000+00:00,730
2035-02-27 19:53:33+00:00,842
2035-02-27 19:53:49+00:00,653
2035-02-27 19:53:55+00:00,570
2035-02-27 19:54:10+00:00,904
2035-02-27 19:54:18+00:00,534
2035-02-27 19:54:26+00:00,604
2035-02-27 19:54:37+00:00,813
2035-02-27 19:54:37.001000+00:00,534
2035-02-27 19:55:17+00:00,672
2035-02-27 19:55:18+00:00,968
2035-02-27 19:55:19+00:00,1741
2035-02-27 19:55:22+00:00,1598
2035-02-27 19:55:24+00:00,757
2035-02-27 19:55:25+00:00,720
2035-02-27 19:55:25.001000+00:00,549
2035-02-27 19:59:57+00:00,1230
2035-02-27 20:00:09+00:00,850
2035-02-27 20:00:10+00:00,815
2035-02-27 20:00:11+00:00,869
2035-02-27 20:00:30.001000+00:00,926
2035-02-27 20:00:31+00:00,900
2035-02-27 20:00:32+00:00,952
2035-02-27 20:00:33.001000+00:00,872
2035-02-27 20:00:33.002000+00:00,879
2035-02-27 20:00:34.001000+00:00,954
2035-02-27 20:00:35.001000+00:00,1065
2035-02-27 20:00:36+00:00,947
2035-02-27 20:00:37+00:00,996
2035-02-27 20:00:38+00:00,979
2035-02-27 20:00:39.002000+00:00,895
2035-02-27 20:00:53+00:00,1082
2035-02-27 20:00:54+00:00,713
2035-02-27 20:00:55+00:00,884
2035-02-27 20:00:56+00:00,1021
2035-02-27 20:01:16.001000+00:00,895
2035-02-27 20:01:24+00:00,1001
2035-02-27 20:01:59.001000+00:00,994
2035-02-27 20:02:01+00:00,906
2035-02-27 20:02:02.001000+00:00,949
2035-02-27 20:02:03.001000+00:00,995
2035-02-27 20:02:04+00:00,965
2035-02-27 20:02:05+00:00,957
2035-02-27 20:02:06+00:00,1027
2035-02-27 20:02:07.001000+00:00,1018
2035-02-27 20:02:16+00:00,802
2035-02-27 20:02:17+00:00,940
2035-02-27 20:02:18+00:00,1002
2035-02-27 20:02:19+00:00,988
2035-02-27 20:02:19.001000+00:00,947
2035-02-27 20:02:20+00:00,957
2035-02-27 20:02:21+00:00,913
2035-02-27 20:02:22.001000+00:00,1020
2035-02-27 20:02:23+00:00,958
2035-02-27 20:02:40+00:00,902
2035-02-27 20:02:50+00:00,979
2035-02-27 20:03:06+00:00,905
2035-02-27 20:03:07.001000+00:00,887
2035-02-27 20:03:08.001000+00:00,1742
2035-02-27 20:03:10.001000+00:00,925
2035-02-27 20:03:11+00:00,932
2035-02-27 20:03:12.001000+00:00,896
2035-02-27 20:03:13.001000+00:00,984
2035-02-27 20:03:14+00:00,970
2035-02-27 20:03:17.001000+00:00,944
