date,cz,pcz,pczt,czh,cc,quality,stress_skin,stress_skin_quality
2035-03-15 17:02:25+00:00,2,1,8,1,191,4,0,4
2035-03-15 17:03:25+00:00,2,1,7,1,186,4,0,4
2035-03-15 17:04:24+00:00,2,1,6,1,180,4,0,4
2035-03-15 17:05:25+00:00,2,1,5,1,174,4,0,4
2035-03-15 17:06:25+00:00,2,1,4,1,169,4,0,4
2035-03-15 17:07:25+00:00,2,1,3,1,163,4,0,4
2035-03-15 17:08:25+00:00,2,1,2,1,158,3,2,4
2035-03-15 17:09:25+00:00,2,1,1,1,152,3,2,4
2035-03-15 17:10:24+00:00,1,1,255,1,147,3,57,4
2035-03-15 17:11:25+00:00,1,1,255,1,142,3,102,4
2035-03-15 17:12:25+00:00,1,1,255,1,137,3,196,4
2035-03-15 17:13:25+00:00,1,1,255,1,132,3,171,4
2035-03-15 17:14:24+00:00,1,2,23,1,127,3,175,4
2035-03-15 17:15:25+00:00,1,2,13,1,123,3,335,4
2035-03-15 17:16:25+00:00,1,2,12,1,119,3,217,4
2035-03-15 17:17:25+00:00,1,2,10,1,116,3,176,4
2035-03-15 17:18:25+00:00,1,2,9,1,113,3,97,4
2035-03-15 17:19:25+00:00,1,2,8,1,112,3,62,4
2035-03-15 17:20:25+00:00,1,2,7,1,112,3,9,4
2035-03-15 17:21:25+00:00,1,2,6,1,114,3,0,4
2035-03-15 17:22:24+00:00,1,2,5,1,117,3,231,4
2035-03-15 17:23:24+00:00,1,2,4,1,122,3,561,4
2035-03-15 17:24:25+00:00,1,2,3,1,129,3,632,4
2035-03-15 17:25:25+00:00,1,2,2,2,137,3,618,4
2035-03-15 17:26:25+00:00,1,2,1,2,148,3,414,4
2035-03-15 17:27:24+00:00,2,2,255,2,161,3,271,4
2035-03-15 17:28:25+00:00,2,2,255,2,177,3,158,4
2035-03-15 17:29:25+00:00,2,1,59,1,196,3,60,4
2035-03-15 17:30:25+00:00,2,1,58,1,219,3,7,4
2035-03-15 17:31:24+00:00,2,1,57,1,246,3,0,4
2035-03-15 17:32:25+00:00,2,1,56,1,277,3,4,4
2035-03-15 17:33:25+00:00,2,1,55,1,312,3,4,4
2035-03-15 17:34:25+00:00,2,1,54,1,351,3,0,4
2035-03-15 17:35:25+00:00,2,1,54,1,394,3,209,4
2035-03-15 17:36:25+00:00,2,1,53,1,439,3,169,4
2035-03-15 17:37:25+00:00,2,1,52,1,486,3,66,4
2035-03-15 17:38:25+00:00,2,1,52,1,534,3,74,4
2035-03-15 17:39:25+00:00,2,1,51,1,582,3,143,4
2035-03-15 17:40:25+00:00,2,1,51,1,630,3,87,4
2035-03-15 17:41:25+00:00,2,1,50,1,677,3,61,4
2035-03-15 17:42:25+00:00,2,1,49,1,722,3,28,4
2035-03-15 17:43:24+00:00,2,1,48,1,765,3,113,4
2035-03-15 17:44:25+00:00,2,1,53,1,806,3,564,4
2035-03-15 17:45:25+00:00,2,1,55,1,843,3,541,4
2035-03-15 17:46:25+00:00,2,1,57,1,878,3,452,4
2035-03-15 17:47:25+00:00,2,1,58,1,909,3,440,4
2035-03-15 17:48:24+00:00,2,1,57,1,938,3,293,4
2035-03-15 17:49:25+00:00,2,1,56,1,964,3,126,4
2035-03-15 17:50:24+00:00,2,1,55,1,989,3,45,4
2035-03-15 17:51:25+00:00,2,1,54,1,1013,3,4,4
2035-03-15 17:52:24+00:00,2,1,53,1,1036,3,14,4
2035-03-15 17:53:25+00:00,2,1,52,1,1059,3,5,4
2035-03-15 17:54:25+00:00,2,1,54,1,1081,3,330,4
2035-03-15 17:55:24+00:00,2,1,53,1,1102,3,302,4
2035-03-15 17:56:25+00:00,2,1,52,1,1122,3,130,4
2035-03-15 17:57:24+00:00,2,1,51,1,1141,3,47,4
2035-03-15 17:58:24+00:00,2,1,50,1,1158,3,2,4
2035-03-15 17:59:25+00:00,2,1,49,1,1174,3,0,4
2035-03-15 18:00:24+00:00,2,1,48,1,1188,3,84,4
2035-03-15 18:01:24+00:00,2,1,49,1,1200,3,161,4
2035-03-15 18:02:25+00:00,2,1,48,1,1210,3,73,4
2035-03-15 18:03:25+00:00,2,1,47,1,1217,3,24,4
2035-03-15 18:04:24+00:00,2,1,46,1,1222,3,0,4
2035-03-15 18:05:25+00:00,2,1,45,1,1224,3,26,4
2035-03-15 18:06:25+00:00,2,1,45,1,1224,3,34,4
2035-03-15 18:07:25+00:00,2,1,44,1,1222,3,85,4
2035-03-15 18:08:24+00:00,2,1,44,1,1217,3,101,4
2035-03-15 18:09:26+00:00,2,1,43,1,1209,3,44,4
2035-03-15 18:10:26+00:00,2,1,44,1,1199,3,67,4
2035-03-15 18:11:25+00:00,2,1,43,1,1187,3,150,4
2035-03-15 18:12:26+00:00,2,1,42,1,1173,3,72,4
2035-03-15 18:13:26+00:00,2,1,41,1,1158,3,13,4
2035-03-15 18:14:25+00:00,2,1,40,1,1140,3,0,4
2035-03-15 18:15:31+00:00,2,1,39,1,1121,3,0,4
2035-03-15 18:16:31+00:00,2,1,38,1,1100,3,0,4
2035-03-15 18:17:31+00:00,2,1,37,1,1078,3,0,4
2035-03-15 18:18:31+00:00,2,1,36,1,1054,3,0,4
