date,rr
2035-03-15 17:02:16+00:00,1096
2035-03-15 17:02:17+00:00,1113
2035-03-15 17:02:18+00:00,1092
2035-03-15 17:02:19+00:00,1037
2035-03-15 17:02:24+00:00,626
2035-03-15 17:02:25+00:00,838
2035-03-15 17:02:27+00:00,1563
2035-03-15 17:02:28+00:00,802
2035-03-15 17:02:46+00:00,577
2035-03-15 17:02:57+00:00,557
2035-03-15 17:02:58+00:00,1340
2035-03-15 17:04:21+00:00,668
2035-03-15 17:04:22.001000+00:00,707
2035-03-15 17:04:22.002000+00:00,784
2035-03-15 17:04:23.001000+00:00,892
2035-03-15 17:04:24.001000+00:00,902
2035-03-15 17:04:25+00:00,796
2035-03-15 17:04:26+00:00,755
2035-03-15 17:04:26.001000+00:00,725
2035-03-15 17:04:31+00:00,773
2035-03-15 17:04:32+00:00,660
2035-03-15 17:04:32.001000+00:00,736
2035-03-15 17:04:33+00:00,717
2035-03-15 17:04:34+00:00,752
2035-03-15 17:04:35+00:00,787
2035-03-15 17:05:01+00:00,703
2035-03-15 17:05:02.001000+00:00,716
2035-03-15 17:05:02.002000+00:00,730
2035-03-15 17:05:03.001000+00:00,735
2035-03-15 17:05:04+00:00,718
2035-03-15 17:05:12.001000+00:00,740
2035-03-15 17:05:12.002000+00:00,714
2035-03-15 17:05:13+00:00,726
2035-03-15 17:05:14+00:00,762
2035-03-15 17:05:15+00:00,808
2035-03-15 17:05:41+00:00,831
2035-03-15 17:05:42+00:00,786
2035-03-15 17:05:43.001000+00:00,779
2035-03-15 17:05:43.002000+00:00,769
2035-03-15 17:05:44+00:00,759
2035-03-15 17:05:45+00:00,768
2035-03-15 17:05:46+00:00,748
2035-03-15 17:05:46.001000+00:00,781
2035-03-15 17:05:47.001000+00:00,711
2035-03-15 17:05:48.002000+00:00,669
2035-03-15 17:05:48.003000+00:00,662
2035-03-15 17:05:49.001000+00:00,698
2035-03-15 17:06:04.001000+00:00,655
2035-03-15 17:06:04.002000+00:00,671
2035-03-15 17:06:05+00:00,765
2035-03-15 17:06:06+00:00,757
2035-03-15 17:06:07.001000+00:00,891
2035-03-15 17:06:07.002000+00:00,785
2035-03-15 17:06:08+00:00,742
2035-03-15 17:06:09+00:00,729
2035-03-15 17:06:10+00:00,709
2035-03-15 17:06:10.001000+00:00,692
2035-03-15 17:06:11+00:00,693
2035-03-15 17:06:12+00:00,726
2035-03-15 17:06:20+00:00,820
2035-03-15 17:06:21+00:00,771
2035-03-15 17:06:21.001000+00:00,791
2035-03-15 17:06:22.001000+00:00,808
2035-03-15 17:06:23.001000+00:00,865
2035-03-15 17:06:24.002000+00:00,864
2035-03-15 17:06:25+00:00,767
2035-03-15 17:06:25.001000+00:00,718
2035-03-15 17:06:26+00:00,721
2035-03-15 17:06:27.001000+00:00,741
2035-03-15 17:06:28.002000+00:00,717
2035-03-15 17:06:28.003000+00:00,734
2035-03-15 17:06:29+00:00,757
2035-03-15 17:06:30+00:00,732
2035-03-15 17:06:31+00:00,736
2035-03-15 17:06:31.001000+00:00,774
2035-03-15 17:06:32.001000+00:00,772
2035-03-15 17:06:33+00:00,789
2035-03-15 17:06:45+00:00,692
2035-03-15 17:06:46+00:00,700
2035-03-15 17:06:47+00:00,737
2035-03-15 17:06:48+00:00,774
2035-03-15 17:06:49+00:00,821
2035-03-15 17:06:49.001000+00:00,837
2035-03-15 17:06:50+00:00,819
2035-03-15 17:06:51+00:00,801
2035-03-15 17:06:52.002000+00:00,782
2035-03-15 17:06:53+00:00,772
2035-03-15 17:06:54.001000+00:00,1121
2035-03-15 17:06:54.002000+00:00,751
2035-03-15 17:07:03.001000+00:00,756
2035-03-15 17:07:04.002000+00:00,690
2035-03-15 17:07:05+00:00,741
2035-03-15 17:07:05.001000+00:00,713
2035-03-15 17:07:06+00:00,755
2035-03-15 17:07:07.001000+00:00,730
2035-03-15 17:07:08+00:00,777
2035-03-15 17:07:09.001000+00:00,819
2035-03-15 17:07:09.002000+00:00,763
2035-03-15 17:07:10+00:00,776
2035-03-15 17:07:11+00:00,815
2035-03-15 17:07:12.001000+00:00,753
2035-03-15 17:07:12.002000+00:00,766
2035-03-15 17:07:13.002000+00:00,745
2035-03-15 17:07:14.001000+00:00,699
2035-03-15 17:07:15+00:00,681
2035-03-15 17:07:15.001000+00:00,677
2035-03-15 17:07:16+00:00,701
2035-03-15 17:07:17+00:00,730
2035-03-15 17:07:17.001000+00:00,757
2035-03-15 17:07:18.002000+00:00,743
2035-03-15 17:07:19.001000+00:00,799
2035-03-15 17:07:20+00:00,744
2035-03-15 17:07:20.001000+00:00,731
2035-03-15 17:07:21+00:00,773
2035-03-15 17:07:22.002000+00:00,722
2035-03-15 17:07:23.001000+00:00,690
2035-03-15 17:07:23.002000+00:00,688
2035-03-15 17:07:24.002000+00:00,665
2035-03-15 17:07:25+00:00,688
2035-03-15 17:07:25.001000+00:00,712
2035-03-15 17:07:26+00:00,706
2035-03-15 17:07:28.001000+00:00,1664
2035-03-15 17:07:29.001000+00:00,788
2035-03-15 17:07:29.002000+00:00,740
2035-03-15 17:07:30+00:00,693
2035-03-15 17:07:31+00:00,678
2035-03-15 17:07:31.001000+00:00,702
2035-03-15 17:07:32+00:00,733
2035-03-15 17:07:33+00:00,740
2035-03-15 17:07:34+00:00,735
2035-03-15 17:07:34.001000+00:00,856
2035-03-15 17:07:35+00:00,796
2035-03-15 17:07:36+00:00,800
2035-03-15 17:07:37.001000+00:00,798
2035-03-15 17:07:50+00:00,715
2035-03-15 17:07:51+00:00,775
2035-03-15 17:07:52+00:00,866
2035-03-15 17:08:25+00:00,792
2035-03-15 17:08:25.001000+00:00,710
2035-03-15 17:08:26+00:00,697
2035-03-15 17:08:27.001000+00:00,637
2035-03-15 17:08:27.002000+00:00,673
2035-03-15 17:08:28.001000+00:00,680
2035-03-15 17:08:29.002000+00:00,737
2035-03-15 17:08:30+00:00,783
2035-03-15 17:08:31+00:00,829
2035-03-15 17:08:31.001000+00:00,772
2035-03-15 17:08:32.001000+00:00,719
2035-03-15 17:08:33+00:00,677
