date,cz,pcz,pczt,czh,cc,quality,stress_skin,stress_skin_quality
2035-03-13 14:50:18+00:00,2,1,47,1,589,3,0,4
2035-03-13 14:51:18+00:00,2,1,46,1,603,3,18,4
2035-03-13 14:52:18+00:00,2,1,47,1,617,3,38,4
2035-03-13 14:53:18+00:00,2,1,46,1,631,3,4,4
2035-03-13 14:54:18+00:00,2,1,46,1,644,3,14,4
2035-03-13 14:55:18+00:00,2,1,46,1,657,3,14,4
2035-03-13 14:56:18+00:00,2,1,45,1,669,3,1,4
2035-03-13 14:57:18+00:00,2,1,44,1,680,3,0,4
2035-03-13 14:58:18+00:00,2,1,43,1,689,3,0,4
2035-03-13 14:59:18+00:00,2,1,42,1,698,3,0,4
2035-03-13 15:00:18+00:00,2,1,41,1,705,3,0,4
2035-03-13 15:01:18+00:00,2,1,40,1,711,3,0,4
2035-03-13 15:02:19+00:00,2,1,39,1,716,3,0,4
2035-03-13 15:03:19+00:00,2,1,38,1,719,3,0,4
2035-03-13 15:04:19+00:00,2,1,37,1,720,3,0,4
2035-03-13 15:05:19+00:00,2,1,36,1,719,3,0,4
2035-03-13 15:06:19+00:00,2,1,37,1,717,3,42,4
2035-03-13 15:07:19+00:00,2,1,37,1,712,3,26,4
2035-03-13 15:08:19+00:00,2,1,37,1,707,4,27,4
2035-03-13 15:09:19+00:00,2,1,40,1,699,4,49,4
2035-03-13 15:10:19+00:00,2,1,41,1,690,4,27,4
2035-03-13 15:11:19+00:00,2,1,41,1,680,4,27,4
2035-03-13 15:12:19+00:00,2,1,43,1,669,4,62,4
2035-03-13 15:13:19+00:00,2,1,48,1,657,4,91,4
2035-03-13 15:14:18+00:00,2,1,47,1,644,4,31,4
2035-03-13 15:15:18+00:00,2,1,48,1,632,4,42,4
2035-03-13 15:16:18+00:00,2,1,48,1,619,4,15,4
2035-03-13 15:17:18+00:00,2,1,47,1,607,4,11,4
2035-03-13 15:18:18+00:00,2,1,47,1,595,4,2,4
2035-03-13 15:19:18+00:00,2,1,46,1,584,4,0,4
2035-03-13 15:20:18+00:00,2,1,45,1,575,4,0,4
2035-03-13 15:21:18+00:00,2,1,44,1,566,4,2,4
2035-03-13 15:22:18+00:00,2,1,43,1,559,4,0,4
2035-03-13 15:23:18+00:00,2,1,42,1,553,4,0,4
2035-03-13 15:24:19+00:00,2,1,41,1,548,4,0,4
2035-03-13 15:25:19+00:00,2,1,40,1,544,4,0,4
2035-03-13 15:26:19+00:00,2,1,39,1,541,4,0,4
2035-03-13 15:27:19+00:00,2,1,38,1,537,4,1,4
2035-03-13 15:28:19+00:00,2,1,38,1,534,4,9,4
2035-03-13 15:29:19+00:00,2,1,37,1,532,4,1,4
2035-03-13 15:30:19+00:00,2,1,36,1,529,4,0,4
2035-03-13 15:31:19+00:00,2,1,35,1,525,4,0,4
2035-03-13 15:32:19+00:00,2,1,34,1,522,4,0,4
2035-03-13 15:33:19+00:00,2,1,33,1,517,4,0,4
