date,rr
2035-03-13 14:50:00+00:00,742
2035-03-13 14:50:11+00:00,700
2035-03-13 14:50:11.001000+00:00,661
2035-03-13 14:50:12+00:00,724
2035-03-13 14:50:13+00:00,631
2035-03-13 14:50:13.001000+00:00,677
2035-03-13 14:50:14+00:00,720
2035-03-13 14:50:15+00:00,697
2035-03-13 14:50:15.001000+00:00,696
2035-03-13 14:50:16+00:00,761
2035-03-13 14:50:17.001000+00:00,782
2035-03-13 14:50:18+00:00,598
2035-03-13 14:51:52+00:00,689
2035-03-13 14:51:54+00:00,658
2035-03-13 14:51:55.001000+00:00,710
2035-03-13 14:51:56.002000+00:00,677
2035-03-13 14:51:56.003000+00:00,707
2035-03-13 14:51:57.001000+00:00,700
2035-03-13 14:51:58.002000+00:00,686
2035-03-13 14:51:58.003000+00:00,646
2035-03-13 14:51:59+00:00,644
2035-03-13 14:52:00.001000+00:00,640
2035-03-13 14:52:00.002000+00:00,638
2035-03-13 14:52:01.001000+00:00,637
2035-03-13 14:52:01.002000+00:00,634
2035-03-13 14:52:02.001000+00:00,623
2035-03-13 14:52:03.002000+00:00,635
2035-03-13 14:52:03.003000+00:00,631
2035-03-13 14:52:04+00:00,636
2035-03-13 14:52:05.001000+00:00,653
2035-03-13 14:52:05.002000+00:00,657
2035-03-13 14:52:07.002000+00:00,1407
2035-03-13 14:52:07.003000+00:00,749
2035-03-13 14:52:08.001000+00:00,771
2035-03-13 14:52:09+00:00,758
2035-03-13 14:52:10+00:00,741
2035-03-13 14:52:11.001000+00:00,792
2035-03-13 14:52:11.002000+00:00,778
2035-03-13 14:52:12.001000+00:00,757
2035-03-13 14:52:13.001000+00:00,745
2035-03-13 14:52:14+00:00,743
2035-03-13 14:52:14.001000+00:00,779
2035-03-13 14:52:15.001000+00:00,816
2035-03-13 14:52:16.001000+00:00,813
2035-03-13 14:52:17.002000+00:00,764
2035-03-13 14:52:17.003000+00:00,745
2035-03-13 14:52:18.001000+00:00,767
2035-03-13 14:52:19+00:00,823
2035-03-13 14:52:20+00:00,835
2035-03-13 14:52:21.002000+00:00,787
2035-03-13 14:52:21.003000+00:00,795
2035-03-13 14:52:22+00:00,793
2035-03-13 14:52:23+00:00,820
2035-03-13 14:52:24+00:00,748
2035-03-13 14:52:25.001000+00:00,796
2035-03-13 14:52:28+00:00,626
2035-03-13 14:52:30.001000+00:00,705
2035-03-13 14:52:31.002000+00:00,702
2035-03-13 14:52:32.001000+00:00,697
2035-03-13 14:52:38.001000+00:00,726
2035-03-13 14:52:38.002000+00:00,789
2035-03-13 14:52:39+00:00,799
2035-03-13 14:52:40.001000+00:00,757
2035-03-13 14:52:41.001000+00:00,724
2035-03-13 14:52:42+00:00,747
2035-03-13 14:52:42.001000+00:00,776
2035-03-13 14:52:43.002000+00:00,818
2035-03-13 14:52:44+00:00,781
2035-03-13 14:52:45.001000+00:00,798
2035-03-13 14:52:46+00:00,874
2035-03-13 14:52:46.001000+00:00,856
2035-03-13 14:52:47+00:00,864
2035-03-13 14:53:01.001000+00:00,728
2035-03-13 14:53:02+00:00,637
2035-03-13 14:53:03.002000+00:00,759
2035-03-13 14:53:03.003000+00:00,702
2035-03-13 14:53:04+00:00,766
2035-03-13 14:53:07+00:00,1105
2035-03-13 14:53:09+00:00,636
2035-03-13 14:53:10.001000+00:00,749
2035-03-13 14:53:20+00:00,1034
2035-03-13 14:53:21+00:00,627
2035-03-13 14:53:22.001000+00:00,703
2035-03-13 14:53:22.002000+00:00,662
2035-03-13 14:55:56+00:00,534
2035-03-13 14:56:19+00:00,529
2035-03-13 14:56:20+00:00,533
2035-03-13 14:56:26+00:00,533
2035-03-13 14:56:38+00:00,529
2035-03-13 14:57:16+00:00,662
2035-03-13 14:57:16.001000+00:00,530
2035-03-13 14:57:25+00:00,808
2035-03-13 14:57:48+00:00,1521
2035-03-13 14:58:07+00:00,655
2035-03-13 14:58:11+00:00,685
2035-03-13 14:58:36+00:00,661
2035-03-13 14:58:37+00:00,542
2035-03-13 14:58:38+00:00,810
2035-03-13 14:58:41+00:00,523
2035-03-13 14:58:43+00:00,507
2035-03-13 14:58:47+00:00,533
2035-03-13 14:58:48+00:00,592
2035-03-13 14:58:55+00:00,1285
2035-03-13 14:59:07+00:00,728
2035-03-13 14:59:19+00:00,506
2035-03-13 14:59:19.001000+00:00,559
2035-03-13 14:59:24+00:00,532
2035-03-13 14:59:25+00:00,1592
2035-03-13 14:59:26+00:00,528
2035-03-13 14:59:29+00:00,1159
2035-03-13 14:59:34+00:00,512
2035-03-13 14:59:35.003000+00:00,534
2035-03-13 14:59:35.004000+00:00,529
2035-03-13 14:59:36.001000+00:00,530
2035-03-13 14:59:37+00:00,1657
2035-03-13 14:59:54+00:00,526
2035-03-13 14:59:58+00:00,1002
2035-03-13 14:59:59+00:00,750
2035-03-13 15:00:00+00:00,760
2035-03-13 15:00:10+00:00,536
2035-03-13 15:00:12+00:00,973
2035-03-13 15:00:14+00:00,532
2035-03-13 15:00:57+00:00,748
2035-03-13 15:01:19+00:00,830
2035-03-13 15:03:02+00:00,857
2035-03-13 15:03:04+00:00,984
2035-03-13 15:03:43+00:00,1289
2035-03-13 15:04:51+00:00,1334
2035-03-13 15:04:59+00:00,1405
2035-03-13 15:04:59.001000+00:00,786
2035-03-13 15:05:01+00:00,1449
2035-03-13 15:05:02.001000+00:00,1437
2035-03-13 15:05:04+00:00,1505
2035-03-13 15:05:06.001000+00:00,1414
2035-03-13 15:05:07+00:00,1423
2035-03-13 15:05:12+00:00,1196
2035-03-13 15:05:16.001000+00:00,722
2035-03-13 15:05:16.002000+00:00,610
2035-03-13 15:05:17+00:00,837
2035-03-13 15:05:22+00:00,1340
2035-03-13 15:05:40+00:00,683
2035-03-13 15:05:41+00:00,1080
2035-03-13 15:05:48+00:00,736
2035-03-13 15:05:49+00:00,747
2035-03-13 15:05:50+00:00,760
2035-03-13 15:05:51.001000+00:00,780
2035-03-13 15:05:52.002000+00:00,789
2035-03-13 15:05:52.003000+00:00,788
2035-03-13 15:05:53.001000+00:00,767
2035-03-13 15:05:54+00:00,743
2035-03-13 15:05:55+00:00,790
2035-03-13 15:05:55.001000+00:00,774
2035-03-13 15:05:56.001000+00:00,766
2035-03-13 15:05:57.002000+00:00,797
2035-03-13 15:05:58.001000+00:00,797
2035-03-13 15:05:59+00:00,765
2035-03-13 15:05:59.001000+00:00,736
2035-03-13 15:06:00+00:00,728
2035-03-13 15:06:01+00:00,743
2035-03-13 15:06:01.001000+00:00,702
2035-03-13 15:06:02.001000+00:00,694
2035-03-13 15:06:03.002000+00:00,708
2035-03-13 15:06:04+00:00,713
2035-03-13 15:06:04.001000+00:00,720
2035-03-13 15:06:05+00:00,751
2035-03-13 15:06:06.001000+00:00,758
2035-03-13 15:06:07.001000+00:00,1001
2035-03-13 15:06:08.002000+00:00,1292
2035-03-13 15:06:09+00:00,753
2035-03-13 15:06:10+00:00,726
2035-03-13 15:06:10.001000+00:00,717
2035-03-13 15:06:11.001000+00:00,722
2035-03-13 15:06:12+00:00,732
2035-03-13 15:06:12.001000+00:00,734
2035-03-13 15:06:13+00:00,716
2035-03-13 15:06:14+00:00,732
