date,cz,pcz,pczt,czh,cc,quality,stress_skin,stress_skin_quality
2035-03-02 16:00:42+00:00,0,0,255,0,0,0,0,4
2035-03-02 16:01:42+00:00,0,0,255,0,0,0,0,4
2035-03-02 16:02:42+00:00,0,0,255,0,0,0,0,4
2035-03-02 16:03:42+00:00,0,0,255,0,0,0,0,4
2035-03-02 16:04:41+00:00,0,0,255,0,0,0,0,4
2035-03-02 16:05:42+00:00,0,0,255,0,0,0,0,4
2035-03-02 16:06:42+00:00,0,0,255,0,0,0,21,4
2035-03-02 16:07:42+00:00,0,0,255,0,0,0,17,4
2035-03-02 16:08:41+00:00,0,0,255,0,0,0,7,4
2035-03-02 16:09:42+00:00,0,0,255,0,0,0,33,4
2035-03-02 16:10:42+00:00,0,0,255,0,0,0,25,4
2035-03-02 16:11:42+00:00,0,0,255,0,0,0,86,4
2035-03-02 16:12:42+00:00,0,0,255,0,1,0,92,4
2035-03-02 16:13:42+00:00,0,0,255,0,2,0,122,4
2035-03-02 16:14:42+00:00,0,0,255,0,4,0,138,4
2035-03-02 16:15:42+00:00,0,0,255,0,7,0,174,4
2035-03-02 16:16:42+00:00,0,0,255,0,11,0,190,4
2035-03-02 16:17:42+00:00,0,0,255,0,18,0,77,4
2035-03-02 16:18:42+00:00,0,0,255,0,26,0,66,4
2035-03-02 16:19:42+00:00,0,0,255,0,37,0,35,4
2035-03-02 16:20:42+00:00,0,0,255,0,52,0,0,4
2035-03-02 16:21:41+00:00,0,0,255,0,70,0,9,4
2035-03-02 16:22:42+00:00,0,0,255,0,91,0,8,4
2035-03-02 16:23:42+00:00,0,0,255,0,116,0,21,4
2035-03-02 16:24:42+00:00,0,0,255,0,145,0,35,4
2035-03-02 16:25:42+00:00,0,0,255,0,176,0,2,4
2035-03-02 16:26:42+00:00,0,0,255,0,210,0,1,4
2035-03-02 16:27:42+00:00,0,0,255,0,246,0,364,4
2035-03-02 16:28:42+00:00,0,0,255,0,283,0,561,4
2035-03-02 16:29:42+00:00,0,0,255,0,321,0,262,4
2035-03-02 16:30:41+00:00,0,0,255,0,360,1,118,4
2035-03-02 16:31:42+00:00,0,0,255,0,401,1,47,4
2035-03-02 16:32:42+00:00,0,0,255,0,442,1,7,4
2035-03-02 16:33:41+00:00,0,0,255,0,485,1,22,4
2035-03-02 16:34:42+00:00,0,0,255,0,528,1,77,4
2035-03-02 16:35:42+00:00,0,0,255,0,573,1,38,4
2035-03-02 16:36:42+00:00,0,0,255,0,618,1,9,4
2035-03-02 16:37:42+00:00,0,0,255,0,664,1,13,4
2035-03-02 16:38:42+00:00,0,0,255,0,710,1,56,4
2035-03-02 16:39:42+00:00,0,0,255,0,756,1,74,4
2035-03-02 16:40:42+00:00,0,0,255,0,802,2,24,4
2035-03-02 16:41:41+00:00,0,0,255,0,847,2,1,4
2035-03-02 16:42:42+00:00,0,0,255,0,891,2,1,4
2035-03-02 16:43:42+00:00,0,0,255,0,933,2,161,4
2035-03-02 16:44:42+00:00,0,0,255,0,973,2,258,4
2035-03-02 16:45:42+00:00,0,0,255,0,1010,2,459,4
2035-03-02 16:46:42+00:00,0,0,255,0,1046,2,470,4
2035-03-02 16:47:42+00:00,0,0,255,0,1080,2,244,4
2035-03-02 16:48:42+00:00,2,2,255,2,1113,2,102,4
2035-03-02 16:49:42+00:00,2,2,255,2,1145,2,57,4
2035-03-02 16:50:42+00:00,2,2,255,2,1179,2,98,4
2035-03-02 16:51:42+00:00,2,2,255,2,1214,2,88,4
2035-03-02 16:52:42+00:00,2,2,255,2,1251,2,24,4
2035-03-02 16:53:41+00:00,2,1,59,1,1291,3,0,4
2035-03-02 16:54:42+00:00,0,0,0,0,0,0,0,4
2035-03-02 16:55:42+00:00,2,1,58,1,1334,3,0,4
2035-03-02 16:56:42+00:00,2,1,57,1,1378,3,0,4
2035-03-02 16:57:42+00:00,2,1,57,1,1425,3,44,4
2035-03-02 16:58:41+00:00,2,1,56,1,1473,3,33,4
2035-03-02 16:59:41+00:00,2,1,56,1,1521,3,69,4
2035-03-02 17:00:41+00:00,2,1,56,1,1569,3,55,4
2035-03-02 17:01:42+00:00,2,1,55,1,1615,3,15,4
2035-03-02 17:02:42+00:00,2,1,55,1,1658,3,6,4
2035-03-02 17:03:42+00:00,2,1,54,1,1699,3,9,4
2035-03-02 17:04:42+00:00,2,1,53,1,1736,3,0,4
2035-03-02 17:05:42+00:00,2,1,52,1,1770,3,0,4
2035-03-02 17:06:42+00:00,2,1,51,1,1799,3,1,4
2035-03-02 17:07:41+00:00,2,1,50,1,1824,3,7,4
2035-03-02 17:08:42+00:00,2,1,49,1,1844,3,1,4
2035-03-02 17:09:42+00:00,2,1,50,1,1859,3,44,4
2035-03-02 17:10:42+00:00,2,1,49,1,1870,3,43,4
2035-03-02 17:11:41+00:00,2,1,49,1,1876,3,17,4
2035-03-02 17:12:42+00:00,2,1,49,1,1877,3,0,4
2035-03-02 17:13:42+00:00,2,1,49,1,1874,3,0,4
2035-03-02 17:14:42+00:00,2,1,49,1,1866,3,0,4
2035-03-02 17:16:02+00:00,2,1,49,1,1854,3,0,4
2035-03-02 17:17:01+00:00,2,1,49,1,1839,3,0,4
2035-03-02 17:18:02+00:00,2,1,49,1,1819,3,0,4
2035-03-02 17:19:01+00:00,2,1,49,1,1795,3,0,4
2035-03-02 17:20:02+00:00,2,1,49,1,1769,3,0,4
2035-03-02 17:21:02+00:00,2,1,49,1,1739,3,0,4
2035-03-02 17:22:02+00:00,2,1,49,1,1707,3,0,4
2035-03-02 17:23:01+00:00,2,1,49,1,1673,3,0,4
2035-03-02 17:24:01+00:00,2,1,50,1,1638,3,0,4
2035-03-02 17:25:02+00:00,2,1,50,1,1601,3,0,4
2035-03-02 17:26:02+00:00,2,1,50,1,1564,3,0,4
2035-03-02 17:27:01+00:00,0,0,255,0,0,0,0,4
2035-03-02 17:28:02+00:00,0,0,255,0,0,0,0,4
2035-03-02 17:29:02+00:00,0,0,255,0,0,0,0,4
