date,rr
2035-03-02 16:00:15+00:00,1641
2035-03-02 16:00:26+00:00,1657
2035-03-02 16:00:28+00:00,1764
2035-03-02 16:00:39+00:00,625
2035-03-02 16:00:43+00:00,550
2035-03-02 16:01:10+00:00,1371
2035-03-02 16:03:28+00:00,671
2035-03-02 16:03:29+00:00,623
2035-03-02 16:03:29.001000+00:00,683
2035-03-02 16:03:30.001000+00:00,636
2035-03-02 16:03:31.001000+00:00,632
2035-03-02 16:03:31.002000+00:00,673
2035-03-02 16:03:32+00:00,674
2035-03-02 16:03:33+00:00,734
2035-03-02 16:03:34.002000+00:00,781
2035-03-02 16:03:38.002000+00:00,660
2035-03-02 16:03:43.001000+00:00,646
2035-03-02 16:03:44.001000+00:00,722
2035-03-02 16:03:45.001000+00:00,1482
2035-03-02 16:03:47+00:00,777
2035-03-02 16:03:50+00:00,740
2035-03-02 16:03:50.001000+00:00,763
2035-03-02 16:03:51.002000+00:00,781
2035-03-02 16:03:52+00:00,759
2035-03-02 16:03:53+00:00,725
2035-03-02 16:04:28+00:00,624
2035-03-02 16:04:29+00:00,656
2035-03-02 16:04:29.001000+00:00,651
2035-03-02 16:04:30+00:00,627
2035-03-02 16:04:41.001000+00:00,746
2035-03-02 16:04:42+00:00,734
2035-03-02 16:04:43.002000+00:00,709
2035-03-02 16:04:44.001000+00:00,636
2035-03-02 16:04:44.002000+00:00,701
2035-03-02 16:04:46.001000+00:00,657
2035-03-02 16:04:47+00:00,661
2035-03-02 16:04:47.001000+00:00,674
2035-03-02 16:04:48+00:00,704
2035-03-02 16:04:49+00:00,665
2035-03-02 16:04:49.001000+00:00,647
2035-03-02 16:04:50.002000+00:00,638
2035-03-02 16:04:51.002000+00:00,659
2035-03-02 16:04:51.003000+00:00,638
2035-03-02 16:05:09.002000+00:00,774
2035-03-02 16:05:10.001000+00:00,750
2035-03-02 16:05:11.001000+00:00,699
2035-03-02 16:05:12+00:00,708
2035-03-02 16:05:12.001000+00:00,661
2035-03-02 16:05:13+00:00,668
2035-03-02 16:05:14.001000+00:00,673
2035-03-02 16:05:14.002000+00:00,652
2035-03-02 16:05:15+00:00,696
2035-03-02 16:05:16.002000+00:00,720
2035-03-02 16:05:24.001000+00:00,691
2035-03-02 16:05:25.001000+00:00,727
2035-03-02 16:05:33.002000+00:00,770
2035-03-02 16:05:33.003000+00:00,721
2035-03-02 16:05:35.002000+00:00,1373
2035-03-02 16:05:35.003000+00:00,684
2035-03-02 16:05:37+00:00,639
2035-03-02 16:05:38+00:00,648
2035-03-02 16:05:38.001000+00:00,724
2035-03-02 16:05:40.002000+00:00,673
2035-03-02 16:05:42+00:00,649
2035-03-02 16:05:42.001000+00:00,646
2035-03-02 16:05:43+00:00,635
2035-03-02 16:05:44+00:00,666
2035-03-02 16:05:44.001000+00:00,698
2035-03-02 16:05:45.002000+00:00,713
2035-03-02 16:05:46.001000+00:00,746
2035-03-02 16:05:47+00:00,761
2035-03-02 16:05:47.001000+00:00,756
2035-03-02 16:05:52+00:00,693
2035-03-02 16:05:53+00:00,719
2035-03-02 16:05:54.001000+00:00,749
2035-03-02 16:05:55.002000+00:00,769
2035-03-02 16:05:55.003000+00:00,771
2035-03-02 16:05:56.001000+00:00,749
2035-03-02 16:05:57.001000+00:00,770
2035-03-02 16:05:58+00:00,776
2035-03-02 16:05:58.001000+00:00,706
2035-03-02 16:05:59.001000+00:00,719
2035-03-02 16:06:00.001000+00:00,698
2035-03-02 16:06:00.002000+00:00,679
2035-03-02 16:06:01+00:00,642
2035-03-02 16:06:02+00:00,675
2035-03-02 16:06:02.001000+00:00,645
2035-03-02 16:06:03+00:00,722
2035-03-02 16:06:15.001000+00:00,1066
2035-03-02 16:06:16.002000+00:00,716
2035-03-02 16:06:17.001000+00:00,662
2035-03-02 16:06:28+00:00,725
2035-03-02 16:06:29.001000+00:00,708
2035-03-02 16:06:30.001000+00:00,689
2035-03-02 16:06:30.002000+00:00,711
2035-03-02 16:06:45.002000+00:00,676
2035-03-02 16:06:46.001000+00:00,668
2035-03-02 16:06:46.002000+00:00,647
