date,cz,pcz,pczt,czh,cc,quality,stress_skin,stress_skin_quality
2035-03-07 16:50:39+00:00,0,0,255,0,2,0,0,4
2035-03-07 17:11:12+00:00,0,0,255,0,0,0,0,4
2035-03-07 17:12:12+00:00,0,0,255,0,0,0,0,4
2035-03-07 17:13:12+00:00,0,0,255,0,0,0,18,4
2035-03-07 17:14:13+00:00,0,0,255,0,0,0,128,4
2035-03-07 17:15:13+00:00,0,0,255,0,0,0,107,4
2035-03-07 17:16:13+00:00,0,0,255,0,0,0,39,4
2035-03-07 17:17:12+00:00,0,0,255,0,0,0,56,4
2035-03-07 17:18:12+00:00,0,0,255,0,1,0,43,4
2035-03-07 17:19:13+00:00,0,0,255,0,3,0,29,4
2035-03-07 17:20:13+00:00,0,0,255,0,6,0,11,4
2035-03-07 17:21:12+00:00,0,0,255,0,10,0,15,4
2035-03-07 17:22:13+00:00,0,0,255,0,16,0,11,4
2035-03-07 17:23:13+00:00,0,0,255,0,23,0,10,4
2035-03-07 17:24:13+00:00,0,0,255,0,32,0,57,4
2035-03-07 17:25:12+00:00,0,0,255,0,43,0,41,4
2035-03-07 17:26:12+00:00,0,0,255,0,55,0,7,4
2035-03-07 17:27:12+00:00,0,0,255,0,70,0,4,4
2035-03-07 17:28:12+00:00,0,0,255,0,85,0,11,4
2035-03-07 17:29:12+00:00,0,0,255,0,102,0,39,4
2035-03-07 17:30:12+00:00,0,0,255,0,121,0,35,4
2035-03-07 17:31:12+00:00,0,0,255,0,140,0,29,4
2035-03-07 17:32:12+00:00,0,0,255,0,160,0,8,4
2035-03-07 17:33:12+00:00,0,0,255,0,181,0,18,4
2035-03-07 17:34:13+00:00,0,0,255,0,202,0,73,4
2035-03-07 17:35:13+00:00,0,0,255,0,223,0,41,4
2035-03-07 17:36:13+00:00,0,0,255,0,245,0,1,4
2035-03-07 17:37:13+00:00,0,0,255,0,267,0,0,4
2035-03-07 17:38:13+00:00,0,0,255,0,289,1,0,4
2035-03-07 17:39:13+00:00,0,0,255,0,310,1,0,4
2035-03-07 17:40:13+00:00,0,0,255,0,332,1,9,4
2035-03-07 17:41:13+00:00,0,0,255,0,353,1,11,4
2035-03-07 17:42:13+00:00,0,0,255,0,374,1,0,4
2035-03-07 17:43:13+00:00,0,0,255,0,394,1,0,4
2035-03-07 17:44:13+00:00,0,0,255,0,413,1,0,4
2035-03-07 17:45:13+00:00,0,0,255,0,431,1,0,4
2035-03-07 17:46:13+00:00,0,0,255,0,447,1,0,4
2035-03-07 17:47:13+00:00,0,0,255,0,463,2,1,4
2035-03-07 17:48:13+00:00,0,0,255,0,476,2,55,4
2035-03-07 17:49:13+00:00,0,0,255,0,488,2,461,4
2035-03-07 17:50:13+00:00,0,0,255,0,498,2,266,4
2035-03-07 17:51:13+00:00,0,0,255,0,507,2,112,4
2035-03-07 17:52:13+00:00,0,0,255,0,514,2,38,4
2035-03-07 17:53:13+00:00,2,1,50,1,521,2,0,4
2035-03-07 17:54:13+00:00,2,1,49,1,528,2,0,4
2035-03-07 17:55:13+00:00,2,1,48,1,534,2,0,4
2035-03-07 17:56:13+00:00,2,1,47,1,541,3,0,4
2035-03-07 17:57:13+00:00,2,1,46,1,548,3,0,4
2035-03-07 17:58:13+00:00,2,1,45,1,555,3,0,4
2035-03-07 17:59:13+00:00,2,1,44,1,563,3,0,4
2035-03-07 18:00:13+00:00,2,1,43,1,571,3,0,4
2035-03-07 18:01:13+00:00,2,1,42,1,579,3,0,4
2035-03-07 18:02:13+00:00,2,1,41,1,587,3,0,4
2035-03-07 18:03:13+00:00,2,1,40,1,595,3,0,4
2035-03-07 18:04:13+00:00,2,1,39,1,602,3,0,4
2035-03-07 18:05:13+00:00,2,1,38,1,608,3,0,4
2035-03-07 18:06:13+00:00,2,1,37,1,613,3,0,4
2035-03-07 18:07:13+00:00,2,1,36,1,616,3,0,4
2035-03-07 18:08:13+00:00,2,1,35,1,618,3,0,4
2035-03-07 18:09:13+00:00,2,1,34,1,619,3,0,4
2035-03-07 18:10:13+00:00,2,1,33,1,618,3,0,4
2035-03-07 18:11:13+00:00,2,1,32,1,615,3,0,4
2035-03-07 18:12:13+00:00,2,1,31,1,611,3,3,4
2035-03-07 18:13:13+00:00,2,1,31,1,605,3,7,4
2035-03-07 18:14:13+00:00,2,1,30,1,598,3,0,4
2035-03-07 18:15:13+00:00,2,1,29,1,590,3,0,4
2035-03-07 18:16:12+00:00,2,1,28,1,580,3,0,4
2035-03-07 18:17:12+00:00,2,1,27,1,569,3,0,4
2035-03-07 18:18:12+00:00,2,1,26,1,558,3,0,4
2035-03-07 18:19:12+00:00,2,1,25,1,545,3,0,4
