date,rr
2035-03-07 16:50:20+00:00,530
2035-03-07 16:50:21+00:00,530
2035-03-07 16:50:21.001000+00:00,533
2035-03-07 16:50:22+00:00,1062
2035-03-07 16:50:23+00:00,531
2035-03-07 16:50:28+00:00,529
2035-03-07 16:50:28.001000+00:00,595
2035-03-07 16:50:32+00:00,536
2035-03-07 16:51:04+00:00,1723
2035-03-07 16:51:30+00:00,521
2035-03-07 16:51:34+00:00,530
2035-03-07 16:51:35+00:00,1064
2035-03-07 16:51:35.001000+00:00,526
2035-03-07 17:11:58+00:00,855
2035-03-07 17:11:59+00:00,917
2035-03-07 17:12:01+00:00,1494
2035-03-07 17:12:01.001000+00:00,746
2035-03-07 17:12:09+00:00,905
2035-03-07 17:12:10+00:00,1344
2035-03-07 17:12:14+00:00,1549
2035-03-07 17:12:36+00:00,764
2035-03-07 17:12:37+00:00,1147
2035-03-07 17:12:51.001000+00:00,719
2035-03-07 17:12:52+00:00,701
2035-03-07 17:12:52.001000+00:00,699
2035-03-07 17:12:53+00:00,743
2035-03-07 17:12:54+00:00,703
2035-03-07 17:12:55+00:00,722
2035-03-07 17:12:55.001000+00:00,693
2035-03-07 17:12:56.001000+00:00,699
2035-03-07 17:12:57+00:00,666
2035-03-07 17:13:01+00:00,677
2035-03-07 17:13:14.001000+00:00,623
2035-03-07 17:14:38+00:00,842
2035-03-07 17:14:39+00:00,822
2035-03-07 17:14:40.002000+00:00,803
2035-03-07 17:14:41.001000+00:00,818
2035-03-07 17:14:41.002000+00:00,757
2035-03-07 17:14:42.002000+00:00,735
2035-03-07 17:14:43+00:00,704
2035-03-07 17:14:44+00:00,702
2035-03-07 17:14:44.001000+00:00,714
2035-03-07 17:14:45.001000+00:00,737
2035-03-07 17:14:46.001000+00:00,799
2035-03-07 17:14:47+00:00,797
2035-03-07 17:14:47.001000+00:00,833
2035-03-07 17:14:48+00:00,864
2035-03-07 17:14:49+00:00,906
2035-03-07 17:14:50+00:00,714
2035-03-07 17:14:51+00:00,778
2035-03-07 17:15:05+00:00,664
2035-03-07 17:15:07.002000+00:00,686
2035-03-07 17:15:08+00:00,750
2035-03-07 17:15:08.001000+00:00,670
2035-03-07 17:15:09+00:00,737
2035-03-07 17:15:16.001000+00:00,920
2035-03-07 17:15:16.002000+00:00,789
2035-03-07 17:15:17.001000+00:00,868
2035-03-07 17:15:18+00:00,922
