date,cz,pcz,pczt,czh,cc,quality,stress_skin,stress_skin_quality
2035-03-14 20:50:14+00:00,2,1,53,1,657,4,1,4
2035-03-14 20:51:14+00:00,2,1,53,1,704,3,31,4
2035-03-14 20:52:14+00:00,2,1,52,1,750,3,30,4
2035-03-14 20:53:14+00:00,2,1,54,1,794,3,75,4
2035-03-14 20:54:14+00:00,2,1,53,1,837,3,88,4
2035-03-14 20:55:14+00:00,2,1,52,1,878,3,25,4
2035-03-14 20:56:20+00:00,2,1,51,1,917,3,0,4
2035-03-14 20:57:20+00:00,2,1,50,1,953,3,0,4
2035-03-14 20:58:20+00:00,2,1,51,1,987,3,55,4
2035-03-14 20:59:20+00:00,2,1,51,1,1018,3,90,4
2035-03-14 21:00:20+00:00,2,1,53,1,1046,3,98,4
2035-03-14 21:01:20+00:00,2,1,54,1,1071,3,101,4
2035-03-14 21:02:20+00:00,2,1,56,1,1093,3,88,4
2035-03-14 21:03:20+00:00,2,1,55,1,1112,3,36,4
2035-03-14 21:04:20+00:00,2,1,54,1,1129,3,19,4
2035-03-14 21:05:20+00:00,2,1,54,1,1143,3,14,4
2035-03-14 21:06:20+00:00,2,1,53,1,1156,3,11,4
2035-03-14 21:07:20+00:00,2,1,52,1,1167,3,10,4
2035-03-14 21:08:20+00:00,2,1,52,1,1178,3,4,4
2035-03-14 21:09:20+00:00,2,1,51,1,1187,3,3,4
2035-03-14 21:10:20+00:00,2,1,50,1,1195,3,3,4
2035-03-14 21:11:20+00:00,2,1,49,1,1201,3,2,4
2035-03-14 21:12:20+00:00,2,1,48,1,1206,3,3,4
2035-03-14 21:13:20+00:00,2,1,47,1,1210,3,14,4
2035-03-14 21:14:20+00:00,2,1,47,1,1213,3,24,4
2035-03-14 21:15:20+00:00,2,1,47,1,1213,3,20,4
2035-03-14 21:16:20+00:00,2,1,47,1,1212,3,11,4
2035-03-14 21:17:20+00:00,2,1,46,1,1210,3,17,4
2035-03-14 21:18:20+00:00,2,1,45,1,1205,3,1,4
2035-03-14 21:19:20+00:00,2,1,44,1,1198,3,1,4
