date,rr
2035-03-14 20:50:00+00:00,934
2035-03-14 20:50:01+00:00,795
2035-03-14 20:50:58.001000+00:00,730
2035-03-14 20:51:00+00:00,1560
2035-03-14 20:51:00.001000+00:00,781
2035-03-14 20:51:02+00:00,761
2035-03-14 20:51:03.001000+00:00,757
2035-03-14 20:51:04+00:00,835
2035-03-14 20:51:05+00:00,877
2035-03-14 20:51:41+00:00,876
2035-03-14 20:52:15+00:00,732
2035-03-14 20:52:16.001000+00:00,706
2035-03-14 20:52:17.001000+00:00,770
2035-03-14 20:52:17.002000+00:00,747
2035-03-14 20:52:18.002000+00:00,689
2035-03-14 20:52:19+00:00,701
2035-03-14 20:52:19.001000+00:00,693
2035-03-14 20:52:20+00:00,721
2035-03-14 20:52:21.001000+00:00,710
2035-03-14 20:52:22+00:00,736
2035-03-14 20:52:22.001000+00:00,740
2035-03-14 20:52:23+00:00,744
2035-03-14 20:53:42+00:00,604
2035-03-14 20:53:43+00:00,1347
2035-03-14 20:53:47+00:00,534
2035-03-14 20:53:50+00:00,1624
2035-03-14 20:53:52+00:00,550
2035-03-14 20:54:14+00:00,600
2035-03-14 20:54:16+00:00,582
2035-03-14 20:54:17+00:00,1184
2035-03-14 20:54:31+00:00,1657
2035-03-14 20:54:32+00:00,532
2035-03-14 20:54:32.001000+00:00,529
2035-03-14 20:54:34+00:00,531
2035-03-14 20:54:34.001000+00:00,534
2035-03-14 20:54:35+00:00,527
2035-03-14 20:54:39+00:00,536
2035-03-14 20:54:44+00:00,526
2035-03-14 20:55:05+00:00,530
2035-03-14 20:55:05.001000+00:00,527
2035-03-14 20:55:07+00:00,1597
2035-03-14 20:55:07.001000+00:00,528
2035-03-14 20:55:08+00:00,501
2035-03-14 20:55:10+00:00,915
2035-03-14 20:55:11.001000+00:00,521
2035-03-14 20:55:14+00:00,505
2035-03-14 20:55:19+00:00,531
2035-03-14 20:55:23+00:00,1593
2035-03-14 20:55:23.001000+00:00,529
2035-03-14 20:55:24+00:00,509
2035-03-14 20:55:24.001000+00:00,550
2035-03-14 20:55:25+00:00,526
2035-03-14 20:55:25.001000+00:00,541
2035-03-14 20:55:26+00:00,528
2035-03-14 20:55:26.001000+00:00,534
2035-03-14 20:55:27+00:00,528
2035-03-14 20:55:36+00:00,1257
2035-03-14 20:55:52+00:00,1509
2035-03-14 20:55:54+00:00,1203
2035-03-14 20:55:55+00:00,1246
2035-03-14 20:56:00+00:00,520
2035-03-14 20:56:08+00:00,1217
2035-03-14 20:56:39+00:00,1131
2035-03-14 20:56:41+00:00,917
2035-03-14 20:56:42+00:00,836
2035-03-14 20:57:25+00:00,859
2035-03-14 20:57:31+00:00,1044
2035-03-14 20:57:33+00:00,1326
2035-03-14 20:57:34+00:00,1042
2035-03-14 20:57:35+00:00,880
2035-03-14 20:57:36+00:00,867
2035-03-14 20:57:37+00:00,860
2035-03-14 20:58:35.001000+00:00,855
2035-03-14 20:58:36+00:00,841
2035-03-14 20:58:37+00:00,825
2035-03-14 20:58:38+00:00,1764
2035-03-14 20:58:39.001000+00:00,838
2035-03-14 20:58:40+00:00,841
2035-03-14 20:58:44.001000+00:00,869
2035-03-14 20:58:45+00:00,867
2035-03-14 20:58:50.001000+00:00,833
2035-03-14 20:58:51+00:00,1036
2035-03-14 20:58:52.001000+00:00,901
2035-03-14 20:58:53+00:00,1029
2035-03-14 20:58:54.001000+00:00,1032
2035-03-14 20:58:55.001000+00:00,936
2035-03-14 20:58:56+00:00,913
2035-03-14 20:58:57+00:00,887
2035-03-14 20:58:58+00:00,833
2035-03-14 20:58:59+00:00,863
2035-03-14 20:58:59.001000+00:00,700
2035-03-14 20:59:00+00:00,757
2035-03-14 20:59:04+00:00,862
2035-03-14 20:59:05.001000+00:00,1501
2035-03-14 20:59:06.001000+00:00,1300
2035-03-14 20:59:06.002000+00:00,678
2035-03-14 20:59:08.001000+00:00,673
2035-03-14 20:59:09.002000+00:00,780
2035-03-14 20:59:09.003000+00:00,804
2035-03-14 20:59:10.001000+00:00,829
2035-03-14 20:59:11+00:00,861
2035-03-14 20:59:12.001000+00:00,905
2035-03-14 20:59:13.002000+00:00,880
2035-03-14 20:59:14+00:00,895
2035-03-14 20:59:15+00:00,833
2035-03-14 20:59:16+00:00,872
2035-03-14 20:59:16.001000+00:00,860
2035-03-14 20:59:17.001000+00:00,888
2035-03-14 20:59:18.001000+00:00,879
2035-03-14 20:59:19.001000+00:00,867
2035-03-14 20:59:20.002000+00:00,915
2035-03-14 20:59:21+00:00,770
2035-03-14 20:59:22.001000+00:00,1759
2035-03-14 20:59:23.001000+00:00,807
2035-03-14 20:59:24.001000+00:00,821
2035-03-14 20:59:25.002000+00:00,835
2035-03-14 20:59:26+00:00,842
2035-03-14 20:59:27.001000+00:00,825
2035-03-14 20:59:27.002000+00:00,872
2035-03-14 20:59:28.002000+00:00,827
2035-03-14 20:59:29.001000+00:00,835
2035-03-14 20:59:30.001000+00:00,849
2035-03-14 20:59:31+00:00,841
2035-03-14 20:59:32+00:00,853
2035-03-14 20:59:32.001000+00:00,753
2035-03-14 20:59:33.001000+00:00,755
2035-03-14 20:59:34.001000+00:00,908
2035-03-14 20:59:35+00:00,711
2035-03-14 20:59:36+00:00,817
2035-03-14 20:59:36.001000+00:00,846
2035-03-14 20:59:37.001000+00:00,804
2035-03-14 20:59:38.001000+00:00,800
2035-03-14 20:59:39.002000+00:00,850
2035-03-14 20:59:40.001000+00:00,855
2035-03-14 20:59:41+00:00,855
2035-03-14 20:59:41.001000+00:00,806
2035-03-14 20:59:42.001000+00:00,750
2035-03-14 20:59:43.002000+00:00,785
2035-03-14 20:59:44.001000+00:00,863
2035-03-14 20:59:45.001000+00:00,875
2035-03-14 20:59:46+00:00,891
2035-03-14 20:59:47+00:00,890
2035-03-14 20:59:47.001000+00:00,861
2035-03-14 20:59:48+00:00,807
2035-03-14 20:59:49+00:00,825
2035-03-14 21:00:10.001000+00:00,725
2035-03-14 21:00:11+00:00,707
2035-03-14 21:00:15.001000+00:00,915
2035-03-14 21:00:21+00:00,990
2035-03-14 21:00:22.001000+00:00,766
2035-03-14 21:00:24+00:00,1733
2035-03-14 21:00:24.001000+00:00,713
2035-03-14 21:00:25+00:00,760
2035-03-14 21:00:26+00:00,1670
2035-03-14 21:00:27+00:00,776
2035-03-14 21:00:27.001000+00:00,879
2035-03-14 21:00:31+00:00,983
2035-03-14 21:00:32.001000+00:00,1065
2035-03-14 21:00:38+00:00,903
2035-03-14 21:00:38.001000+00:00,526
2035-03-14 21:00:39.003000+00:00,910
2035-03-14 21:00:40+00:00,843
2035-03-14 21:00:41+00:00,728
2035-03-14 21:00:42+00:00,1216
2035-03-14 21:00:43.001000+00:00,768
2035-03-14 21:00:43.002000+00:00,848
2035-03-14 21:00:44+00:00,1139
2035-03-14 21:00:45+00:00,924
2035-03-14 21:00:47+00:00,1210
2035-03-14 21:01:39.001000+00:00,800
2035-03-14 21:01:41+00:00,820
2035-03-14 21:01:42+00:00,942
2035-03-14 21:01:43+00:00,880
2035-03-14 21:01:44+00:00,881
2035-03-14 21:01:45+00:00,806
2035-03-14 21:01:54+00:00,848
2035-03-14 21:01:55+00:00,817
2035-03-14 21:02:05+00:00,1041
2035-03-14 21:02:05.001000+00:00,707
2035-03-14 21:02:43.002000+00:00,841
2035-03-14 21:02:44+00:00,971
2035-03-14 21:02:45+00:00,895
2035-03-14 21:02:45.001000+00:00,851
2035-03-14 21:02:46+00:00,847
2035-03-14 21:02:47.001000+00:00,910
2035-03-14 21:02:48.001000+00:00,986
2035-03-14 21:02:49.001000+00:00,976
2035-03-14 21:02:50.002000+00:00,931
2035-03-14 21:02:51+00:00,818
2035-03-14 21:02:52+00:00,1079
2035-03-14 21:02:53.001000+00:00,892
2035-03-14 21:02:54.002000+00:00,918
2035-03-14 21:02:55.001000+00:00,963
2035-03-14 21:02:56+00:00,945
2035-03-14 21:02:57.001000+00:00,981
2035-03-14 21:02:58.001000+00:00,994
2035-03-14 21:02:59.002000+00:00,965
2035-03-14 21:03:00+00:00,1005
2035-03-14 21:03:01+00:00,983
2035-03-14 21:03:02.001000+00:00,929
2035-03-14 21:03:02.002000+00:00,911
2035-03-14 21:03:03.001000+00:00,922
2035-03-14 21:03:04.002000+00:00,870
2035-03-14 21:03:05+00:00,835
2035-03-14 21:03:06+00:00,778
2035-03-14 21:03:07+00:00,819
2035-03-14 21:03:07.001000+00:00,800
2035-03-14 21:03:08+00:00,761
2035-03-14 21:03:09.002000+00:00,834
2035-03-14 21:03:10+00:00,910
2035-03-14 21:03:11+00:00,929
2035-03-14 21:03:12.002000+00:00,921
2035-03-14 21:03:13+00:00,927
2035-03-14 21:03:14.002000+00:00,922
2035-03-14 21:03:15+00:00,993
2035-03-14 21:03:16+00:00,933
2035-03-14 21:03:17.001000+00:00,967
2035-03-14 21:03:18.001000+00:00,982
2035-03-14 21:03:19.001000+00:00,978
2035-03-14 21:03:20+00:00,1022
2035-03-14 21:03:21+00:00,969
2035-03-14 21:03:22.001000+00:00,995
2035-03-14 21:03:23.001000+00:00,1012
2035-03-14 21:03:24.001000+00:00,988
2035-03-14 21:03:25+00:00,986
2035-03-14 21:03:25.001000+00:00,971
2035-03-14 21:03:26+00:00,933
2035-03-14 21:03:27.001000+00:00,977
