date,cz,pcz,pczt,czh,cc,quality,stress_skin,stress_skin_quality
2035-02-28 19:50:37+00:00,0,0,255,0,0,0,0,4
2035-02-28 19:51:37+00:00,0,0,255,0,0,0,0,4
2035-02-28 19:52:37+00:00,0,0,255,0,0,0,0,4
2035-02-28 19:53:37+00:00,0,0,255,0,0,0,0,4
2035-02-28 19:54:37+00:00,0,0,255,0,0,0,0,4
2035-02-28 19:55:37+00:00,0,0,255,0,0,0,0,4
2035-02-28 19:56:37+00:00,0,0,255,0,0,0,0,4
2035-02-28 19:57:37+00:00,0,0,255,0,0,0,0,4
2035-02-28 19:58:37+00:00,0,0,255,0,0,0,0,4
2035-02-28 19:59:37+00:00,0,0,255,0,0,0,0,4
2035-02-28 20:00:37+00:00,0,0,255,0,0,0,0,4
2035-02-28 20:01:37+00:00,0,0,255,0,0,0,0,4
2035-02-28 20:02:37+00:00,0,0,255,0,0,0,0,4
2035-02-28 20:03:37+00:00,0,0,255,0,0,0,0,4
2035-02-28 20:04:37+00:00,0,0,255,0,0,0,0,4
2035-02-28 20:05:37+00:00,0,0,255,0,0,0,0,4
2035-02-28 20:06:37+00:00,0,0,255,0,0,0,0,4
2035-02-28 20:07:37+00:00,0,0,255,0,0,0,0,4
2035-02-28 20:08:37+00:00,0,0,255,0,0,0,0,4
2035-02-28 20:09:37+00:00,0,0,255,0,0,0,0,4
2035-02-28 20:10:37+00:00,0,0,255,0,0,0,0,4
2035-02-28 20:11:37+00:00,0,0,255,0,0,0,0,4
2035-02-28 20:12:37+00:00,0,0,255,0,0,0,0,4
2035-02-28 20:13:37+00:00,0,0,255,0,0,0,10,4
2035-02-28 20:14:37+00:00,0,0,255,0,0,0,47,4
2035-02-28 20:15:37+00:00,0,0,255,0,0,0,49,4
2035-02-28 20:16:37+00:00,0,0,255,0,0,0,6,4
2035-02-28 20:17:37+00:00,0,0,255,0,0,0,0,4
2035-02-28 20:18:37+00:00,0,0,255,0,1,0,0,4
2035-02-28 20:19:37+00:00,0,0,255,0,2,0,3,4
2035-02-28 20:20:37+00:00,0,0,255,0,3,0,2,4
2035-02-28 20:21:37+00:00,0,0,255,0,5,0,0,4
2035-02-28 20:22:37+00:00,0,0,255,0,8,0,1,4
2035-02-28 20:23:37+00:00,0,0,255,0,11,0,1,4
2035-02-28 20:24:37+00:00,0,0,255,0,15,0,3,4
2035-02-28 20:25:37+00:00,0,0,255,0,19,0,1,4
2035-02-28 20:26:37+00:00,0,0,255,0,23,0,0,4
2035-02-28 20:27:37+00:00,0,0,255,0,28,0,23,4
2035-02-28 20:28:37+00:00,0,0,255,0,33,0,17,4
2035-02-28 20:29:37+00:00,0,0,255,0,38,0,4,4
2035-02-28 20:30:37+00:00,0,0,255,0,43,0,1,4
2035-02-28 20:31:37+00:00,0,0,255,0,49,0,3,4
2035-02-28 20:32:37+00:00,0,0,255,0,54,0,41,4
2035-02-28 20:33:37+00:00,0,0,255,0,60,0,61,4
2035-02-28 20:34:37+00:00,0,0,255,0,66,0,15,4
2035-02-28 20:35:37+00:00,0,0,255,0,71,0,27,4
2035-02-28 20:36:37+00:00,0,0,255,0,77,0,49,4
