date,rr
2035-02-28 19:50:05+00:00,527
2035-02-28 19:50:06+00:00,1054
2035-02-28 19:50:07+00:00,576
2035-02-28 19:50:10+00:00,559
2035-02-28 19:51:11+00:00,532
2035-02-28 19:51:12+00:00,651
2035-02-28 19:51:12.001000+00:00,526
2035-02-28 19:51:13+00:00,534
2035-02-28 19:51:13.001000+00:00,524
2035-02-28 19:51:14+00:00,538
2035-02-28 19:51:14.001000+00:00,517
2035-02-28 19:51:15+00:00,547
2035-02-28 19:51:16+00:00,1051
2035-02-28 19:51:17+00:00,534
2035-02-28 19:51:17.001000+00:00,520
2035-02-28 19:51:18+00:00,532
2035-02-28 19:51:20+00:00,534
2035-02-28 19:51:22+00:00,529
2035-02-28 19:51:22.001000+00:00,526
2035-02-28 19:51:23+00:00,529
2035-02-28 19:51:23.001000+00:00,529
2035-02-28 19:51:25+00:00,520
2035-02-28 19:51:27.001000+00:00,545
2035-02-28 19:51:27.002000+00:00,533
2035-02-28 19:51:31+00:00,1240
2035-02-28 19:51:31.001000+00:00,540
2035-02-28 19:51:32+00:00,1439
2035-02-28 19:52:21+00:00,784
2035-02-28 19:52:22+00:00,1065
2035-02-28 19:52:30+00:00,545
2035-02-28 19:52:31+00:00,695
2035-02-28 19:52:47+00:00,1633
2035-02-28 19:52:49+00:00,1721
2035-02-28 19:53:02+00:00,1421
2035-02-28 19:53:08+00:00,814
2035-02-28 19:53:16.001000+00:00,1384
2035-02-28 19:53:25+00:00,1050
2035-02-28 19:54:12+00:00,642
2035-02-28 19:55:13+00:00,671
2035-02-28 19:55:14+00:00,674
2035-02-28 19:55:15.002000+00:00,1311
2035-02-28 19:55:16.001000+00:00,644
2035-02-28 19:55:16.002000+00:00,690
2035-02-28 19:55:17+00:00,750
2035-02-28 19:55:18+00:00,739
2035-02-28 19:55:47+00:00,716
2035-02-28 19:56:11+00:00,692
2035-02-28 19:56:12+00:00,619
2035-02-28 19:56:20+00:00,626
2035-02-28 19:56:27+00:00,532
2035-02-28 19:56:29+00:00,1136
2035-02-28 19:56:31+00:00,505
2035-02-28 19:56:31.001000+00:00,531
2035-02-28 19:56:32+00:00,605
2035-02-28 19:56:40+00:00,526
2035-02-28 19:56:41+00:00,1038
2035-02-28 19:56:46+00:00,518
2035-02-28 19:56:47+00:00,1218
2035-02-28 19:56:49.002000+00:00,919
2035-02-28 19:56:56+00:00,513
2035-02-28 19:56:58+00:00,799
2035-02-28 19:56:58.001000+00:00,502
2035-02-28 19:57:04+00:00,528
2035-02-28 19:57:06.001000+00:00,1227
2035-02-28 19:57:07+00:00,608
2035-02-28 19:57:08+00:00,541
2035-02-28 19:57:18+00:00,524
2035-02-28 19:57:19+00:00,561
2035-02-28 19:57:38+00:00,518
2035-02-28 19:57:38.001000+00:00,518
2035-02-28 19:57:39.001000+00:00,549
2035-02-28 19:57:39.002000+00:00,515
2035-02-28 19:57:41+00:00,1393
2035-02-28 19:57:41.001000+00:00,508
2035-02-28 19:57:42+00:00,859
2035-02-28 19:57:46+00:00,558
2035-02-28 19:57:47+00:00,613
2035-02-28 19:57:48+00:00,619
2035-02-28 19:57:52+00:00,603
2035-02-28 19:57:54.001000+00:00,585
2035-02-28 19:57:59+00:00,604
2035-02-28 19:58:02+00:00,536
2035-02-28 19:58:22+00:00,549
2035-02-28 19:58:23+00:00,541
2035-02-28 19:58:27.002000+00:00,1131
2035-02-28 19:58:28+00:00,1576
2035-02-28 19:58:33+00:00,1797
2035-02-28 19:58:35+00:00,1177
2035-02-28 19:58:36+00:00,1040
2035-02-28 19:58:51+00:00,524
2035-02-28 19:58:59+00:00,506
2035-02-28 19:59:00+00:00,1073
2035-02-28 19:59:02+00:00,1164
2035-02-28 19:59:03+00:00,528
2035-02-28 19:59:22+00:00,532
2035-02-28 19:59:24+00:00,790
2035-02-28 19:59:26+00:00,1725
2035-02-28 19:59:27+00:00,1670
2035-02-28 19:59:30+00:00,526
2035-02-28 19:59:32+00:00,526
2035-02-28 19:59:36+00:00,507
2035-02-28 19:59:37+00:00,573
